2023-02-07 00:27:19 , udn , 全智賢、狐狸都入鏡  Burberry全新形象五關鍵亮點拆解 , /news/story/7270/6954441?from=udn-ch1_breaknews-1-0-news
2023-02-07 00:27:19 , udn , Burberry在去年9月宣布Daniel Lee接任新任創意總監後，先於前日無預警「清空」品牌IG帳號，今日火速釋出多... , /news/story/7270/6954441?from=udn-ch1_breaknews-1-0-news
2023-02-07 00:51:18 , udn , 千萬富豪兒被拐賣到億萬富豪家…他一句話曝辛酸 , /news/story/7331/6954469?from=udn-ch1_breaknews-1-0-news
2023-02-07 00:51:18 , udn , 2015年由港星劉德華主演的電影「失孤」，曾讓不少觀眾掬一把同情淚。這部改編自真實事件的電影，故事原型是山東聊城農民郭剛堂，1997年在他兩歲兒子被人口販子抱走後，郭剛堂就展開了他長達24年，騎著摩托車數十萬公里尋子的歷程。 , /news/story/7331/6954469?from=udn-ch1_breaknews-1-0-news
2023-02-07 00:57:20 , udn , 38公尺高水塔也淪陷 高雄塗鴉客神出鬼沒 警：在搏命 , /news/story/7266/6954470?from=udn-ch1_breaknews-1-0-news
2023-02-07 00:57:21 , udn , 高雄市近年風行舊屋拉皮，苓雅區綠園道沿線老舊房宅經由創意「塗鴉」，成為街角美麗風景，但近日包括鹽埕立體停車場頂樓及五福一路、光華一路口38公尺高的水塔，先後遭神出鬼沒的塗鴉客擅自噴漆落款，十分殺風景。這種把你家外牆或公共造物當畫布、宣洩個人情緒的創作出口，因妨礙市容，警方抓不勝抓，讓塗鴉文化蒙上陰影。 , /news/story/7266/6954470?from=udn-ch1_breaknews-1-0-news
2023-02-07 01:06:18 , udn , 連戰今辦新書發表會 韓國瑜、馬英九、王金平罕見同場 , /news/story/6656/6954474?from=udn-ch1_breaknews-1-0-news
2023-02-07 01:06:18 , udn , 前副總統連戰今天在蔣經國圖書館舉行由天下文化出版的「連戰回憶錄」新書發表會，藍營大咖眾星雲集，前總統馬英九、立法院前院長... , /news/story/6656/6954474?from=udn-ch1_breaknews-1-0-news
2023-02-07 01:12:20 , udn , 台南議長賄選案複訊 邱莉莉150萬、林志展120萬交保 , /news/story/7321/6954476?from=udn-ch1_breaknews-1-0-news
2023-02-07 01:12:20 , udn , 台南檢調偵辦台南市正、副議長賄選案，昨天上午約10點傳喚議長邱莉莉、副議長林志展，邱及林被帶到市調處約談，至傍晚近6點 ... , /news/story/7321/6954476?from=udn-ch1_breaknews-1-0-news
2023-02-07 01:48:20 , udn , 影／台南議長賄選案 邱莉莉「大家擔心了」 , /news/story/7321/6954487?from=udn-ch1_breaknews-1-0-news
