2023-02-08 00:12:20 , udn , 陸教授開「生死學」選修課  從不被諒解到教室一位難求 , https://udn.com/news/story/7331/6956560?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:12:20 , udn , 近日大陸江西高中生胡鑫宇死亡案引起高度關注，也讓外界開始重視青年死亡問題。廣州大學有一名60歲的教授胡宜安，2000年就在校內開設「生死學」選修課，至今超過22年，從最初不被諒解，到現在教室內一位難求。他在受訪時說，講述死亡，是為了更好地生。 , https://udn.com/news/story/7331/6956560?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:12:21 , udn , 台灣燈會雙副燈秀Pray for Türkiye字卡 為土耳其祈福 , https://udn.com/news/story/123304/6956729?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:12:21 , udn , 土耳其強震造成嚴重傷亡，2023台灣燈會「未來展區」的北市府、台北101雙副燈，今天晚間也特別打上祈福燈光及字卡，為土耳... , https://udn.com/news/story/123304/6956729?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:24:19 , udn , 2023 「亞洲最佳女主廚」是她！新加坡Lolla主廚施玉安 , https://udn.com/news/story/7266/6957048?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:24:19 , udn , 30多歲女97公斤 瘦瘦筆也瘦不了 「胃鏡縮胃」減到67 , https://udn.com/news/story/7266/6957052?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:24:19 , udn , 嘉義基督教醫院減重中心成立1年多，院方表示，反覆復胖往往是造成減重中斷的因素，有提供降低復胖機率的「胃鏡縮胃」手術，30... , https://udn.com/news/story/7266/6957052?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:24:19 , udn , 土耳其強震頻傳 我國第二波搜救團隊七日晚間出發 , https://udn.com/news/story/6809/6957050?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:24:19 , udn , 本月六日清晨，土耳其發生強震，隨後餘震不斷，災情和傷亡人數也持續增加，我外交部六日派遣40名先遣隊員攜帶3隻搜救犬及6.... , https://udn.com/news/story/6809/6957050?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:24:19 , udn , 北高燈會誰「華」掀論戰 呱吉：主責中央 到底要罵誰？ , https://udn.com/news/story/6656/6957051?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:24:19 , udn , 台灣燈會話題不斷，繼先前燈會副燈蟠龍獻瑞遭酸華國美學，引發熱議後，再度有臉書粉絲專頁「Mr.柯學先生」貼出高雄、台南、台... , https://udn.com/news/story/6656/6957051?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:57:20 , udn , 找警察論法、領愛心便當法官請辭 司法院核3月1日生效 , https://udn.com/news/story/7321/6957075?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:57:20 , udn , 台南地方法院施姓法官的妻子去年騎乘改裝定位燈重機車，遭台南市警第四分局取締，在警察開單告發後，法官到場詢問「你們今天領頭... , https://udn.com/news/story/7321/6957075?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:57:20 , udn , 兔年花燈誤會大了 滿滿紅蘿蔔 獸醫憂害到兔子 , https://udn.com/news/story/7266/6957073?from=udn-ch1_breaknews-1-0-news
2023-02-08 00:57:20 , udn , 農曆兔年，各地元宵燈會設計兔子燈組或小提燈，幾乎都少不了紅蘿蔔元素。在台北市登場的台灣燈會，機械兔主燈後方有成排的紅蘿蔔燈籠，中台灣燈會「兔萌窩」燈區也有巨大紅蘿蔔裝飾，還有可愛紅蘿蔔田燈組。獸醫師擔心，兔子其實不適合吃紅蘿蔔，大量可愛的兔子、紅蘿蔔裝飾，恐加深刻板印象... , https://udn.com/news/story/7266/6957073?from=udn-ch1_breaknews-1-0-news
2023-02-08 01:18:19 , udn , 官員摸魚還瞎掰 爽花公費不臉紅 濫用公務車成照妖鏡 , https://udn.com/news/story/6656/6957087?from=udn-ch1_breaknews-1-0-news
2023-02-08 01:18:19 , udn , 行政院國家運輸安全調查委員會主委楊宏智遭周刊踢爆蹺班摸魚，不僅在上班時搭公務車去外地訪友、泡溫泉、吃美食，餐費還以首長特支費申報。楊宏智雖對此喊冤，行政院長陳建仁昨天責成政風處以最快速度調查，並於3日內完成報告。 , https://udn.com/news/story/6656/6957087?from=udn-ch1_breaknews-1-0-news
2023-02-08 05:54:19 , udn , 圖解新聞／南台去年雨量30年新低 最大水庫蓄水率剩不到3成 , https://udn.com/news/story/7314/6957033?from=udn-ch1_breaknews-1-0-news
2023-02-08 05:54:19 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。高雄水情燈號轉黃燈，這次的圖表帶你看南台灣水情。 , https://udn.com/news/story/7314/6957033?from=udn-ch1_breaknews-1-0-news
2023-02-08 05:54:19 , udn , 府院黨「三位一體」危機管控 在野仍兄弟登山各自努力 , https://udn.com/news/story/6656/6957067?from=udn-ch1_breaknews-1-0-news
2023-02-08 05:54:19 , udn , 民進黨府院黨昨天分別爆出耍官威、蹺班泡湯啖美食、涉嫌賄選交保等負面事件，府院黨立刻以道歉、調查、停權來止血，甚至還有餘力攻擊國民黨副主席夏立言訪陸、新北關懷家戶三死悲劇，府院黨「三位一體」危機處理再發動攻勢，顯然已進入總統大選戰鬥模式。反觀國民黨，侯友宜、郭台銘仍處於「兄弟登山各自努力」階段，接著還要處理是否與柯文哲合作問題，讓人憂心再拖下去會否讓反綠力量消耗殆盡。 , https://udn.com/news/story/6656/6957067?from=udn-ch1_breaknews-1-0-news
2023-02-08 05:57:20 , udn , 恩智浦盼攜手台廠 搶車用商機 , https://udn.com/news/story/7240/6957125?from=udn-ch1_breaknews-1-0-news
2023-02-08 05:57:20 , udn , 晶片大廠恩智浦（NXP）積極開展車用產品布局，該公司半導體執行副總裁暨車用處理事業部總經理Henri Ardevol及半... , https://udn.com/news/story/7240/6957125?from=udn-ch1_breaknews-1-0-news
2023-02-08 06:03:18 , udn , 華府直擊／拜登與習近平為氣球角力 更大的壓力在內部 , https://udn.com/news/story/123298/6956590?from=udn-ch1_breaknews-1-0-news
2023-02-08 06:03:18 , udn , 美國與中國大陸為一個高空氣球，上升到出動軍機擊落，到透過外交管道嚴正交涉；美中的氣球角力，背後均牽涉複雜難解的內部問題，壓縮雙邊迴旋空間。 , https://udn.com/news/story/123298/6956590?from=udn-ch1_breaknews-1-0-news
2023-02-08 06:15:19 , udn , 鮑爾指通膨放緩 道指漲逾250點 , https://udn.com/news/story/6811/6957159?from=udn-ch1_breaknews-1-0-news
2023-02-08 06:15:19 , udn , 在Fed主席鮑爾發表評論聲稱通膨開始放緩後，美股上漲。 , https://udn.com/news/story/6811/6957159?from=udn-ch1_breaknews-1-0-news
2023-02-08 06:27:20 , udn , 配合台電停電施工 楊梅9日停水8小時影響2125戶 , https://udn.com/news/story/7324/6957174?from=udn-ch1_breaknews-1-0-news
2023-02-08 06:27:20 , udn , 台灣自來水公司第二區管理處配合台電停電施工，「食水坑加壓站」將停水，預計於明日9時起至下午5時止施工停水，將影響楊梅21... , https://udn.com/news/story/7324/6957174?from=udn-ch1_breaknews-1-0-news
