2023-02-09 00:03:19 , udn , 會考生活英語／【交通篇】租借共享單車 , https://udn.com/news/story/6904/6939505?from=udn-ch1_breaknews-1-0-news
2023-02-09 00:03:19 , udn , ★單字
1. rent [rɛnt] v. 出租 n. 租金（國中挑戰800字）
2. service [ˋsɝvɪs] n. 服務（國中基本1200字）

★實用字詞
1. be dyin , https://udn.com/news/story/6904/6939505?from=udn-ch1_breaknews-1-0-news
2023-02-09 00:12:19 , udn , 一次吃7款冠軍級巧克力！Q sweet「情人節禮盒」登場 , https://udn.com/news/story/7270/6959572?from=udn-ch1_breaknews-1-0-news
2023-02-09 00:12:19 , udn , 在「世界巧克力大賽」International Chocolate Awards （ICA）總決賽中，全球得獎最多的亞裔... , https://udn.com/news/story/7270/6959572?from=udn-ch1_breaknews-1-0-news
2023-02-09 00:15:19 , udn , 中研院院士朱雲漢驟逝 為何讓大陸官學媒掀起波瀾 , https://udn.com/news/story/7331/6959574?from=udn-ch1_breaknews-1-0-news
2023-02-09 00:15:19 , udn , 中央研究院院士、台灣大學政治學系教授朱雲漢日前傳出驟逝消息，引起兩岸政治學界震撼。眾所周知，朱雲漢是台灣具國際影響力的政治學者，曾當選美國政治學會百年來首位出身亞洲的理事，也曾榮膺世界科學院院士，在國內其門生更遍及藍綠兩黨政要。但多數台灣民眾可能不知道，對於朱雲漢辭世，在大陸掀起的悼念聲浪有多高。 , https://udn.com/news/story/7331/6959574?from=udn-ch1_breaknews-1-0-news
2023-02-09 00:45:19 , udn , 江聰淵有意選立委 「師父」陳金德質疑：有那麼迫切嗎? , https://udn.com/news/story/6656/6959582?from=udn-ch1_breaknews-1-0-news
2023-02-09 00:45:19 , udn , 參選宜蘭縣長失利的江聰淵有可能投入立委選戰，前代理縣長陳金德晚間卻在臉書貼文，指出大選敗北，很多人要深刻檢討，可惜的是無... , https://udn.com/news/story/6656/6959582?from=udn-ch1_breaknews-1-0-news
2023-02-09 00:48:20 , udn , 看女王頭、眺龜山島…疫後深度旅遊夯 離島偽出國全年都能玩 , https://udn.com/news/story/7266/6959587?from=udn-ch1_breaknews-1-0-news
2023-02-09 00:48:20 , udn , 國境開放後不少民眾偏好到國外旅遊，春節期間單日最高出入境更高達9萬人次，1月累計出入境近200萬人次，專家直言，此規模已達疫情前7成。交通部觀光局疫後針對國旅優化六大魅力景區，結合周邊旅遊支線、觀光圈，推動深度體驗遊程。另打破以往淡旺季限制，為離島地區規畫全天候適合遊程，讓民眾體驗不同以往的國旅。 , https://udn.com/news/story/7266/6959587?from=udn-ch1_breaknews-1-0-news
2023-02-09 01:09:18 , udn , 籃球／美國加州知名訓練師Kyle Travis 來台親自授課訓練營活動 , https://udn.com/news/story/7003/6959591?from=udn-ch1_breaknews-1-0-news
2023-02-09 01:09:18 , udn , 「Deuce Brand」國際化的運動潮流品牌，以Underdog Mentality作為核心理念，向大眾傳遞積極、正向的生活態度與精神。除了提供運動相關商品外，最大的特色在於「專業化運動訓練」的服務 , https://udn.com/news/story/7003/6959591?from=udn-ch1_breaknews-1-0-news
2023-02-09 01:27:19 , udn , 【即時短評】郭台銘選不選取決三要素 燙手山芋丟給朱立倫 , https://udn.com/news/story/123307/6959595?from=udn-ch1_breaknews-1-0-news
