2023-02-10 00:12:20 , udn , 想吃蜜芋頭免出門！賈以食日「桂花蜜芋頭」現享86折 , https://udn.com/news/story/7270/6962122?from=udn-ch1_breaknews-1-0-news
2023-02-10 00:12:20 , udn , 太邪惡！「賈以食日」繼推出湯麵、拌麵、冷凍水餃等多種產品之後，即日起再新推出「桂花蜜芋頭」，在家想要品嚐香甜的蜜芋頭，只... , https://udn.com/news/story/7270/6962122?from=udn-ch1_breaknews-1-0-news
2023-02-10 00:21:20 , udn , NBA／新老闆深夜親自交涉蔡崇信 太陽如願迎回杜蘭特 , https://udn.com/news/story/7002/6962080?from=udn-ch1_breaknews-1-0-news
2023-02-10 00:21:20 , udn , 歷經加盟3年多的動盪不安和8個月內2度申請交易後，杜蘭特（Kevin Durant）最終還是離開了布魯克林。

儼然就像在麻將桌上等待單吊一張超級巨星大牌的太陽，直接送出了布里吉斯（Mikal B , https://udn.com/news/story/7002/6962080?from=udn-ch1_breaknews-1-0-news
2023-02-10 00:51:19 , udn , 出身殯葬業二代 編舞家許程崴「死線」探討生死議題 , https://udn.com/news/story/7266/6962141?from=udn-ch1_breaknews-1-0-news
2023-02-10 00:51:19 , udn , 身為殯葬業第二代的編舞家許程崴，對於死亡與生命有著濃厚的好奇。他探討人死前一刻的舞作「死線」，今起在國家兩廳院實驗劇場演... , https://udn.com/news/story/7266/6962141?from=udn-ch1_breaknews-1-0-news
2023-02-10 00:57:21 , udn , 航空城開發 桃園這個里被消失如空城 神明說不也得搬 , https://udn.com/news/story/7266/6962143?from=udn-ch1_breaknews-1-0-news
2023-02-10 00:57:21 , udn , 桃園航空城都市計畫總面積4564公頃，不但是台灣史上最大開發案，3148公頃區段徵收規模也創下紀錄，其中，大園區竹圍里因列入第三跑道預定地，即將消失為歷史名詞，除了台4線上緊鄰菓林里的6戶，所有居民都須搬遷，如今的竹圍里宛如空城，只剩超商、摩托車行等撐到最後。 , https://udn.com/news/story/7266/6962143?from=udn-ch1_breaknews-1-0-news
2023-02-10 01:12:19 , udn , 陸總理李克強的臨別感言 「囑託」繼任者哪些事？ , https://udn.com/news/story/7331/6962149?from=udn-ch1_breaknews-1-0-news
