2023-02-12 00:03:20 , udn , 殺破狼周運勢／獅子職場脫離豬隊友 單身魔羯有意外驚喜  , https://udn.com/news/story/7268/6958539?from=udn-ch1_breaknews-1-0-news
2023-02-12 00:03:21 , udn , 摩羯座感情運方面，在戀愛宮位的天王星暫時脫離不良相位影響，喜歡的對象對你表達一些預期外的反應，使你覺得這樣的人很有趣，總是充滿了新鮮與驚喜。單身的摩羯座會突然被意想不到的對象表示好感。 , https://udn.com/news/story/7268/6958539?from=udn-ch1_breaknews-1-0-news
2023-02-12 00:12:20 , udn , 除了陪你聊天 AI還能幫你寫論文 「ChatGPT」陸網爆紅 , https://udn.com/news/story/7331/6965896?from=udn-ch1_breaknews-1-0-news
2023-02-12 00:12:20 , udn , 「論文抄襲」曾是早先台灣社會的熱門話題，但靠抄襲來完成論文已經落伍了。在中國大陸，已經有教授發現，一些大學生的論文，其實是目前當紅的AI聊天機器人—「ChatGPT」幫忙寫出來的。
ChatGPT在大陸到底有多紅？台灣民眾恐怕無法想像。一眾媒體紛紛將「採訪」ChatGPT做成報導，屢屢創下超高點擊，各大科技巨頭也紛紛宣布將投入相關產品研發，希望能從中撈到一杯羹。 , https://udn.com/news/story/7331/6965896?from=udn-ch1_breaknews-1-0-news
2023-02-12 00:15:21 , udn , 除了陪你聊天 AI還能幫你寫論文 「ChatGPT」陸網暴紅 , https://udn.com/news/story/7331/6965896?from=udn-ch1_breaknews-1-0-news
2023-02-12 00:51:20 , udn , 鈔票上點名？兩屆選舉查賄冠軍 曝賄選怪招 , https://udn.com/news/story/6656/6965937?from=udn-ch1_breaknews-1-0-news
2023-02-12 00:51:20 , udn , 嘉義縣、市的選舉人口僅63萬多人，然而，嘉義地檢署在2018年與2022年地方大選，查賄績效卻衝出全台之冠，檢察官分析，有候選人因只差百票就過門檻，看準民眾「拿到錢就會投」而放手一搏，使得去年底大選，有議員候選人親自發賄款，也有樁腳發現金時夾著候選人名字和號碼，也有村長用LINE留言「一句話30」，離譜行徑讓人傻眼。 , https://udn.com/news/story/6656/6965937?from=udn-ch1_breaknews-1-0-news
2023-02-12 03:57:20 , udn , 世衛警告：土敘強震受災人口恐達2600萬 , https://udn.com/news/story/123305/6965957?from=udn-ch1_breaknews-1-0-news
2023-02-12 03:57:20 , udn , 世界衛生組織（WHO）今天警告，6日發生在土耳其與敘利亞接壤地區的強震已影響近2600萬人，並導致數十間醫療設施遭到破壞 , https://udn.com/news/story/123305/6965957?from=udn-ch1_breaknews-1-0-news
2023-02-12 04:03:21 , udn , 台灣搜救隊急救援 熱血土耳其教授擔任義工共進退 , https://udn.com/news/story/123305/6965788?from=udn-ch1_breaknews-1-0-news
2023-02-12 04:03:21 , udn , 土耳其強震災情慘重，在一票台灣搜救隊中，一位高瘦的志工特別顯眼。他是葉瑪思，一位與台灣情牽30年，聽到台灣搜救隊前來土耳... , https://udn.com/news/story/123305/6965788?from=udn-ch1_breaknews-1-0-news
2023-02-12 05:54:21 , udn , 照顧殺人悲歌 修法免囚前 仍有幾個爭議待釐清 , https://udn.com/news/story/7314/6965887?from=udn-ch1_breaknews-1-0-news
