2023-02-13 00:03:21 , udn , 「教育大事知多少？」解答本 , https://udn.com/news/story/7314/6963427?from=udn-ch1_breaknews-1-0-news
2023-02-13 00:03:21 , udn , window.location.href="https://vip.udn.com/vip/story/121945/6961329?from=udn-category"; , https://udn.com/news/story/7314/6963427?from=udn-ch1_breaknews-1-0-news
2023-02-13 00:15:19 , udn , 抵制高價聘禮歪風 江蘇要選「最美丈母娘」 , https://udn.com/news/story/7331/6966916?from=udn-ch1_breaknews-1-0-news
2023-02-13 00:15:19 , udn , 近年大陸婚育率下降，男女雙方結婚時，聘禮（陸稱彩禮）過高的問題，也愈來愈受到關注，為了進一步遏止歪風，近期大陸多地發起倡議，例如江西一鄉召開未婚女青年座談會，要求集體簽訂「抵制高價彩禮承諾書」，南昌擬舉行「不要彩禮要幸福」的集體婚禮，江蘇也有地方倡議女青年拒絕高價聘禮，並以此展開最美丈母娘選拔。 , https://udn.com/news/story/7331/6966916?from=udn-ch1_breaknews-1-0-news
2023-02-13 00:18:21 , udn , 美連鎖速食大咖推出首款「白花椰漢堡」 搶搭蔬食潮 , https://udn.com/news/story/6811/6967250?from=udn-ch1_breaknews-1-0-news
2023-02-13 00:18:21 , udn , 傳統上無肉不歡的速食餐廳都搭上植物肉風潮之際，美國連鎖速食巨頭福來雞（Chick-fil-A）選擇另闢蹊徑，推出首款蔬食... , https://udn.com/news/story/6811/6967250?from=udn-ch1_breaknews-1-0-news
2023-02-13 00:24:20 , udn , 聽到朱立倫被問是不是2024對的人大笑 柯志恩：隨便啦 , https://udn.com/news/story/6656/6967323?from=udn-ch1_breaknews-1-0-news
2023-02-13 00:24:20 , udn , 國民黨智庫執行長柯志恩星期日參加高雄黨部的新春團拜，黨主席朱立倫被媒體問到「自己會是那個（2024總統大選）對的人嗎？」... , https://udn.com/news/story/6656/6967323?from=udn-ch1_breaknews-1-0-news
2023-02-13 00:30:19 , udn , 你high我苦！ 墾丁民宿包棟熱 鄰居假日噩夢 , https://udn.com/news/story/7266/6967327?from=udn-ch1_breaknews-1-0-news
2023-02-13 00:30:20 , udn , 屏東墾丁是國內觀光旅遊勝地，民宿近年來如雨後春筍般興起，因應疫情禁令掀起的包棟熱，疫情趨緩後仍延續，但在風光帶進觀光財的背後，因遊客素質參差不齊，加上部分業者「顧客第一」心態，衍生深夜縱情歡唱卡拉OK、烤肉飲酒喧嘩，甚至放鞭炮、煙火，成了周邊居民的假日噩夢。 , https://udn.com/news/story/7266/6967327?from=udn-ch1_breaknews-1-0-news
2023-02-13 01:48:20 , udn , 高中生瘋考照「繳學費」拚學習歷程 家長憂政策淪空談 , https://udn.com/news/story/6885/6967345?from=udn-ch1_breaknews-1-0-news
2023-02-13 01:48:20 , udn , 高中學習歷程檔案可取代備審資料用於升學，上路三年卻爭議不斷，儘管教育部三令五申重質不重量，今年寒假仍有不少學生拚命參加營... , https://udn.com/news/story/6885/6967345?from=udn-ch1_breaknews-1-0-news
2023-02-13 02:15:20 , udn , 賽普勒斯總統決選 前外長得票52%對手認敗 , https://udn.com/news/story/6809/6967346?from=udn-ch1_breaknews-1-0-news
2023-02-13 02:15:20 , udn , 賽普勒斯前外交部長克里斯托多里底斯在今天的總統大選第2輪決選中獲得52%選票。他的資深外交官對手馬羅伊安尼斯承認敗選 , https://udn.com/news/story/6809/6967346?from=udn-ch1_breaknews-1-0-news
2023-02-13 02:18:20 , udn , 氣球事件後美中仍會回談判桌 專家稱問題在雙方國內壓力 , https://udn.com/news/story/123298/6967241?from=udn-ch1_breaknews-1-0-news
2023-02-13 02:33:19 , udn , 杜魯多：搜尋育空擊落不明飛行物 將分析殘骸 , https://udn.com/news/story/123298/6967349?from=udn-ch1_breaknews-1-0-news
2023-02-13 02:33:19 , udn , 加拿大總理杜魯多今天表示，調查人員正在搜尋昨天在育空地區上空遭到美國戰鬥噴射機擊落的不明飛行物體殘骸，將會對殘骸進行分析。 , https://udn.com/news/story/123298/6967349?from=udn-ch1_breaknews-1-0-news
2023-02-13 04:21:18 , udn , 前員工：亞馬遜裁員情況混亂 沒有人情味 , https://udn.com/news/story/6811/6965216?from=udn-ch1_breaknews-1-0-news
2023-02-13 04:21:18 , udn , 亞馬遜上個月宣布全球裁員1萬8000人，包括西雅圖地區2300人，但究竟是哪些員工被裁、哪些員工得以保住飯碗，沒有人能說... , https://udn.com/news/story/6811/6965216?from=udn-ch1_breaknews-1-0-news
2023-02-13 04:42:18 , udn , 禁加味電子菸不禁大麻 紐約州長被指雙標 , https://udn.com/news/story/6813/6966274?from=udn-ch1_breaknews-1-0-news
2023-02-13 04:42:18 , udn , 菸草業者日前指責紐約州長霍楚(Kathy Hochul)「雙標」，一方面支持禁售有調味的香菸及電子菸，一方面卻開放合法販... , https://udn.com/news/story/6813/6966274?from=udn-ch1_breaknews-1-0-news
2023-02-13 04:48:19 , udn , 加州華人熱衷玩樂高 升值潛力比黃金、股票還高？ , https://udn.com/news/story/6813/6967353?from=udn-ch1_breaknews-1-0-news
2023-02-13 04:48:19 , udn , 積木玩具商樂高（Lego）是全世界最受歡迎的玩具品牌之一，不止受到孩子們的喜愛，更是吸引無數成年玩家。不過樂高也是「燒錢... , https://udn.com/news/story/6813/6967353?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:03:19 , udn , 土敘不僅強震還有人禍、情蒐氣球成美中撕破臉導火線？ , https://udn.com/news/story/6809/6965041?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:03:19 , udn , 聯合報精選每周國際大事，由資深國際新聞媒體人郭崇倫深入解讀，帶讀者看懂國際新聞背後門道，快速掌握全球局勢變化。

看點1：中國大陸氣球遭擊落後殘骸經美國分析，發現所搭載裝置為情蒐用途，也揭露了北京「氣球艦隊」的五大洲高空監視計畫，而最受關注的莫過於氣球真的有蒐集到新情報？美國是否打算藉此跟中國大陸撕破臉？

看點2：法國年金改革掀風暴、英國經濟爆民怨，歐洲兩大國政府正面臨社會信任危機，罷工行動接二連三發生，但從政治角度來看卻非偶然。

看點3：土敘強震已造成逾2萬人罹難，然而這不單是一場天災，背後也有人禍因素作祟。土耳其政府面對庫德族聚集的災區，會給予多大幫助？內戰為何讓敘利亞面臨比土耳其更艱難的救援困境？ , https://udn.com/news/story/6809/6965041?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:33:19 , udn , 美空軍在密西根休倫湖空域 再射下一不明飛行物 , https://udn.com/news/story/123298/6967361?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:33:19 , udn , 據CNN報導，美國空軍周日下午再於密西根休倫湖附近空域射下一不明飛行物。 , https://udn.com/news/story/123298/6967361?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:20 , udn , 缺藥缺蛋缺資安奢談韌性國家 只見不下台的韌性官員 , https://udn.com/news/story/6656/6967342?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:20 , udn , 近期國人去巷口的藥局買藥或領藥，可能要多跑很多家才能如願，包括去年開始就持續缺貨的退燒藥與制酸劑，到近期供應緊張的第一線抗生素安蒙西林，這些都不是小眾藥品，而是不少國人的日常用藥。缺的不只是藥，還有去年迄今供應缺口一直很大的雞蛋，蛋價今天調漲後，官員預估這一波蛋荒至少要到下個月才能緩解。 , https://udn.com/news/story/6656/6967342?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:20 , udn , 疫情死亡居高不下 年後罕見3多 背後藏隱形殺手 , https://udn.com/news/story/7314/6967325?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:21 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看年後罕見出現「確診死亡、急診滿床與冰櫃滿櫃」三多現象，究竟為什麼？ , https://udn.com/news/story/7314/6967325?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:21 , udn , 影／青春痘竟與食道潰瘍有關 醫師神診斷「看臉就知」 , https://udn.com/news/story/7266/6967364?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:51:21 , udn , 21歲小帥哥因為胸口痛，以為自己是胃食道逆流就醫，但醫師認為疼痛的部位不太像，以福爾摩斯探案精神，發現病患臉上有青春痘，... , https://udn.com/news/story/7266/6967364?from=udn-ch1_breaknews-1-0-news
2023-02-13 05:54:20 , udn , 【總編開箱】缺藥缺蛋缺資安奢談韌性國家 只見不下台的韌性官員 , https://udn.com/news/story/6656/6967342?from=udn-ch1_breaknews-1-0-news
