2023-02-22 11:25:25 , udn , 12星座「口頭禪」曝光！牡羊愛催「快點」、處女整天「真的假的」 , https://udn.com/news/story/7268/6987113?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:25 , udn , 我們往往沒有意識到，但我們都有習慣於說出我們傾向於說的話，據說，習慣往往會對一個人的行為和思想產生很大的影響，日本網站「占TV NEWS」整理出12星座最愛的「口頭禪」，看看你有沒有愛講而不自覺吧！ , https://udn.com/news/story/7268/6987113?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:26 , udn , Galaxy S23系列開放取貨 三星：Galaxy S23 Ultra預購量佔75% , https://udn.com/news/story/7098/6984654?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:26 , udn , 三星昨（21）日開放首波完成預購Galaxy S23系列機種的消費者優先取貨，從2月7日開放預購以來便吸引超過263名消費者預購，三星更向預購Galaxy S23 Ultra加碼提供最高新台幣3000元等值郵政禮券排隊禮。 , https://udn.com/news/story/7098/6984654?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:27 , udn , 台南市歸仁圓環旁畫設人行道 網友爆料亂象一堆 , https://udn.com/news/story/7326/6987214?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:27 , udn , 台南歸仁區市民及網友反應， 指歸仁圓環旁最近新畫設人行道，位於郵局前，許多機車騎士要到郵局都騎車穿越人行道，結果人行道被... , https://udn.com/news/story/7326/6987214?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:27 , udn , 行政院明討論1200元月票 中央也分攤？張善政：不再單打獨鬥 , https://udn.com/news/story/6656/6987216?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:28 , udn , 桃園市長張善政今天上午主持市政會議，表示明天行政院院會有可能討論交通部提案1200（元）跨城市公共運輸月票票證，目前雖然... , https://udn.com/news/story/6656/6987216?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:28 , udn , 竹聯幫插旗宜蘭擄人斷指 警「連根拔起」弘仁會宜蘭分會 , https://udn.com/news/story/7315/6987215?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:28 , udn , 竹聯幫弘仁會宜蘭分會去年插旗宜蘭，大肆招募縣內不良分子，設局詐騙被害人欠下高額債務，強行擄人囚禁虐待，甚至以榔頭敲斷被害... , https://udn.com/news/story/7315/6987215?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:29 , udn , NBA／老鷹開除主帥麥克米倫 有意挖角勇士助教亞特金森 , https://udn.com/news/story/7002/6987164?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:29 , udn , 老鷹今天宣布和資深總教練麥克米倫（Nate McMillan）分道揚鑣，原因可能是麥克米倫本季與老鷹少主楊恩（Trae Young）鬧不合。根據消息指出，新教練的人選包括前爵士主帥史奈德（Quin S , https://udn.com/news/story/7002/6987164?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:30 , udn , 越南失聯移工疑似逃避追緝 透天厝3樓墜地重傷 , https://udn.com/news/story/7320/6987202?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:30 , udn , 移民署苗栗專勤隊接獲檢舉，今天清晨6點多到頭份市信東路一棟5層樓的透天厝查緝失聯移工，在現場查獲3人，但突然聽見透天厝旁... , https://udn.com/news/story/7320/6987202?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:30 , udn , 決策小圈圈？蔣萬安：市府是一個團隊 大家各司其職 , https://udn.com/news/story/6656/6987206?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:31 , udn , 台北市長蔣萬安上任近兩個月，除前發言人羅旺哲閃辭，傳出民政局長陳永德也想退休，儘管陳永德否認要退休，不過外界質疑，蔣市府... , https://udn.com/news/story/6656/6987206?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:31 , udn , 傳徵召侯友宜選總統 國民黨：純屬臆測 , https://udn.com/news/story/123307/6987188?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:31 , udn , 國民黨備戰2024年總統選舉，傳出有意徵召新北市長侯友宜出戰，國民黨文傳會副主委林家興今天說，純屬臆測，不用過度在意，現... , https://udn.com/news/story/123307/6987188?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:32 , udn , 拍得到玉山飛得到東沙群島 林務局新航遙測飛機今亮相 , https://udn.com/news/story/7266/6987205?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:32 , udn , 為了執行航空攝影任務，農委會林務局農航所引進2架國家航遙測飛機，今天正式亮相。新機搭配最新型全數位航電系統、自動壓艙系統... , https://udn.com/news/story/7266/6987205?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:32 , udn , NBA／拚季後賽的球隊快搶！ 昔日約柯奇得力助手遭巫師買斷  , https://udn.com/news/story/7002/6987100?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:33 , udn , 明星賽後季後賽競爭白熱化，最後三分之一賽季各隊開始將不合陣容的球員釋出以重整陣容，根據《ESPN》，巫師隊稍早將搖擺人巴頓（Will Barton）釋出，讓季後賽球隊關切的買斷市場再添一員。

巴 , https://udn.com/news/story/7002/6987100?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:33 , udn , 航空市場復甦快速 長榮北美、歐洲航線夏季大幅增班 , https://udn.com/news/story/7270/6987198?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:33 , udn , 隨著疫情趨緩，國境解封，航空市場快速復甦。長榮今公布夏季班表，其中美航線自3月27日起洛杉磯、芝加哥、舊金山將陸續增班，... , https://udn.com/news/story/7270/6987198?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:34 , udn , 00692、金融股、台積電…誰定期定額績效最好？ 專家：投資不能只看報酬 , https://udn.com/news/story/123006/6986960?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:34 , udn , 「想存報酬率最高個股、ETF，能怎麼選呢？」 投資達人股魚於《投資嗨什麼》分享，從十大熱門定期定額排行榜，找出投資報酬率最高的名單，供投資朋友們選擇。 , https://udn.com/news/story/123006/6986960?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:35 , udn , 影／ 史上最長缺蛋危機 陳建仁：預估3月初緩解 , https://udn.com/news/story/7266/6987199?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:35 , udn , 國內蛋荒再起，農委會主委陳吉仲昨對消費者表達歉意，但面對這波史上最長的缺蛋危機，陳吉仲顯然難辭其咎。行政院院長陳建仁今受... , https://udn.com/news/story/7266/6987199?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:35 , udn , 「悲情城市」屏東4場特映會   索票免費觀賞每人限2張 , https://udn.com/news/story/7327/6987186?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:36 , udn , 以228事件為歷史背景、被稱是台灣人一生必看的電影「悲情城市」，睽違33年後，經數位修復推出4K版本，屏東縣政府於2月2... , https://udn.com/news/story/7327/6987186?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:36 , udn , 大學生開學打工  平均時薪177元與基本工資相差不多 , https://udn.com/news/story/7241/6987184?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:36 , udn , 物價直直漲，大學生開學要支付外食、交通等費用，格外吃力。根據TUN大學網調查發現，開學後有打工計畫的學生占83.5%，比... , https://udn.com/news/story/7241/6987184?from=udn-ch1_breaknews-1-0-news
2023-02-22 11:25:37 , udn , 新北動保處兔年特展 即日起開展 , https://udn.com/news/story/7323/6987185?from=udn-ch1_breaknews-1-0-news
