2023-02-23 00:03:22 , udn , 會考生活英語／【科技篇】線上課程 , https://udn.com/news/story/6904/6973047?from=udn-ch1_breaknews-1-0-news
2023-02-23 00:03:22 , udn , ★單字
1. experience [ ɪkˈspɪəriəns ] v. 經歷；n. 經驗（國中基本1200字）
2. offer [ ˈɔfɚ ] v. 提供（國中挑戰800字）

★實用 , https://udn.com/news/story/6904/6973047?from=udn-ch1_breaknews-1-0-news
2023-02-23 00:33:22 , udn , 謝國樑搭9026「巧合」多好幾輛車 通勤族：要持之以恆 , https://udn.com/news/story/7328/6989425?from=udn-ch1_breaknews-1-0-news
2023-02-23 00:33:22 , udn , 基隆市長謝國樑昨天上午到9026國道客運基隆長庚醫院站搭車，有乘客及鶯安里長劉大維當場陳情，平時很難等車，甚至要等1小時... , https://udn.com/news/story/7328/6989425?from=udn-ch1_breaknews-1-0-news
2023-02-23 00:36:22 , udn , 屏東科學園區環評過關 上半年將展開招商並動工 , https://udn.com/news/story/7327/6989428?from=udn-ch1_breaknews-1-0-news
2023-02-23 00:36:22 , udn , 行政院環境保護署昨天進行「南部科學園區屏東園區」環評大會審查，並決議通過。屏東縣政府感謝環評大會對屏東科學園區審查的嚴格... , https://udn.com/news/story/7327/6989428?from=udn-ch1_breaknews-1-0-news
2023-02-23 00:36:23 , udn , 禽流感嚴峻 白肉雞拉警報 蛋價雞價恐難回檔 , https://udn.com/news/story/7266/6989427?from=udn-ch1_breaknews-1-0-news
2023-02-23 00:36:23 , udn , 國內鬧蛋荒，而蛋目前的畜產現況，國產白肉雞也拉警報。中華民國養雞協會上周公告，從2月19日起，白肉雞雛雞參考價格為每隻36元的歷史新高點。產業界表示，主要是禽流感疫情嚴峻，種雞缺乏，小雞不足，接下來到3、4月，雛雞量會更少，恐間接影響到國產雞肉供應。 , https://udn.com/news/story/7266/6989427?from=udn-ch1_breaknews-1-0-news
2023-02-23 02:57:22 , udn , 中正紀念堂轉型高齡住宅、避難所？ 威權象徵變保護傘 , https://udn.com/news/story/6656/6989467?from=udn-ch1_breaknews-1-0-news
2023-02-23 02:57:22 , udn , 新一代怎麼看待中正紀念堂？「首都之心，城中轉正：中正紀念堂園區新願景概念競圖」昨舉行學生組的決選評審會，十五組入圍者分享... , https://udn.com/news/story/6656/6989467?from=udn-ch1_breaknews-1-0-news
2023-02-23 05:54:22 , udn , 微風90萬會員個資外洩 盤點近1年被駭的企業 , https://udn.com/news/story/7314/6989435?from=udn-ch1_breaknews-1-0-news
2023-02-23 05:54:22 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。微風百貨90萬筆會員個資外洩。這次的圖表帶你看台灣企業資安危機。 , https://udn.com/news/story/7314/6989435?from=udn-ch1_breaknews-1-0-news
2023-02-23 05:54:22 , udn , 3缺+1漏 唯一不缺的是遮掩問題的大內宣 , https://udn.com/news/story/6656/6989439?from=udn-ch1_breaknews-1-0-news
2023-02-23 05:54:23 , udn , 國內蛋荒斷斷續續近三年，雞蛋批發價近日更漲到每台斤42.5元的歷史新高，國人買一顆生雞蛋的價錢直接跳到二位數，蛋荒成了農委會主委陳吉仲任內最令人印象深刻的「政績」。 , https://udn.com/news/story/6656/6989439?from=udn-ch1_breaknews-1-0-news
2023-02-23 05:54:26 , udn , 謝國樑一早排隊搭9026 乘客爆怨氣「等1小時上不了車」 , https://udn.com/news/story/7328/6986979?from=udn-catehotnews_ch2
2023-02-23 06:09:22 , udn , Fed續抗通膨 史指連跌4日 , https://udn.com/news/story/6811/6989512?from=udn-ch1_breaknews-1-0-news
2023-02-23 06:09:22 , udn , 美股收低，交易員分析了Fed的會議紀錄，尋找其下一步應對通膨作法的線索。 , https://udn.com/news/story/6811/6989512?from=udn-ch1_breaknews-1-0-news
2023-02-23 06:12:22 , udn , 陸「背債人」輕鬆賺百萬 下場恐賠了一生 , https://udn.com/news/story/7331/6989384?from=udn-ch1_breaknews-1-0-news
2023-02-23 06:12:22 , udn , 華人普遍有儲蓄的習慣，對於「負債」往往避之唯恐不及。但或許是今年景氣實在不怎麼樣，近期大陸社交平台出現一批徵求專門「背債人」的訊息，號稱欠的錢不用還，可以輕鬆到手人民幣50萬元，甚至200萬元，鼓勵「白戶」者盡速聯繫。但天底下真有「白吃的午餐」？ , https://udn.com/news/story/7331/6989384?from=udn-ch1_breaknews-1-0-news
2023-02-23 06:33:22 , udn , 俄烏戰周年／共軍緊盯戰事 學到2武器可應用台海開戰 體認戰爭2大教訓 , https://udn.com/news/story/6809/6989437?from=udn-ch1_breaknews-1-0-news
2023-02-23 06:33:22 , udn , 日本經濟新聞報導，中國大陸政府內部人士透露，大陸軍方智庫最近兵推烏克蘭戰爭，結論是今夏可能進入最後階段，由俄軍占上風，這也許可以解釋為何中國最近又向俄國靠攏，北京不會押寶輸的一方。烏克蘭戰爭打了一年，中共解放軍緊盯這場戰爭，認為這是從現代戰爭學習的大好機會，他們學到什麼教訓？特別是在未來可能發生的台海戰爭方面。 , https://udn.com/news/story/6809/6989437?from=udn-ch1_breaknews-1-0-news
2023-02-23 06:54:22 , udn , 05:18花蓮規模4.5地震 最大震度3級 , https://udn.com/news/story/7266/6989498?from=udn-ch1_breaknews-1-0-news
2023-02-23 06:54:22 , udn , 根據中央氣象局最新資訊，23日5時18分發生芮氏規模4.5地震，地震深度5.0公里，震央位於花蓮縣政府東方11.9公里(... , https://udn.com/news/story/7266/6989498?from=udn-ch1_breaknews-1-0-news
2023-02-23 06:57:22 , udn , 把握今氣溫回升！明越晚越冷 228連假先冷後暖下探8度 , https://udn.com/news/story/7266/6989533?from=udn-ch1_breaknews-1-0-news
2023-02-23 06:57:22 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今(23日)氣溫略升，大台北、宜蘭有局部短暫雨，... , https://udn.com/news/story/7266/6989533?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:00:22 , udn , 清晨05:18東部發生芮氏規模4.5地震 最大震度3級 , https://udn.com/news/story/7266/6989534?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:00:22 , udn , 中央氣象局表示，今天清晨5點18分東部地區發生芮氏規模4.5地震，最大震度3級，震央位於花蓮縣政府東方11.9公里台灣東... , https://udn.com/news/story/7266/6989534?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:03:21 , udn , 疫情中逆勢成長！烘焙餐飲化 從口味取向走向新分眾時代 , https://udn.com/news/story/7238/6987754?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:03:22 , udn , 近3年在疫情衝擊下，內需產業或多或少都受到衝擊，烘焙產業卻不受影響，逆勢穩定成長。據統計，台灣的烘焙市場產值每年規模超過300億元左右，業者指出，除了產品送達消費者的形式改變外，對於烘焙產品偏好，也由以往的口味、風格，往「功能」方向轉移。 , https://udn.com/news/story/7238/6987754?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:03:22 , udn , 經典賽／投手調度限制多 胡智爲可能成Key Man , https://udn.com/news/story/122629/6989207?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:03:22 , udn , 延遲兩年的世界棒球經典賽將於3月8日開打，A組分組賽於台中洲際球場進行，預料再度掀起台灣棒球熱潮。本次賽事，中華隊陣容可謂世代交替，除了張奕及曾仁和因傷無緣參賽外，已是新生代及中生代一時之選。不過一如 , https://udn.com/news/story/122629/6989207?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:03:23 , udn , 熱火找來名將勒夫 能否就此甩開尼克的糾纏？ , https://udn.com/news/story/122629/6988826?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:03:23 , udn , 勒夫（Kevin Love）在和騎士談定買斷合約之後，決定前進南灘加入熱火。有了這名34歲的球星老將，熱火是否能把自己的排名向上推進到前四種子？並且擊退他們的世仇尼克，甩開兩隊本季至今在戰績排名上的糾 , https://udn.com/news/story/122629/6988826?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:18:21 , udn , 美Fed會議紀錄顯示官員傾向繼續升息 通膨仍是心腹大患 , https://udn.com/news/story/6811/6989538?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:18:21 , udn , 聯準會（Fed）周三發布上次會議紀錄顯示，官員仍預期有必要進一步升息，才能讓通膨回到2%的目標水準，不過幾乎所有人都贊成... , https://udn.com/news/story/6811/6989538?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:18:23 , udn , 標普500指數連跌四日！Fed會議紀錄並無意外 投資人謹慎 , https://udn.com/news/story/6811/6989530?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:18:23 , udn , 美國股市周三反彈乏力，標普500指數連續四個交易日收低，聯準會（Fed）2月決策會議紀錄顯示官員決心繼續升息以遏制通膨，... , https://udn.com/news/story/6811/6989530?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:24:22 , udn , 台美國安會談 與會美助卿：持續與台灣定期往來 , https://udn.com/news/story/6813/6989537?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:24:23 , udn , 台美高層21日在美國在台協會（AIT）華盛頓總部舉行國安會談，與會的美國國務院亞太助卿康達今天雖不願正面回應會談相關問題... , https://udn.com/news/story/6813/6989537?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:33:22 , udn , 共軍擾台／中共戰機活躍度不及軍艦 揭露日本防衛省情蒐藏一手？ , https://udn.com/news/story/10930/6988349?from=udn-ch1_breaknews-1-0-news
2023-02-23 07:33:22 , udn , 我國國防部每天公布中共機艦在台灣周邊海空域活動狀態，去年8月共軍大規模環台操演之後，9月起機艦活動規模略有減緩，其中仍有飛機大舉出海的高峰，但與兩岸當局之間的政治動作，沒有特別連動，顯示趨於常態化演訓。

