2023-02-24 00:00:00 , udn , 台指期重拾動能，日盤上漲222點收在15,597點，夜盤再度拉高，主要受惠於美股四大指數同步走揚，美債殖利率回落，科技股... , https://udn.com/news/story/7251/6991871?from=udn-ch1_breaknews-1-0-news
2023-02-24 00:20:30 , udn , 蔡4年前為何反敗為勝？國民黨老症頭至今未解 , https://udn.com/news/story/6656/6991963?from=udn-ch1_breaknews-1-0-news
2023-02-24 00:20:40 , udn , 「民進黨如妖怪，砍斷一隻手隔天就長回來」。網路搜索會指出，這是2019年11月，韓國瑜在電視節目「平論無雙」所云。其實早在當選高雄市長不久，尚未參選總統前的韓國瑜，就已說過這句話。撇開「妖怪」一詞負面含意，這的確是對民進黨的韌性，或其支持群眾的死忠，最貼切的讚美。 , https://udn.com/news/story/6656/6991963?from=udn-ch1_breaknews-1-0-news
2023-02-24 00:23:30 , udn , 人氣酒吧「BAR PINE松」春夏季節菜單「海口味」登場 , https://udn.com/news/story/7270/6991970?from=udn-ch1_breaknews-1-0-news
2023-02-24 00:23:40 , udn , 人氣設計酒吧「BAR PINE 松」，將自3月1日起啟用全新春夏季節菜單「海口味」，以台灣在地漁獲和永續發展為主題，採用... , https://udn.com/news/story/7270/6991970?from=udn-ch1_breaknews-1-0-news
2023-02-24 01:02:29 , udn , 倪晨曦穿Prada逛洗衣店？米蘭同場SOMI全昭彌IG藏貓膩 , https://udn.com/news/story/7270/6992044?from=udn-ch1_breaknews-1-0-news
2023-02-24 01:02:39 , udn , 23秋冬米蘭時裝周刻正舉行，昨晚多位明星名人包含女演員倪晨曦、SOMI全昭彌、千萬網紅Chiara Ferragni、超... , https://udn.com/news/story/7270/6992044?from=udn-ch1_breaknews-1-0-news
2023-02-24 01:20:19 , udn , 交通新設施、科技執法如謎 民眾就怕不斷「踩雷」 , https://udn.com/news/story/7266/6992057?from=udn-ch1_breaknews-1-0-news
2023-02-24 01:20:29 , udn , 交通部這兩年大幅修改交通設施，包括路口偏心設置、行人斑馬線退縮等，更祭出科技執法取締，雖然立益良善，卻因執法內容五花八門，用路人抱怨霧煞煞，上路更提心吊膽，擔心一不小心就踩雷。 , https://udn.com/news/story/7266/6992057?from=udn-ch1_breaknews-1-0-news
2023-02-24 01:26:20 , udn , 陸直播賣藥亂象多 農產品竟變「神藥」治百病 , https://udn.com/news/story/7331/6992059?from=udn-ch1_breaknews-1-0-news
2023-02-24 01:26:30 , udn , 在台灣，廣播電台、有線電視違法買藥問題屢禁不絕，中國大陸類似場景則是出現在網路直播間。尤其是過去三年因新冠疫情遠端醫療服務為更多民眾接受後，隨著政策開放，近期大陸影音平台出現一批打著「養生」旗號賣藥、行醫的直播，有些甚至將屬於「初級農產品」的藥材，誇大為能治百病的「神藥」。 , https://udn.com/news/story/7331/6992059?from=udn-ch1_breaknews-1-0-news
2023-02-24 01:32:20 , udn , 運彩線上投注回饋金擬下修 運彩公會：實虛共好政策 , https://udn.com/news/story/7005/6992060?from=udn-ch1_breaknews-1-0-news
2023-02-24 01:32:30 , udn , 第三屆運動彩券經銷商遴選及管理要點座談會，分別在台中、台北及高雄各舉辦一場，討論第三屆運彩網路會員招募回饋金從5.25%... , https://udn.com/news/story/7005/6992060?from=udn-ch1_breaknews-1-0-news
2023-02-24 01:35:19 , udn , 四個年齡都有文化禮金可拿  藝文界:希望不是一時煙火 , https://udn.com/news/story/7266/6992062?from=udn-ch1_breaknews-1-0-news
2023-02-24 01:35:29 , udn , 行政院昨通過疫後特別預算案，文化部獲行政院同意編列擴大文化成年禮金7.5億及各項藝文振興方案15億，合計22.5億元。 , https://udn.com/news/story/7266/6992062?from=udn-ch1_breaknews-1-0-news
2023-02-24 02:41:19 , udn , 【即時短評】以溫暖為名 陳內閣在平權傷口上灑鹽 , https://udn.com/news/story/6656/6992086?from=udn-ch1_breaknews-1-0-news
2023-02-24 02:41:30 , udn , 從蘇內閣到陳內閣，大撒幣已不新奇。但近來從房貸補貼、普發現金到交通月票，接二連三看見蔡政府過度仰賴補貼政策的貧乏。四不像... , https://udn.com/news/story/6656/6992086?from=udn-ch1_breaknews-1-0-news
2023-02-24 03:38:19 , udn , 台北新劇團再推「新老戲」 辜懷群：不能故步自封 , https://udn.com/news/story/7270/6992099?from=udn-ch1_breaknews-1-0-news
