2023-02-26 00:26:31 , udn , 殺破狼周運勢／白羊感情有關鍵進展 獅子脫離不友善職場 , https://udn.com/news/story/7268/6985016?from=udn-ch1_breaknews-1-0-news
2023-02-26 00:26:42 , udn , 白羊座感情運方面，金星與木星合相在命宮，與喜歡的人有關鍵性的進展，兩人會正式交往或是同居。感情穩定的白羊座，會與情感對象走入婚姻關係中，目前正在準備婚事。 , https://udn.com/news/story/7268/6985016?from=udn-ch1_breaknews-1-0-news
2023-02-26 00:35:30 , udn , 夾公仔變夾零食 夾娃娃機絕地反攻 成假日新景點 , https://udn.com/news/story/7266/6995677?from=udn-ch1_breaknews-1-0-news
2023-02-26 00:35:41 , udn , 前兩年新冠肺炎疫情嚴峻，對於夾娃娃機店因無人可看管，無法維持社交距離等疑慮政府一度禁止開放，讓業者幾乎撐不下去，但腦筋動得快的業者為改投放零食，卻重新點燃夾娃娃機熱潮，屢見民眾用紙箱裝走滿滿戰利品，甚至有業者擺滿100多個夾娃娃機台，成為假日新景點；有台主說，夾娃娃機朝向親子樂園模式，薄利多銷，熱潮有望持續。 , https://udn.com/news/story/7266/6995677?from=udn-ch1_breaknews-1-0-news
2023-02-26 00:44:30 , udn , 膠囊旅館不稀奇 大陸出現一晚人民幣61元的「廁房」 , https://udn.com/news/story/7333/6995971?from=udn-ch1_breaknews-1-0-news
2023-02-26 00:44:41 , udn , 膠囊旅館是不少為了節省旅費背包客的首選，但相較於膠囊旅館必須使用公共衛浴。河南鄭州有民宿業者推出了床就緊挨著馬桶的「廁房... , https://udn.com/news/story/7333/6995971?from=udn-ch1_breaknews-1-0-news
2023-02-26 00:50:30 , udn , 陸少子化衝擊浮現 幼兒園倒閉潮「只是開端」 , https://udn.com/news/story/7331/6995972?from=udn-ch1_breaknews-1-0-news
2023-02-26 00:50:40 , udn , 少子化在大陸所衍生的各種問題，已經陸續在各個領域顯現。其中，幼兒園儼然是站在少子化衝擊波的第一排。 , https://udn.com/news/story/7331/6995972?from=udn-ch1_breaknews-1-0-news
2023-02-26 00:53:31 , udn , 網球／班加羅爾挑戰賽 許育修勇奪男雙冠軍 , https://udn.com/news/story/7005/6995970?from=udn-ch1_breaknews-1-0-news
2023-02-26 00:53:42 , udn , 台灣網球好手許育修與韓國選手鄭允成今天在印度班加羅爾挑戰賽男雙決賽，以3比6、7比6（9比7） 、11比9逆轉擊敗印度組... , https://udn.com/news/story/7005/6995970?from=udn-ch1_breaknews-1-0-news
2023-02-26 01:29:20 , udn , 台鐵板橋車站第二月台 男子落軌遭列車輾過爆頭身亡 , https://udn.com/news/story/7320/6995985?from=udn-ch1_breaknews-1-0-news
2023-02-26 01:29:30 , udn , 台鐵板橋車站第二月台在昨天晚上發生落軌意外，一名男子當場爆頭身亡，發生原因現由鐵路警察調查釐清中。 , https://udn.com/news/story/7320/6995985?from=udn-ch1_breaknews-1-0-news
2023-02-26 01:29:51 , udn , 「南島天光」融合多元族群文化 再掀屏東燈節熱潮 , https://udn.com/news/story/7327/6995984?from=udn-ch1_breaknews-1-0-news
2023-02-26 01:30:01 , udn , 屏東燈節進入倒數，不少民眾趁連假賞燈，燈區之一的縣民公園昨晚由團隊「舞鈴劇場」帶來壓軸鉅獻，融合多元文化演出「南島天光」... , https://udn.com/news/story/7327/6995984?from=udn-ch1_breaknews-1-0-news
2023-02-26 01:50:20 , udn , 英國防部情報：俄軍伊朗製無人機損失殆盡  急需補充 , https://udn.com/news/story/6809/6995987?from=udn-ch1_breaknews-1-0-news
2023-02-26 01:50:30 , udn , 英國國防部在其25日的俄烏戰爭每日情報更新中指稱，俄軍很可能已用罄其擁有的伊朗無人機庫存。 , https://udn.com/news/story/6809/6995987?from=udn-ch1_breaknews-1-0-news
2023-02-26 02:11:19 , udn , 柯文哲單車一日北高 台南支持者高呼「柯總統好」 , https://udn.com/news/story/123307/6995990?from=udn-ch1_breaknews-1-0-news
2023-02-26 02:11:29 , udn , 民眾黨主席柯文哲228連假首日再度挑戰騎車一日北高，深夜12時10分抵達台南安南區中油永樺站休息，因在嘉義路段迷路，多走... , https://udn.com/news/story/123307/6995990?from=udn-ch1_breaknews-1-0-news
2023-02-26 03:19:23 , udn , 中租-KY展望正向 法人調升至「增加持股」評等 , https://udn.com/news/story/7252/6995868?from=udn-ch1_breaknews-1-0-news
2023-02-26 03:19:33 , udn , 中租-KY（5871）去年獲利年增26%，每股稅後純益（EPS）17.1元，連續五年大賺逾一個股本。法人指出，隨台灣營運... , https://udn.com/news/story/7252/6995868?from=udn-ch1_breaknews-1-0-news
2023-02-26 05:59:19 , udn , 228連假基隆推5條健行追櫻路線 健行步道結合知名景點 , https://udn.com/news/story/7328/6996017?from=udn-ch1_breaknews-1-0-news
2023-02-26 05:59:29 , udn , 228連假基隆市政府推薦賞櫻5條路線追櫻，健行步道與知名景點串接為賞花健行遊，旅遊時可欣賞美景，又能享受大自然的芬多精。... , https://udn.com/news/story/7328/6996017?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:20:20 , udn , 台南光電利益關係圖 背後藏鏡人不只一個 , https://udn.com/news/story/7314/6995967?from=udn-ch1_breaknews-1-0-news
2023-02-26 06:20:30 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。台南市學甲88槍擊案，涉嫌策畫及開槍的通緝犯「紅龜仔」洪政軍、孔祥志，逃亡108天後，25日自大陸遣送回台，這次的圖表帶你看台南光電利益糾葛。 , https://udn.com/news/story/7314/6995967?from=udn-ch1_breaknews-1-0-news
