2023-02-28 00:35:32 , udn , 脫歐後北愛貿易規範 英國歐盟達成新協議 , https://udn.com/news/story/6809/6998756?from=udn-ch1_breaknews-1-0-news
2023-02-28 00:35:42 , udn , 英國和歐盟27日就北愛爾蘭新貿易安排達成協議，此舉旨在結束英國脫歐造成的多年摩擦，在俄烏戰爭帶給歐洲地緣政治風險之際，讓... , https://udn.com/news/story/6809/6998756?from=udn-ch1_breaknews-1-0-news
2023-02-28 01:11:31 , udn , 陸邁入高齡社會 「低齡老人」再就業 將成新常態 , https://udn.com/news/story/7331/6998800?from=udn-ch1_breaknews-1-0-news
2023-02-28 01:11:41 , udn , 還記得2015年那部由勞勃狄尼洛、安海瑟薇主演的電影「高年級實習生」嗎？當年電影海報印著幾個大字：Experience never gets old。然而，在中國大陸現實生活中的「高年級實習生」們，卻不一定能像勞勃狄尼洛在電影中的角色那麼幸運，有機會為社會貢獻出他的人生經驗與智慧。 , https://udn.com/news/story/7331/6998800?from=udn-ch1_breaknews-1-0-news
2023-02-28 02:50:20 , udn , 沒有馴獸師和動物的馬戲團 台灣新馬戲崛起 , https://udn.com/news/story/7266/6998833?from=udn-ch1_breaknews-1-0-news
2023-02-28 02:50:30 , udn , 你看過馬戲嗎？四、五年級生可能聽過李棠華特技團，新一代則看過太陽馬戲團。此一融合雜耍、特技、當代藝術和戲劇的表演型態，近... , https://udn.com/news/story/7266/6998833?from=udn-ch1_breaknews-1-0-news
2023-02-28 03:50:20 , udn , 賓士車高速撞擊翻覆水溝 2男救出無呼吸車內有酒味 , https://udn.com/news/story/7320/6998850?from=udn-ch1_breaknews-1-0-news
2023-02-28 03:50:30 , udn , 1輛白色賓士車今凌晨高速駛經台鐵台南善化一處平交道附近路口時，車子高速飛越稻田撞及水泥護欄翻覆水溝，警消趕至將已ohca... , https://udn.com/news/story/7320/6998850?from=udn-ch1_breaknews-1-0-news
2023-02-28 06:17:22 , udn , 動員16歲學生、修全動法 恐是為了更方便販售芒果乾 , https://udn.com/news/story/6656/6998790?from=udn-ch1_breaknews-1-0-news
2023-02-28 06:17:32 , udn , 國防部預告修正「全民防衛動員法」，被質疑夾帶控制媒體、箝制言論自由條文，企圖讓數位中介法復辟。不只如此，過去流於形式的學生動員計畫也積極準備更引起家長恐慌。蔡政府表面上是為了避戰而積極備戰，實際上恐怕是為了明年總統大選操作「芒果乾」、嚴防不利執政訊息散布的提前部署。 , https://udn.com/news/story/6656/6998790?from=udn-ch1_breaknews-1-0-news
2023-02-28 06:17:53 , udn , 15類最缺藥品曝光 這款藥缺了快2年 , https://udn.com/news/story/7314/6998791?from=udn-ch1_breaknews-1-0-news
2023-02-28 06:18:03 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。國內缺藥潮一波波，衛福部昨公布15類最缺藥品。這次的圖表帶你看哪些藥現在真的買不到。 , https://udn.com/news/story/7314/6998791?from=udn-ch1_breaknews-1-0-news
2023-02-28 06:26:21 , udn , 【總編開箱】動員16歲學生、修全動法 恐是為了更方便販售芒果乾 , https://udn.com/news/story/10930/6998790?from=udn-ch1_breaknews-1-0-news
2023-02-28 06:29:20 , udn , 得不償失！老翁欠稅不繳 百萬壽險遭強制解約 , https://udn.com/news/story/7266/6998768?from=udn-ch1_breaknews-1-0-news
2023-02-28 06:29:30 , udn , 8億身價徐姓老翁欠稅1100萬元，北區國稅局楊梅稽徵所將債權移送行政執行署桃園分署執行，徐向法國巴黎人壽台灣分公司投保的632萬5千元壽險因此被解約。徐提告主張人壽保險終止權具「一身專屬性」，終止契約無據，但一、二審都敗訴。 , https://udn.com/news/story/7266/6998768?from=udn-ch1_breaknews-1-0-news
2023-02-28 06:57:21 , udn , 試圖收復失地 股指反彈走升 , https://udn.com/news/story/6811/6998868?from=udn-ch1_breaknews-1-0-news
2023-02-28 06:57:31 , udn , 美股上漲，交易員試圖在創下今年來最糟單周走勢後收復一些失地。投資人還期待著另一周的零售股財報。 , https://udn.com/news/story/6811/6998868?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:26:50 , udn , 強輻射冷卻加持 台東鹿野7.4度 吳德榮：明晚東北季風增強 , https://udn.com/news/story/7266/6998897?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:27:00 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，冷空氣續減弱，因強輻射冷卻加持，仍給竹苗、花東帶... , https://udn.com/news/story/7266/6998897?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:27:21 , udn , 電動車新局／「軟體定義汽車」時代來臨 車界與半導體業推5大創新 , https://udn.com/news/story/7238/6995558?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:27:31 , udn , 俄烏戰爭屆滿一年，這一年來因戰爭推升能源價格飆漲，加油成為開車族的噩夢，不用擔心油價的電動車更受到開車族青睞。為了讓消費者能買到有型且令人喜愛的平價電動車款，車界和半導體業，甚至還有功夫高強的軟體工程師，正聯手推動這場車界新革命。 , https://udn.com/news/story/7238/6995558?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:27:51 , udn , 唐西奇帶不動獨行俠 到底是什麼問題？ , https://udn.com/news/story/122629/6998469?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:28:02 , udn , 獨行俠在主場被湖人111：108完成27分逆轉，達拉斯人不是氣瘋就是氣到說不出話。獨行俠「雙核」唐西奇、厄文表現都在水準，唐西奇26分、9籃板、5助攻，得分略低於平均值，厄文21分、11籃板、5助攻， , https://udn.com/news/story/122629/6998469?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:28:22 , udn , 不只是得分秀 林書豪傳遞正能量與NBA經驗更寶貴 , https://udn.com/news/story/122629/6998446?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:28:33 , udn , 在NBA與多倫多暴龍隊奪冠的林書豪，2019到2022年前往中國大陸CBA發展，今年轉戰台灣PLG聯盟的高雄17直播鋼鐵人隊。首戰貢獻13次助攻，第三戰即爆發得分能量，繳出32分、7籃板、7助攻與4次 , https://udn.com/news/story/122629/6998446?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:28:53 , udn , 經典賽／日職中繼、救援王壓陣 中華隊想贏古巴要先搶分 , https://udn.com/news/story/122629/6998409?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:29:03 , udn , 即使台灣在去年年底世界棒壘球總會（WBSC）公布的棒球世界排名高居第2名，但近幾年來國際一級成棒賽事的戰績卻一直都不理想，這次經典賽在自己國家主辦，球迷當然期待身為地主的台灣能打出有所突破的成績，除了 , https://udn.com/news/story/122629/6998409?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:29:24 , udn , 酸雨風暴／基隆人最痛苦冠軍禍首 郵輪重返帶來黑色夢魘 徵皮古稅有解？ , https://udn.com/news/story/7266/6997970?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:29:34 , udn , 大型國際郵輪將在3月重返台灣，政府歡欣鼓舞迎接郵輪商機，民眾擔心郵輪帶來的黑煙即將再現，尤其是緊鄰市中心的基隆港，郵輪靠港期間發電機持續運轉，船舶使用燃油硫含量是汽車500倍，恐讓已經居冠的基隆酸雨更酸，有害人體健康，郵輪再現的美麗與哀愁，市議員郭美秀建議開徵皮古稅，學者提一解方，但卻不來電。... , https://udn.com/news/story/7266/6997970?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:35:51 , udn , 不斷更新／228連假收假日國道11地雷 北返中午前快出發 , https://udn.com/news/story/7266/6998898?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:44:30 , udn , 代理師員額失控、22縣市幾無合法 8％上限淪紙老虎條款 , https://udn.com/news/story/6885/6998900?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:44:41 , udn , 少子化衝擊，各縣市不敢開正式教師缺，就怕生源短缺衍生超額教師，因此濫用代理教師調控員額，不甩法定編制8％上限，有教師形容... , https://udn.com/news/story/6885/6998900?from=udn-ch1_breaknews-1-0-news
2023-02-28 07:54:21 , udn , 今天為和平連續假期收假日，目前國道各路段車流順暢。交通部高速公路局預估北上部分路段仍會車多速慢。 , https://udn.com/news/story/7266/6998898?from=udn-ch1_breaknews-1-0-news
2023-02-28 08:02:40 , udn , iPhone數據線供應商 正崴印度廠房發生火災後停工 , https://udn.com/news/story/7240/6998823?from=udn-ch1_breaknews-1-0-news
2023-02-28 08:02:50 , udn , 集微網消息，據路透社報導，兩名當地政府官員表示，蘋果供應商正崴精密工業股份有限公司（Foxlink）已停止其位於印度南部安得拉邦（Andhra Pradesh）的裝配廠的生產，並在發生大火後疏散了400名員工。 , https://udn.com/news/story/7240/6998823?from=udn-ch1_breaknews-1-0-news
2023-02-28 08:03:11 , udn , 全民防衛戰／你的孩子戰時要動員？全民防衛令下達學生 16歲以上生產軍火？ , https://udn.com/news/story/10930/6998230?from=udn-ch1_breaknews-1-0-news
2023-02-28 08:03:21 , udn , 中共解放軍去年圍台演習不斷，台海安全成為全球關注焦點，美方協助台灣強化戰力，台灣義務兵役延長為一年，並加強民間動員準備訓練。教育部日前召集地方教育主管機關視訊會議討論使用全民防衛動員資訊整合系統，16歲以上學生不分男女參與的學生青年服勤動員準備執行計畫的造冊資料，要填入國防部全民防衛動員署系統列管運用。... , https://udn.com/news/story/10930/6998230?from=udn-ch1_breaknews-1-0-news
2023-02-28 08:11:42 , udn , 馬斯克奪回全球首富頭銜 特斯拉股價飆漲使其財富迅速回升 , https://udn.com/news/story/6811/6998904?from=udn-ch1_breaknews-1-0-news
2023-02-28 08:11:52 , udn , 特斯拉執行長馬斯克去年12月摔下全球首富寶座，輸給法國富豪、全球精品龍頭LVMH集團老闆阿諾德（Bernard Arna... , https://udn.com/news/story/6811/6998904?from=udn-ch1_breaknews-1-0-news
2023-02-28 08:13:43 , udn , 美股小漲 投資人在上周大跌後逢低買入 , https://udn.com/news/story/6811/6998899?from=udn-ch1_breaknews-1-0-news
2023-02-28 08:13:53 , udn , 美股周一小幅收高，投資人在上周主要指數創下2023年最大跌幅後逢低買入，但對聯準會未來持續升息以抑制頑固高通膨的擔憂仍然... , https://udn.com/news/story/6811/6998899?from=udn-ch1_breaknews-1-0-news
