2023-03-01 00:20:20 , udn , 即時短評／蔣萬安DNA如雙面刃？上任以來第一道大難關 , https://udn.com/news/story/6656/7000443?from=udn-ch1_breaknews-1-0-news
2023-03-01 00:20:30 , udn , 面對228事件，是台北市長蔣萬安遭逢上任以來第一道難關，蔣家DNA宛如雙面刃，承接了政治家族光環，但也必須承受這段過往歷... , https://udn.com/news/story/6656/7000443?from=udn-ch1_breaknews-1-0-news
2023-03-01 00:23:20 , udn , 獨／無人機參演北部兩棲登陸試航 東部新紅色沙灘曝光 , https://udn.com/news/story/10930/7000444?from=udn-ch1_breaknews-1-0-news
2023-03-01 00:23:30 , udn , 海軍151艦隊本（3）月7、8日起將在桃園竹圍海灘展開一連串兩棲部隊登陸試航訓練，海軍司令部近日進一步發布「空層空域操演... , https://udn.com/news/story/10930/7000444?from=udn-ch1_breaknews-1-0-news
2023-03-01 00:23:51 , udn , 獨／中樞防衛最前線 海巡首披露特勤快艇淡水河口操演 , https://udn.com/news/story/10930/7000445?from=udn-ch1_breaknews-1-0-news
2023-03-01 00:24:01 , udn , 淡水河口海域是中樞防務最前線，海巡署日前首度發布所屬K92特種作戰突擊艇在關鍵海域實施操演畫面。配備軍規熱像儀的海巡特勤... , https://udn.com/news/story/10930/7000445?from=udn-ch1_breaknews-1-0-news
2023-03-01 00:38:30 , udn , 陸非法野生動物交易 疫情3年抓9萬人沒收百萬頭 , https://udn.com/news/story/7470/7000453?from=udn-ch1_breaknews-1-0-news
2023-03-01 00:38:41 , udn , 2003年SARS以及這三年多蔓延全球的新冠肺炎疫情，都被懷疑與食用、接觸野生動物有關。但偏偏總有人「好了傷疤忘了疼」，儘管官方三令五申禁絕，但中國大陸野生動物非法交易依舊屢禁不止。
大陸公安部近日公布，新冠疫情這3年（2020年至2022年），大陸公安機關共偵辦7萬多起涉野生動物刑事案件，抓捕犯罪嫌疑人超過9萬，收繳野生動物137萬頭（隻、條）、野生動物製品18萬公斤。 , https://udn.com/news/story/7470/7000453?from=udn-ch1_breaknews-1-0-news
2023-03-01 01:11:30 , udn , 遠紡都計案繁榮內壢？藍委被公園形狀嚇一跳 , https://udn.com/news/story/7266/7000501?from=udn-ch1_breaknews-1-0-news
2023-03-01 01:11:41 , udn , 桃園市前市長鄭文燦執政後期，通過遠東紡織內壢廠都市計變更案，10.7公頃乙種工業用地將變更為商業、住宅及醫療專用區，其中，醫療專區將興建桃園亞東紀念醫院，規畫650床；但立委魯明哲指出，看到變更案公告後嚇一大跳，3000坪公園用地，「像是飛鏢式長長的一條路」，10公頃土地竟沒有連接道路，回饋地方不應該如此安排。 , https://udn.com/news/story/7266/7000501?from=udn-ch1_breaknews-1-0-news
2023-03-01 06:17:21 , udn , 勞保老年年金10年5大變化 破產危機加劇 , https://udn.com/news/story/7314/7000506?from=udn-ch1_breaknews-1-0-news
