2023-03-02 00:05:31 , udn , 大葉大學機械系開發球拍拉線機控制軟體 技轉業界 , https://udn.com/news/story/6885/7002986?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:05:41 , udn , 彰化縣大葉大學機械與自動化工程學系主任陳昭雄指導研究生呂至翔、王國原研發球拍拉線機控制軟體，以因應台灣球拍生產工廠為歐美... , https://udn.com/news/story/6885/7002986?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:08:30 , udn , 退役上校當共諜 吸校級軍官刺探軍情 4人續押2個月 , https://udn.com/news/story/7321/7002991?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:08:40 , udn , 高雄高分檢今年1月偵辦共諜案件，帶回退役空軍劉姓上校，及孫姓中校、劉姓少校等6名海、空軍現役軍官，其中劉與3名現役校級軍... , https://udn.com/news/story/7321/7002991?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:14:31 , udn , 日媒稱9成退役軍官赴陸賣情報 國防部：憑空杜撰 , https://udn.com/news/story/10930/7003007?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:14:42 , udn , 針對日本經濟新聞以不明消息來源，指稱高達9成的台灣軍官，退役後前往中國大陸，以提供國軍情報換取金錢，質疑國軍保家衛國忠誠... , https://udn.com/news/story/10930/7003007?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:17:32 , udn , 台中鍋物控哭哭！「輕井澤 公益店」暫停營業 , https://udn.com/news/story/7270/7003009?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:17:42 , udn , 想吃「輕井澤」的中台灣鄉親，可別跑錯了！人氣鍋物「輕井澤」近期宣佈，旗下的「台中公益店」因進行設備維修更新，自即日起暫停... , https://udn.com/news/story/7270/7003009?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:23:30 , udn , 北監收容人藏手機有內情？阻斷器太老舊防不住5G訊號 , https://udn.com/news/story/7315/7003014?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:23:40 , udn , 矯正署台北監獄日前爆出收容人私藏智慧型手機，檢廉單位接獲舉報，指案情不單純，疑有管理階層包庇縱容，目前已展開相關調查。 , https://udn.com/news/story/7315/7003014?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:26:29 , udn , 會考生活英語／【校園篇】興趣量表 , https://udn.com/news/story/6904/6990689?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:26:40 , udn , ★ 單字
1. interest [ˈɪntrəst ] n. 興趣（國中基礎1200字）
2. check [ˈtʃɛk ] v. 打勾；檢查（國中基礎1200字）
3. activity n , https://udn.com/news/story/6904/6990689?from=udn-ch1_breaknews-1-0-news
2023-03-02 00:41:30 , udn , 陸留守兒童沉迷手機 玩遊戲5天5夜不睡覺 , https://udn.com/news/story/7331/7003068?from=udn-ch1_breaknews-1-0-news
