2023-03-03 00:02:31 , udn , 美軍售我戰機飛彈 揭仲：增加國軍跨海打擊能力 , https://udn.com/news/story/10930/7005667?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:02:41 , udn , 針對美國宣布出售200枚AIM-120C-8先進中程空對空飛彈與100枚AGM-88B反輻射飛彈與其他配套系統，國家政策... , https://udn.com/news/story/10930/7005667?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:05:33 , udn , 美售我機載飛彈 蘇紫雲：美落實台為非北約主要盟國 , https://udn.com/news/story/10930/7005682?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:05:43 , udn , 針對美國宣布出售200枚AIM-120C-8先進中程空對空飛彈與100枚AGM-88B反輻射飛彈，國防安全研究院戰略與資... , https://udn.com/news/story/10930/7005682?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:29:33 , udn , 彰化「送肉粽」送上高速公路？網友目瞪口呆 , https://udn.com/news/story/7325/7005710?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:29:43 , udn , 「送肉粽」要送上高速公路？彰化縣有網友po文公布3月5日晚間在和美鎮中寮里有送肉粽送煞儀式，但路線圖最後卻寫「上高速」，... , https://udn.com/news/story/7325/7005710?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:38:32 , udn , 影／台南議長賄選案 郭再欽等人交保不發一語離開法院 , https://udn.com/news/story/123273/7005733?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:38:43 , udn , 台南議長賄選案，檢方陸續羈押郭再欽等6人，台南地檢署認邱莉莉等10人涉嫌行求、期約賄賂及妨害選舉未遂等罪嫌今天起訴後，下... , https://udn.com/news/story/123273/7005733?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:41:32 , udn , Saint Laurent 23冬季女裝  愛在迷離高冷時 , https://udn.com/news/story/7270/7005743?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:41:42 , udn , 巴黎時裝周刻正盛大舉辦，日前Saint Laurent便在品牌創意總監Anthony Vaccarello主導下，帶來2... , https://udn.com/news/story/7270/7005743?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:56:23 , udn , 郭董深夜臉書力挺 林明溱感動：都是為百姓著想做事 , https://udn.com/news/story/6656/7005763?from=udn-ch1_breaknews-1-0-news
2023-03-03 00:56:33 , udn , 南投立委補選選情膠著，鴻海創辦人郭台銘深夜臉書發文，力挺國民黨候選人林明溱，讓林明溱倍感溫馨，強調郭台銘是為台灣的百姓，... , https://udn.com/news/story/6656/7005763?from=udn-ch1_breaknews-1-0-news
