2023-03-04 00:29:37 , udn , 「國民黨誤導人民」蔡總統：不會讓孩子上戰場 , https://udn.com/news/story/6656/7008128?from=udn-ch1_breaknews-1-0-news
2023-03-04 00:29:48 , udn , 蔡英文總統今天深夜臉書發文表示，南投立委補選明天登場，但這幾天國民黨到處掛布條稱「票投民進黨，孩子上戰場」，這完全不是事... , https://udn.com/news/story/6656/7008128?from=udn-ch1_breaknews-1-0-news
2023-03-04 00:41:22 , udn , 體操／世界盃多哈站 蕭佑然鞍馬決賽摘銅牌 , https://udn.com/news/story/7005/7008157?from=udn-ch1_breaknews-1-0-news
2023-03-04 00:41:33 , udn , 體操世界盃多哈站，我國鞍馬好手蕭佑然今天在男子鞍馬決賽，以難度分6.1、執行分8.733、總分14.833，僅次於去年亞... , https://udn.com/news/story/7005/7008157?from=udn-ch1_breaknews-1-0-news
2023-03-04 01:14:21 , udn , 補選前為全動法交火 朱駁蔡：民進黨修法逼小孩上戰場 , https://udn.com/news/story/6656/7008202?from=udn-ch1_breaknews-1-0-news
2023-03-04 01:14:31 , udn , 南投立委補選投票日來臨，國民黨主席朱立倫和蔡英文總統為了「全動法」，深夜以臉書發文「交火」，蔡英文總統先稱國民黨誤導人民... , https://udn.com/news/story/6656/7008202?from=udn-ch1_breaknews-1-0-news
2023-03-04 01:17:23 , udn , 科技執法誤判、開錯單 警察好累民眾好怨 , https://udn.com/news/story/7266/7008204?from=udn-ch1_breaknews-1-0-news
2023-03-04 01:17:33 , udn , 六都科技執法上路多年，東部縣市也逐漸建置，但因系統取締法條錯誤、路面標示不清等爭議，惹來民怨，花蓮去年就撤銷256件罰單，部分路段並暫停執法，警方指出，因應科技執法開單量變多，人力複審工作沉重，將增加人力審慎檢視罰單，並設告示牌提醒用路人。 , https://udn.com/news/story/7266/7008204?from=udn-ch1_breaknews-1-0-news
2023-03-04 01:35:23 , udn , CNN：澤倫斯基被斷章取義 未說「美國人須派子女參戰」 , https://udn.com/news/story/122663/7008055?from=udn-ch1_breaknews-1-0-news
2023-03-04 01:35:33 , udn , 根據CNN事實查核，烏克蘭總統澤倫斯基被斷章取義譯成英文的談話影片在網上爆紅，讓人以為他要求美國人將子女送到烏克蘭參戰。... , https://udn.com/news/story/122663/7008055?from=udn-ch1_breaknews-1-0-news
2023-03-04 01:50:21 , udn , 李克強10年總理 沒有「習李」 只有「習時代」 , https://udn.com/news/story/7331/7008214?from=udn-ch1_breaknews-1-0-news
2023-03-04 01:50:31 , udn , 大陸國務院總理李克強的北大同班同學陶景洲2日在推特上傳一則疑似李克強與國務院工作人員拍「畢業照」的影片，並留言稱「克強總理今天好像是與國務院工作人員最後一次合影留念。」 , https://udn.com/news/story/7331/7008214?from=udn-ch1_breaknews-1-0-news
2023-03-04 03:38:22 , udn , NMIXX同場李泰容看Loewe秀 年度主打包這樣解讀就對了 , https://udn.com/news/story/7270/7008240?from=udn-ch1_breaknews-1-0-news
2023-03-04 03:38:32 , udn , 曾被視為「怪物新人」、Twice師妹女團的NMIXX去年9月甫成為LOEWE品牌大使，本季已火速前進巴黎時裝周，並於台灣... , https://udn.com/news/story/7270/7008240?from=udn-ch1_breaknews-1-0-news
2023-03-04 04:08:32 , udn , 印尼國營石油公司位於雅加達北區的油庫昨晚發生爆炸，火勢猛烈直沖天際並延燒至附近民宅，現場濃煙密佈，當局緊急疏散上百名居民... , https://udn.com/news/story/6809/7008185?from=udn-ch1_breaknews-1-0-news
2023-03-04 04:14:25 , udn , 欲罷不能！散戶狂掃特斯拉股票 今年來淨買進136億美元 , https://udn.com/news/story/6811/7008169?from=udn-ch1_breaknews-1-0-news
2023-03-04 04:14:36 , udn , 散戶投資人正大舉買進電動車廠特斯拉（Tesla）的股票，而且欲罷不能。 , https://udn.com/news/story/6811/7008169?from=udn-ch1_breaknews-1-0-news
2023-03-04 04:21:54 , udn , 華爾街大多頭：六理由  美股邁入今年漲勢最強的八周 , https://udn.com/news/story/6811/7008049?from=udn-ch1_breaknews-1-0-news
2023-03-04 04:22:04 , udn , 華爾街一位知名多頭人士宣稱，投資人若擔心通膨展望不明、聯準會（Fed）升息路還很長、企業盈餘利空將至、經濟衰退顧慮加深，... , https://udn.com/news/story/6811/7008049?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:11:21 , udn , 高雄酒客敬酒險衝突 男子激動稱沒錯警方一查完了 , https://udn.com/news/story/7321/7008266?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:11:32 , udn , 高雄市新興區某酒吧今天凌晨出現酒客糾紛，許姓男子與旁桌酒客起口角，雙方劍拔弩張，險些發生衝突；警方據報到場，許情緒激動，... , https://udn.com/news/story/7321/7008266?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:17:23 , udn , 習思想藏強國密碼？大陸經濟告別百家爭鳴年代 , https://udn.com/news/story/6656/7008212?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:17:33 , udn , 一些標誌性人物的離去，往往會被視為象徵著一個時代的結束，北京大學光華管理學院名譽院長厲以寧正是如此。2月27日19時31分，厲以寧在北京協和醫院逝世，享耆壽92歲。 , https://udn.com/news/story/6656/7008212?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:17:54 , udn , 全動法修法喊卡 蔡政府爭議法案 退回不是第一次 , https://udn.com/news/story/7314/7008145?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:18:04 , udn , 國防部日前預告修正「全民防衛動員準備法」，引發諸多爭議。行政院長陳建仁昨在立法院證實全案已暫緩，在修法預告14天後，就會請國防部下架，待蒐集各界意見及整合後，再考慮是否重新提出修法。教育部近日要求16歲以上學生造冊並填入國防部「全民防衛動員署系統」，昨天也急喊停。 , https://udn.com/news/story/7314/7008145?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:23:20 , udn , 美國宣布對烏克蘭提供4億美元新軍事援助 , https://udn.com/news/story/122663/7008261?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:23:31 , udn , 美國今天宣布對烏克蘭提供4億美元新軍事援助，供應烏軍不同類型彈藥 , https://udn.com/news/story/122663/7008261?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:23:51 , udn , 【總編開箱】習思想藏強國密碼？大陸經濟告別百家爭鳴年代 , https://udn.com/news/story/7331/7008212?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:35:23 , udn , 房子要給小孩繼承 2016年後買的要留意「房地合一稅」 , https://udn.com/news/story/121591/7008189?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:35:33 , udn , 內政部統計顯示，去年全國建物移轉登記中，只有66％是買賣交易，卻有高達15％、共約7萬戶為繼承而來，對比12年前，比例已翻倍增加。其中，房價最高的台北市，也是繼承不動產比例最高的區域，去年移轉登記中，以買賣取得者只有49%，但卻有21％、共約1.2萬戶透過繼承取得，等於每10間房子就有2.1間是繼承而來，「等房」已成顯學。 , https://udn.com/news/story/121591/7008189?from=udn-ch1_breaknews-1-0-news
2023-03-04 06:47:32 , udn , 美債殖利率回落  道瓊收漲387點、那指上揚近2% , https://udn.com/news/story/6811/7008291?from=udn-ch1_breaknews-1-0-news
