2023-03-05 00:14:13 , udn , UBA／複賽8強落幕 世新送給衛冕軍政大2連敗 , https://udn.com/news/story/7003/7009542?from=udn-ch1_breaknews-1-0-news
2023-03-05 00:26:32 , udn , 殺破狼周運勢／射手職場出現重大變化 雙魚收益多荷包滿滿 , https://udn.com/news/story/7268/7001967?from=udn-ch1_breaknews-1-0-news
2023-03-05 00:26:42 , udn , 雙魚座金錢運方面，金星與木星齊聚在金錢宮位，除了每個月的固定收入外，還增加許多被動收益，荷包滿滿。經常從事奢侈的消費，目前的生活十分優渥，令週遭的人羨慕又嫉妒。 , https://udn.com/news/story/7268/7001967?from=udn-ch1_breaknews-1-0-news
2023-03-05 00:32:33 , udn , 警訊？大陸多個省市掛牌成立「國防動員辦公室」 , https://udn.com/news/story/7331/7009718?from=udn-ch1_breaknews-1-0-news
2023-03-05 00:32:43 , udn , 中共軍事動向日益受到外界關注。大陸多省市近期陸續掛牌「國防動員辦公室」，加強平戰轉換。有美國專家認為，這些辦公室將招募並... , https://udn.com/news/story/7331/7009718?from=udn-ch1_breaknews-1-0-news
2023-03-05 01:20:24 , udn , 桌球／WTT果阿球星挑戰賽 鄭怡靜逆轉晉女單冠軍戰 , https://udn.com/news/story/7005/7009592?from=udn-ch1_breaknews-1-0-news
2023-03-05 01:20:35 , udn , 在印度舉行的WTT果阿球星挑戰賽，台灣好手鄭怡靜在女單4強，面對日本的平野美宇，雙方鏖戰70分鐘，鄭怡靜才以3比2的局數... , https://udn.com/news/story/7005/7009592?from=udn-ch1_breaknews-1-0-news
2023-03-05 01:23:22 , udn , 忠信愛樂交響樂團完美演出 忠信學校學生也登台參與 , https://udn.com/news/story/7266/7009754?from=udn-ch1_breaknews-1-0-news
2023-03-05 01:23:33 , udn , 忠信愛樂交響樂團「轉 Revolve」音樂會4日晚間在忠信學校禮堂登台，選曲多為經典交響曲目，由近60名專業音樂演奏者，... , https://udn.com/news/story/7266/7009754?from=udn-ch1_breaknews-1-0-news
2023-03-05 01:47:21 , udn , 蜈蚣陣遶境玩創意 信徒大手筆撒金飾、帝王蟹 卻引來負評 , https://udn.com/news/story/7266/7009757?from=udn-ch1_breaknews-1-0-news
2023-03-05 01:47:31 , udn , 台南佳里金唐殿蕭壠香科的百足真人蜈蚣陣，長達108節、全長201.8公尺，曾獲金氏世界紀錄認證為最長蜈蚣陣，今年癸卯年蕭壠香科剛結束，蜈蚣陣上的108位神童傳統沿路撒糖果已不夠看，今年竟出現丟帝王蟹、龍蝦、紅蟳、黃金首飾、美金和烏魚子等。家長說是要給信眾歡喜，有人認為很有創意，也成功引起話題和關注度，但也有人擔心競相比較造成傳統走味。 , https://udn.com/news/story/7266/7009757?from=udn-ch1_breaknews-1-0-news
2023-03-05 04:26:23 , udn , 札波羅熱公寓遭俄軍飛彈攻擊 釀11人喪生 , https://udn.com/news/story/122663/7009772?from=udn-ch1_breaknews-1-0-news
2023-03-05 04:26:33 , udn , 烏克蘭南部城市札波羅熱（Zaporizhzhia）的一棟公寓日前遭到俄羅斯飛彈攻擊。國家緊急服務部門表示，截至今日，死亡... , https://udn.com/news/story/122663/7009772?from=udn-ch1_breaknews-1-0-news
2023-03-05 06:17:23 , udn , 只爭總統提名卡位 國民黨賠上南投立委補選 , https://udn.com/news/story/6656/7009763?from=udn-ch1_breaknews-1-0-news
2023-03-05 06:17:33 , udn , 國民黨輸掉南投立委補選，可以怪民進黨政府傾所有力量、大軍壓境，但也必須想想，國民黨要角都全力幫忙輔選了嗎？顯而易見，這些人恐怕只是陷入總統候選人提名之爭。 , https://udn.com/news/story/6656/7009763?from=udn-ch1_breaknews-1-0-news
2023-03-05 06:17:53 , udn , 郵輪觀光今年估帶進57萬旅客  重現往日榮景再等等 , https://udn.com/news/story/7314/7009707?from=udn-ch1_breaknews-1-0-news
2023-03-05 06:18:04 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。台灣睽違一年多贏來國際郵輪，這次的圖表帶你看郵輪觀光前景大好。 , https://udn.com/news/story/7314/7009707?from=udn-ch1_breaknews-1-0-news
2023-03-05 06:23:23 , udn , 【總編開箱】只爭總統提名卡位 國民黨賠上南投立委補選 , https://udn.com/news/story/123408/7009763?from=udn-ch1_breaknews-1-0-news
2023-03-05 06:38:32 , udn , 星期人物／美準勞長蘇維思 台二代成勞工天使 卻是科技業眼中釘 , https://udn.com/news/story/6812/7009756?from=udn-ch1_breaknews-1-0-news
