2023-03-06 00:29:21 , udn , 即使官司纏身  川普：被起訴2024照樣選到底 , https://udn.com/news/story/6813/7011214?from=udn-ch1_breaknews-1-0-news
2023-03-06 00:29:31 , udn , 美國前總統川普4日在「保守政治行動會議」（CPAC）年會中對記者表明，即使在2024年下屆美國總統大選前因案被起訴，他照... , https://udn.com/news/story/6813/7011214?from=udn-ch1_breaknews-1-0-news
2023-03-06 00:47:26 , udn , 高雄男疑遭茶行動私刑凌虐 岡山分局火速逮獲3人歸案 , https://udn.com/news/story/7315/7011008?from=udn-ch1_breaknews-1-0-news
2023-03-06 00:56:21 , udn , 獨／國安會期待今年投產黑熊戰車 車高過高兵監拒配合 , https://udn.com/news/story/10930/7011235?from=udn-ch1_breaknews-1-0-news
2023-03-06 00:56:31 , udn , 國防部軍備局以「獵豹專案」專案為名，將在年底前完成兩輛105公厘輪型戰車原型車，在研發測評時，性能獲國防部高層肯定，國安... , https://udn.com/news/story/10930/7011235?from=udn-ch1_breaknews-1-0-news
2023-03-06 01:11:22 , udn , 對台新作為 陸商務部長：力推兩岸經貿關係深入發展 , https://udn.com/news/story/7333/7011246?from=udn-ch1_breaknews-1-0-news
2023-03-06 01:11:32 , udn , 大陸第14屆全國人大一次會議5日在北京開幕。大陸商務部長王文濤5日下午參加「台灣代表團」審議政府工作報告時表示，商務部採... , https://udn.com/news/story/7333/7011246?from=udn-ch1_breaknews-1-0-news
2023-03-06 01:14:21 , udn , 美增派部隊駐台說法膨風 AIT軍事人員擴編另有目的 , https://udn.com/news/story/6656/7011249?from=udn-ch1_breaknews-1-0-news
2023-03-06 01:14:31 , udn , 美媒華爾街日報月前報導引述未具名美方官員表示，美國計畫未來幾個月在台增駐100至200名軍人，較1年前僅30人左右大幅增加。擴增的駐台美軍將拓展美國五角大廈提供台灣必要自衛能力訓練計畫。據了解，美國在台協會台北辦事處（AIT/T）未來確實有擴編計畫，人員規模將達到1979年台美斷交後的高峰，但主要目的是針對近年美台大批軍售換裝所需的短期人員，而非真有增派美軍「部隊」進駐台灣的計畫。 , https://udn.com/news/story/6656/7011249?from=udn-ch1_breaknews-1-0-news
2023-03-06 01:26:22 , udn , 習近平喊「不會忘記你」 西藏活佛憑什麼屹立兩會63年 , https://udn.com/news/story/7331/7011251?from=udn-ch1_breaknews-1-0-news
2023-03-06 01:26:33 , udn , 今年大陸全國兩會（人大、政協會議）是換屆大會，不少高層都將「到站下車」。不過在中共政壇卻有位傳奇人物，已經擔任大陸「黨和國家領導人」超過一甲子時間，迄今依舊屹立不搖。 , https://udn.com/news/story/7331/7011251?from=udn-ch1_breaknews-1-0-news
2023-03-06 01:32:22 , udn , 赴美考察雷射戰車衞中樞 專家：建軍需求優序本末倒置 , https://udn.com/news/story/10930/7011253?from=udn-ch1_breaknews-1-0-news
2023-03-06 01:32:32 , udn , 外傳憲兵指揮部本月將派員赴美考察雷射戰車，規劃列為未來中樞防衛防線之一。旅美的台海安全研究中心主任梅復興認為，此舉軍方容... , https://udn.com/news/story/10930/7011253?from=udn-ch1_breaknews-1-0-news
2023-03-06 03:08:22 , udn , 長期戴口罩 不利幼兒發展 , https://udn.com/news/story/6885/7011267?from=udn-ch1_breaknews-1-0-news
2023-03-06 03:08:33 , udn , 疫情三年，影響最大的恐怕是在成長關鍵期戴了口罩三年的幼兒。幼兒專家認為，長期戴口罩不利幼兒發展；疫後幼兒有三大能力待重建... , https://udn.com/news/story/6885/7011267?from=udn-ch1_breaknews-1-0-news
2023-03-06 03:08:53 , udn , 口罩影響知識傳遞  老師認不出學生降低出席率 , https://udn.com/news/story/6885/7011270?from=udn-ch1_breaknews-1-0-news
2023-03-06 03:09:03 , udn , 全台大專校院今起口罩解禁，終可揮別長久以來的口罩校園。學校教師發現，學生久戴口罩，上台報告時顏面神經變得不自然，笑起來怪... , https://udn.com/news/story/6885/7011270?from=udn-ch1_breaknews-1-0-news
2023-03-06 03:09:24 , udn , 口罩遮三醜？ 「口罩拉高顏值」有科學根據 , https://udn.com/news/story/7270/7011269?from=udn-ch1_breaknews-1-0-news
2023-03-06 03:09:34 , udn , 一名實踐大學的大四學生分享，疫情期間在餐酒館打工，遇到客人向她要Line，說「妳眼睛很漂亮」。這是她生平第一次被搭訕，認... , https://udn.com/news/story/7270/7011269?from=udn-ch1_breaknews-1-0-news
2023-03-06 03:09:55 , udn , 後口罩時代  為什麼你我還不能開啟「無罩新生活」？ , https://udn.com/news/story/7266/7011268?from=udn-ch1_breaknews-1-0-news
2023-03-06 03:10:05 , udn , 台灣室內口罩鬆綁已上路兩周，戶外口罩解禁更超過三個月。但OL劉小姐仍天天戴口罩上班，逛街購物都把臉包得緊緊，只有回到部門... , https://udn.com/news/story/7266/7011268?from=udn-ch1_breaknews-1-0-news
2023-03-06 05:26:22 , udn , 北京騎牆加深西方疑心 美眾院設中國委員會 台灣要當心2件事 , https://udn.com/news/story/6809/7009069?from=udn-ch1_breaknews-1-0-news
2023-03-06 05:26:32 , udn , 聯合報精選每周國際大事，由資深國際新聞媒體人郭崇倫深入解讀，帶讀者看懂國際新聞背後門道，快速掌握全球局勢變化。

