2023-03-07 00:00:06 , udn , 美股道瓊早盤上漲0.2% 市場靜待重要數據和鮑爾證詞 , https://udn.com/news/story/6811/7013321?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:00:17 , udn , 美股三大指數6日早盤上漲，道瓊工業指數漲63點，投資人正在等待美國本周即將公布的重要數據，以及聯準會（Fed）主席鮑爾的... , https://udn.com/news/story/6811/7013321?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:02:39 , udn , 印尼邊陲島嶼土石流釀11死 估計50人失蹤 , https://udn.com/news/story/6812/7013312?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:02:49 , udn , 印尼國家災害應變總署（National Disaster Mitigation Agency）表示，印尼最外圍的其中一座... , https://udn.com/news/story/6812/7013312?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:08:23 , udn , 游泳／春季錦標賽落幕 王冠閎挑戰紀錄又差一點 , https://udn.com/news/story/7005/7013427?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:08:34 , udn , 全國春季游泳錦標賽最後一天賽程，東奧國手王冠閎臨去秋波在男子100蝶申請中途計時游出24秒43，距全國紀錄24秒42僅僅... , https://udn.com/news/story/7005/7013427?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:11:30 , udn , 民主黨高層想換人選2024  希拉蕊、蜜雪兒都是選項 , https://udn.com/news/story/6813/7013431?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:11:41 , udn , 美國福斯新聞6日報導，民主黨領導高層目前未必都支持總統拜登2024年尋求連任，若干「層級很高的民主黨人士」其實對他再代表... , https://udn.com/news/story/6813/7013431?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:14:24 , udn , 民主黨高層想換人選2024 希拉蕊、蜜雪兒都是選項 , https://udn.com/news/story/6813/7013431?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:19:28 , udn , 全美最高、最深地下洞穴瀑布 有個浪漫的故事 , https://udn.com/news/story/6813/7013306?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:19:38 , udn , 大自然的鬼斧神工總是讓人讚嘆，美國最令人驚歎的自然奇觀之一就隱藏在另一個美麗的自然景觀裡。紅寶石瀑布(Ruby Fall... , https://udn.com/news/story/6813/7013306?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:32:24 , udn , 大學擴校夢一場？台南大學7億換絕情 台大還在苦苦掙扎 , https://udn.com/news/story/6928/7013477?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:32:35 , udn , 近30年前民間喊出廣設大學口號，教育部也由地方政府提供土地廣設大學第二校區、分部，不過台南大學七股校區無師生願遷入，類似失敗案例不少，台灣體育運動大學到嘉義縣設朴子分校，最後師生全回校本部，校方曾說「分校如夢一場」，彷彿為教改下了一個註解。 , https://udn.com/news/story/6928/7013477?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:44:21 , udn , 秦剛兩會「首秀」 大陸戰狼外交變溫柔？ , https://udn.com/news/story/7331/7013505?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:44:32 , udn , 依據中國大陸慣例，秦剛原應於今年3月的大陸全國人大會議才被選為外交部長，但他卻提前接任，令這項人事任命格外受矚。3月7日，秦剛作為大陸新任外長，將首度出席大陸全國兩會「外長記者會」，這場專屬於他的首秀，是否會延續中共近年外交「戰狼」風格，中外媒體都很關注。 , https://udn.com/news/story/7331/7013505?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:53:24 , udn , 西門戶機捷vs.東門戶基捷 基市府主張中央負擔建設經費 , https://udn.com/news/story/6656/7013507?from=udn-ch1_breaknews-1-0-news
2023-03-07 00:53:34 , udn , 基隆市長謝國樑對中央要求市府分攤基隆捷運，53.85億元建設經費額度有意見。市府交通處長王圳宏昨天提出法源和推動作業，表... , https://udn.com/news/story/6656/7013507?from=udn-ch1_breaknews-1-0-news
2023-03-07 01:08:22 , udn , 陳其邁赴日行銷有備而來 撂日語誠意十足 , https://udn.com/news/story/7327/7013513?from=udn-ch1_breaknews-1-0-news
