2023-03-08 00:11:52 , udn , 鮑爾國會作證 暗示3月升息2碼機率升高 , https://udn.com/news/story/6811/7015918?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:12:02 , udn , 美國聯準會（Fed）主席鮑爾7日出席參議院銀行委會作證時表示，利率可能必須更高，最終利率可能比之前的預期更高，且可能須升得更快... , https://udn.com/news/story/6811/7015918?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:17:52 , udn , 飛花落院攜手5大製茶師 2周年限定茶餐會只有3天 , https://udn.com/news/story/7270/7016056?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:18:03 , udn , 歷時10年打造、耗資2億，號稱「台中最難訂的餐廳」飛花落院，即將在今年4月開幕滿2周年。為慶祝第二個生日，同時迎接藍花楹... , https://udn.com/news/story/7270/7016056?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:26:32 , udn , 嘉市大同國小廁所超藝文 工業風還有畢卡索畫作 , https://udn.com/news/story/6898/7016082?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:26:42 , udn , 校園廁所改造成另類美術館，嘉義市大同國小連3年向教育部申請整建老舊廁所經費，首期完工廁所有陳澄波等本土畫家作品，第2期結... , https://udn.com/news/story/6898/7016082?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:27:03 , udn , 台中龍井國中勇奪手球男子組全國冠軍 , https://udn.com/news/story/7002/7016083?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:27:13 , udn , 台中市龍井國中上個月參加全國中小學師生手球錦標賽，從24個隊伍中脫穎而出，勇奪國中男子組冠軍，並取得代表國家出國比賽資格... , https://udn.com/news/story/7002/7016083?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:32:32 , udn , 影／雲林熱炒店驚現巨無霸魟魚 支解過程吸引路人圍觀 , https://udn.com/news/story/7326/7016098?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:32:43 , udn , 雲林縣斗六市7日驚現一尾巨無霸魟魚，重達56公斤魟魚展示在熱炒店門口，引起路人圍觀圍觀。熱炒店老闆謝佳達說，這是他當天從... , https://udn.com/news/story/7326/7016098?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:37:05 , udn , 謝國樑嗆吞53億門都沒有 賴品妤：雙手一攤耍賴太兒戲 , https://udn.com/news/story/123413/7016095?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:37:15 , udn , 基隆捷運基隆分攤額暴增3倍，市長謝國樑大喊「要基隆分攤這些錢，門都沒有」，新北市汐止區立委賴品妤今晚說，謝市長雙手一攤耍... , https://udn.com/news/story/123413/7016095?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:38:33 , udn , 搶救220歲的手術 苗栗「飄浮老樹」成功續命 , https://udn.com/news/story/7266/7016113?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:38:43 , udn , 苗栗縣有不少老樹或珍貴樹木，與土地、居民的生命記憶緊密連結，成為社區的精神象徵，全縣迄今由縣府列管的受保護樹木共99棵，但有的老樹面臨病蟲害、天災的挑戰，縣府或民眾為保存老樹展開搶救大作戰，展現尊重生命和護樹、愛樹的保育精神。 , https://udn.com/news/story/7266/7016113?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:56:33 , udn , 陸職場35歲門檻 升不上去就被淘汰 , https://udn.com/news/story/7331/7016135?from=udn-ch1_breaknews-1-0-news
2023-03-08 00:56:43 , udn , 近年大陸經濟成長放緩，就業壓力也隨之凸顯，除了年輕人求職不易外，職場的「35歲危機」也一直受到討論，在近日於北京召開的大陸全國兩會上，就有來自工會的大陸全國政協委員，擬提案建議政府，加大反年齡歧視就業立法和執法監督力度，營造對中高齡勞動者友好的社會環境。 , https://udn.com/news/story/7331/7016135?from=udn-ch1_breaknews-1-0-news
