2023-03-09 00:14:53 , udn , 北大台研院長李義虎：今年兩岸民間交流回暖可期 , https://udn.com/news/story/7333/7018798?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:15:03 , udn , 大陸第14屆全國人大代表、北京大學台灣研究院院長李義虎8日接受媒體視訊採訪時表示，可以期待今年兩岸民間交流活動增量有所上... , https://udn.com/news/story/7333/7018798?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:15:54 , udn , 台灣機械2月出口21.27億美元 機械公會：4月可望迎春燕 , https://udn.com/news/story/7238/7018745?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:16:04 , udn , 台灣機械公會今(8)日公布2月機械設備出口值21.27億美元，月減5.9%、年減18.7%，為自去年8月以來連續七個月衰... , https://udn.com/news/story/7238/7018745?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:17:54 , udn , 經典賽／中華隊9次四死球釀敗因 餅總：沒有預期 , https://udn.com/news/story/7001/7018807?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:18:05 , udn , 中華隊在世界棒球經典賽首戰吞下5：12的慘敗，投手群無法抑制巴拿馬打線是主因，總教練林岳平也點出最大差距在投手群全場高達... , https://udn.com/news/story/7001/7018807?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:26:45 , udn , 會考生活英語／【一般商務篇】郵局 , https://udn.com/news/story/6904/7003375?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:26:56 , udn , ★單字
1. package [ˋpækɪdʒ] n. 包裹（國中基本1200字）
2. bill [bɪl] n. 帳單；紙幣（國中挑戰800字）
3. international [͵ɪnt , https://udn.com/news/story/6904/7003375?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:29:43 , udn , 經典賽／對抗台式應援 巴拿馬教頭：得分就會安靜 , https://udn.com/news/story/7001/7018836?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:29:53 , udn , 中華隊今晚在台中洲際棒球場慘敗，讓巴拿馬隊以12：5帶走隊史在世界棒球經典賽首勝，如何對抗2萬名台灣球迷的熱情應援？巴拿... , https://udn.com/news/story/7001/7018836?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:30:14 , udn , 經典賽／老爸要他神經大條一點 吳念庭開砲最滿意選球 , https://udn.com/news/story/7001/7018841?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:30:24 , udn , 中華隊在經典賽首戰就輸得慘烈，以5：12遭巴拿馬隊慘電，還險些遭到提前結束，吳念庭第7局兩分砲助中華隊撐滿9局，人生第一... , https://udn.com/news/story/7001/7018841?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:38:44 , udn , 暗夜烈火 彰化田中木材堆置場火警  延燒9小時 , https://udn.com/news/story/7320/7018864?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:38:55 , udn , 彰化縣田中鎮與溪州鄉交界處的大同北路8日下午2點多發生火警，由於是民眾堆置的木堆發生火警，火勢一發不可收拾，彰化縣消防局... , https://udn.com/news/story/7320/7018864?from=udn-ch1_breaknews-1-0-news
2023-03-09 00:41:35 , udn , 經典賽／跑4個壘包發現被接殺 鄭宗哲：以為是全壘打 , https://udn.com/news/story/7001/7018871?from=udn-ch1_breaknews-1-0-news
