2023-03-10 00:14:43 , udn , 協助消防人員救援 埔心分隊獲捐贈勤務車 , https://udn.com/news/story/7324/7021575?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:14:54 , udn , 石朝政先生過去曾為楊梅義消分隊顧問，為讓消防人員有更多設備保衛民眾安全，今捐贈勤務車給予消防第2大隊埔心分隊，由消防局副... , https://udn.com/news/story/7324/7021575?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:23:33 , udn , 警掃蕩黑幫拘提竹聯幫分子 查扣2枝改造槍、開山刀 , https://udn.com/news/story/7315/7021609?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:23:44 , udn , 竹聯幫仁堂明仁會日前辦春酒刻意壯大黑幫聲勢，警方全面靖城掃黑，北投分局今晚在轄區臨檢，同時偵查隊也持桃園地檢署拘票，拘提... , https://udn.com/news/story/7315/7021609?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:26:34 , udn , 問鼎「花膠鮑魚干貝雞鍋、酸菜魚鍋」登場！升級享優惠 , https://udn.com/news/story/7270/7021611?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:26:44 , udn , 了解民眾對於食補保養的需求，馬辣集團的火鍋品牌「問鼎．皇上吉祥」。即日起新推出「花膠鮑魚干貝雞鍋」與「溜溜酸菜魚鍋」兩款... , https://udn.com/news/story/7270/7021611?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:29:33 , udn , 雲林議長收賄案羈押庭 凌晨挑燈夜戰只押1人 , https://udn.com/news/story/123421/7021615?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:29:44 , udn , 雲林縣議長沈宗隆疑向達德能源公司涉收賄案，涉案27名達德公司人員和議員，6人遭聲押，5人交保，今晚7時雲林地方法院開羈押... , https://udn.com/news/story/123421/7021615?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:30:04 , udn , 高雄警局長深夜衝酒店臨檢 女公關「美腿林」不見了 , https://udn.com/news/story/7315/7021612?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:30:15 , udn , 竹聯幫仁堂明仁會日前在台北大直萬豪酒店辦春酒，大批黑衣人聚集，還警方近日大動作壓制黑幫氣焰，高雄市警局今深夜展開威力掃蕩... , https://udn.com/news/story/7315/7021612?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:35:07 , udn , 類出國景點再加一！台隆手創館旗艦店進駐台中LaLaport , https://udn.com/news/story/7241/7021555?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:35:18 , udn , 台隆手創館全新型態沉浸式體驗店，將於3月10日在台中日系購物中心三井LaLaport盛大開幕，這也是繼去年10月與日本第... , https://udn.com/news/story/7241/7021555?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:36:09 , udn , 築間全新品牌「绘馬」加入台中燒肉戰局 限定3天88折 , https://udn.com/news/story/7270/7021495?from=udn-ch1_breaknews-1-0-news
2023-03-10 00:36:19 , udn , 築間餐飲集團全新品牌「绘馬別邸」加入台中燒肉戰局！築間今(9)日宣布，配合世界棒球經典賽在台中洲際棒球場開打，3月10日... , https://udn.com/news/story/7270/7021495?from=udn-ch1_breaknews-1-0-news
