2023-03-11 00:02:54 , udn , 賀中華隊戰勝！7-ELEVEN一日限定指定CITY飲品買1送1 , https://udn.com/news/story/7270/7023916?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:03:04 , udn , 慶祝WBC世界棒球經典賽分組賽今晚（3月10日）中華隊力克義大利拿下首勝，7-ELEVEN線上線下推優惠同歡慶，門市於3... , https://udn.com/news/story/7270/7023916?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:03:25 , udn , 經典賽／福星！呂彥青0球拆彈後當轉運手 奪勝跟進嘟嘟、建仔 , https://udn.com/news/story/10785/7023906?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:03:35 , udn , 中華隊今天讓洲際棒球場2萬球迷都沸騰，克服兩度落後，「福星」呂彥青的登板之後，張育成第6局敲追平兩分砲，就連第7局兩度啟... , https://udn.com/news/story/10785/7023906?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:03:56 , udn , 習近平邁向第三任國家主席 學者：鞏固內部意識強烈 , https://udn.com/news/story/7331/7023894?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:04:06 , udn , 大陸國家主席習近平10日成功以二九五二票「全票當選」邁向第三任期，成為中共建政以來第一人，對此學者解讀，此舉鞏固內部意識... , https://udn.com/news/story/7331/7023894?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:04:57 , udn , 經典賽／大災難、慘不忍睹、確實技不如人…南韓慘敗給日本後國內媒體的評論 , https://udn.com/news/story/10785/7023889?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:05:54 , udn , 賀中華隊戰勝義大利！7-ELEVEN一日限定「指定CITY飲品買1送1」 , https://udn.com/news/story/7270/7023916?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:08:52 , udn , 退將：共軍若攻台必是奇襲 會在毀台60%戰力後發動登島作戰 , https://udn.com/news/story/10930/7023921?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:09:02 , udn , 兩岸關係走向近年備受國際關注，而退役少將胡瑞舟10日指出，若共軍攻台必然是奇襲、摧毀台灣60%戰力後發動登島作戰。學者陳... , https://udn.com/news/story/10930/7023921?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:14:54 , udn , 川普將出版名人來函 分享與歐普拉、英女王對話 , https://udn.com/news/story/6813/7023899?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:15:05 , udn , 美國前總統川普和出版商今天說，一些世界大人物如美國前總統尼克森（Richard Nixon）、北韓領導人金正恩和脫口秀主... , https://udn.com/news/story/6813/7023899?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:17:54 , udn , 教養即診室／親子共讀埋種籽 指讀啟蒙讀寫力 , https://udn.com/news/story/7266/7023969?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:18:05 , udn , 越來越多家長知道零到六歲親子共讀的重要性，隨著孩子對閱讀萌生興趣，專家建議，親子共讀時，除了看圖說故事之外，透過指讀可以... , https://udn.com/news/story/7266/7023969?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:18:25 , udn , 前支聯會主席李卓人妻子鄧燕娥 返港探夫被捕 , https://udn.com/news/story/7331/7023966?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:18:35 , udn , 據香港文匯報報導，前香港職工會聯盟（簡稱「職工盟」）秘書長、前香港市民支援愛國民主運動聯合會（簡稱「支聯會」）主席李卓人... , https://udn.com/news/story/7331/7023966?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:26:46 , udn , 經典賽／連外媒都好奇敬禮手勢由來 張育成一言難盡 , https://udn.com/news/story/7001/7023983?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:26:56 , udn , 中華隊今天歷經苦戰，以11：7擊敗義大利隊，在世界棒球經典賽開張勝場，張育成追平兩分砲是維繫氣勢不墜的關鍵，他的敬禮手勢... , https://udn.com/news/story/7001/7023983?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:32:49 , udn , 經典賽／抓住義大利剛換投契機 第7局2右打代打都奏效 , https://udn.com/news/story/7001/7023998?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:32:59 , udn , 中華隊10日在世界棒球經典賽打下一場精采的勝利，以11：7擊敗義大利隊，第7局超前戰局，教練團當下把握住義大利換投必須面... , https://udn.com/news/story/7001/7023998?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:41:46 , udn , 經典賽／虎伏四年等待躍起 黃子鵬扛抗荷先發 , https://udn.com/news/story/10785/7024012?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:41:57 , udn , 中華隊在世界棒球經典賽第二戰以11：7擊敗義大利隊，演出瘋狂逆轉，全場燃起的猛烈鬥志要接棒給「老虎」黃子鵬，這位低肩側投... , https://udn.com/news/story/10785/7024012?from=udn-ch1_breaknews-1-0-news
2023-03-11 00:47:46 , udn , 經典賽／這慶生來得挺突然 呂彥青奪勝「永生難忘」 , https://udn.com/news/story/7001/7024013?from=udn-ch1_breaknews-1-0-news
