2023-03-13 00:05:55 , udn , HBL冠軍賽／光復高中、淡水商工分獲男女組冠軍 , https://udn.com/news/story/7005/7027013?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:06:05 , udn , HBL高中籃球聯賽今晚間進行冠軍賽，女子組冠軍由淡水商工拿下，男子組冠軍則是由光復高中獲得，賽後由副總統賴清德分別頒贈冠... , https://udn.com/news/story/7005/7027013?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:11:53 , udn , 2021年美國會暴動案  潘斯：歷史將追究川普責任 , https://udn.com/news/story/6813/7027026?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:12:04 , udn , 美國前總統川普的副手潘斯，11日晚間在華府舉行的年度「烤架俱樂部晚宴」（Gridiron Club Dinner）中，首... , https://udn.com/news/story/6813/7027026?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:14:26 , udn , 「蟲雨」襲擊遼寧？ 竟是楊樹花惹誤會 美媒稱是生物災難 , https://udn.com/news/story/7332/7026242?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:14:36 , udn , 中國下「蟲雨」？「紐約郵報」日前報導稱「中國遭遇生物災難」，其依據是一條社交媒體視頻，視頻中，「小蟲子」遍地都是，而人們... , https://udn.com/news/story/7332/7026242?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:20:55 , udn , 桃園電桿連冒火花停電虛驚 台電：鹽霧害附電桿漏電 , https://udn.com/news/story/7324/7027046?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:21:06 , udn , 桃園市中壢、平鎮地區今晚大停電之後，觀音地區今晚9時亦突然發生多起電線桿上冒出火花事故，引起觀音居民緊張擔心爆發大停電事... , https://udn.com/news/story/7324/7027046?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:29:37 , udn , 黑幫高調辦春酒！新北警大掃黑 逮29通緝犯還有1把槍 , https://udn.com/news/story/7320/7027057?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:29:48 , udn , 竹聯幫明仁會日前豪砸600多萬元，在北市大直萬豪酒店高調辦春酒，請來170名旗袍辣妹擔任迎賓隊伍、桌邊服務，更邀請多位藝... , https://udn.com/news/story/7320/7027057?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:32:35 , udn , NBA／慶幸自己絕殺三分未中 格林：可以省5萬美元 , https://udn.com/news/story/7002/7027047?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:32:45 , udn , 勇士今天回到主場迎戰強敵公鹿，在四節結束前原本還處於8分落後劣勢，但靠著柯瑞（Stephen Curry）力挽狂瀾的強勢飆分秀，硬是在最後關頭追平比分，柯瑞甚至還封阻哈勒戴（Jrue Holiday） , https://udn.com/news/story/7002/7027047?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:50:37 , udn , 大陸公務員1998年一次砍一半 今年裁員潮又來了嗎 , https://udn.com/news/story/7331/7027077?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:50:47 , udn , 中共廿屆二中全會日前通過「黨和國家機構改革方案」，當中針對國家機構的部分，大陸全國人大已在3月10日先行通過「國務院機構改革方案」，規定國家機關各部門人員編制統一按照5%的比率精減，創下1998年以來最大幅度。 , https://udn.com/news/story/7331/7027077?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:59:24 , udn , 國旅最掃興的幾件事 專家教你如何避免 , https://udn.com/news/story/7314/7027099?from=udn-ch1_breaknews-1-0-news
2023-03-13 00:59:34 , udn , 台東好山好水吸引不少遊客到訪遊玩，旅遊過程除可能遭遇一般交通車禍事故，還可能遇到一些「特殊意外」，例如山區導航迷航、騎車撞猴子、品嘗食物過敏....，這些意外輕則影響遊程，嚴重者可能需住院治療，甚至短期無法返鄉。 , https://udn.com/news/story/7314/7027099?from=udn-ch1_breaknews-1-0-news
2023-03-13 01:05:25 , udn , 美新媒體打造「Z世代新聞」 抖音、YouTube說故事 , https://udn.com/news/story/6809/7027102?from=udn-ch1_breaknews-1-0-news
2023-03-13 01:05:36 , udn , 既然年輕人那麼愛滑社群平台，要吸引年輕人看新聞，最直接的方式就是在社群平台發布新聞。 , https://udn.com/news/story/6809/7027102?from=udn-ch1_breaknews-1-0-news
2023-03-13 01:41:25 , udn , 經典運彩／美、墨雙方大聯盟球員對打 推墨西哥受讓 , https://udn.com/news/story/10785/7027115?from=udn-ch1_breaknews-1-0-news
2023-03-13 01:41:35 , udn , 【文／運彩貓堯舜魚湯】
2023世界棒球經典賽分組預賽 墨西哥 vs. 美國
比賽時間: 3/13 10:00

墨西哥在首戰惜敗哥倫比亞，美國則是一如預期擊敗英國，兩個在世界排名前5的國家隊 , https://udn.com/news/story/10785/7027115?from=udn-ch1_breaknews-1-0-news
2023-03-13 01:56:25 , udn , 疑似走私艇加州聖地牙哥翻覆 8死7失蹤 , https://udn.com/news/story/6813/7027121?from=udn-ch1_breaknews-1-0-news
2023-03-13 01:56:35 , udn , 美國加州聖地牙哥消防局表示，兩艘疑似走私艇朝聖地牙哥海灘靠近時，其中一艘翻覆，造成8人死亡，估計有另外7人失蹤，消防隊員... , https://udn.com/news/story/6813/7027121?from=udn-ch1_breaknews-1-0-news
2023-03-13 02:20:23 , udn , 文化部長史哲談上任挑戰 打通影視音產業的任督二脈 , https://udn.com/news/story/7314/7027130?from=udn-ch1_breaknews-1-0-news
2023-03-13 02:20:34 , udn , 文化部長史哲隨身攜帶藍芽喇叭。不久前他為一位日本訪客播放宇多田光的「First Love」，對方當場淚流滿面。「每個人生... , https://udn.com/news/story/7314/7027130?from=udn-ch1_breaknews-1-0-news
2023-03-13 02:26:26 , udn , 建中失戀沒考上台大 史哲感謝「看到不是台北的台灣」 , https://udn.com/news/story/7314/7027131?from=udn-ch1_breaknews-1-0-news
2023-03-13 02:26:36 , udn , 文化部長史哲有一組秘密的LINE貼圖「老闆說得好」，上面記錄他的口頭禪：「偉大化」、「起手式？」、「脈絡很重要」，還有充... , https://udn.com/news/story/7314/7027131?from=udn-ch1_breaknews-1-0-news
2023-03-13 04:41:24 , udn , 聖地牙哥海岸2走私船翻覆 至少8死 , https://udn.com/news/story/6813/7027142?from=udn-ch1_breaknews-1-0-news
2023-03-13 04:41:35 , udn , 南加州聖地牙哥海岸11日晚兩艘涉嫌走私的船隻發生翻覆，導致至少八人死亡。救援機構表示，一旦天氣狀況允許，12日晨將恢復尋找其他遇難者工作。 , https://udn.com/news/story/6813/7027142?from=udn-ch1_breaknews-1-0-news
2023-03-13 04:46:59 , udn , 2021年美國會暴動案 潘斯：歷史將追究川普責任 , https://udn.com/news/story/6813/7027026?from=udn-ch1_breaknews-1-0-news
2023-03-13 05:26:23 , udn , 蔡英文「說服」麥卡錫加州見？台灣或白宮誰出的主意差很大 , https://udn.com/news/story/6809/7024931?from=udn-ch1_breaknews-1-0-news
2023-03-13 05:26:34 , udn , 聯合報精選每周國際大事，由資深國際新聞媒體人郭崇倫深入解讀，帶讀者看懂國際新聞背後門道，快速掌握全球局勢變化。

看點1：總統蔡英文4月出訪中美洲將過境美國，並與眾院議長麥卡錫在加州會面。其中最值得進一步深究的是，究竟這是台北方面主動提議？還是白宮示意、台灣配合？

看點2：懸而未決的強徵勞工賠償爭議讓日韓關係始終處於低點，也為華盛頓在應對中國及北韓威脅上帶來阻力。不過僵局終於露出曙光，為何明知會引起反彈，韓國總統尹錫悅仍堅持提出讓國人難以接受的解方？

看點3：俄羅斯與烏克蘭部隊持續在巴赫穆特激戰，為何戰略價值低卻被兩軍視為「丟不得」的關鍵要地？震驚全歐的北溪天然氣管爆炸案有了新進展，這次被指控幕後黑手的是烏克蘭。 , https://udn.com/news/story/6809/7024931?from=udn-ch1_breaknews-1-0-news
2023-03-13 05:56:24 , udn , 尼加拉瓜與教廷關係惡化 傳奧蒂嘉下令關雙方使館 , https://udn.com/news/story/6809/7027148?from=udn-ch1_breaknews-1-0-news
2023-03-13 05:56:34 , udn , 梵蒂岡消息人士今天表示，尼加拉瓜總統奧蒂嘉已經下令將教廷駐尼加拉瓜首都馬納瓜大使館，以及尼加拉瓜駐梵蒂岡大使館關閉 , https://udn.com/news/story/6809/7027148?from=udn-ch1_breaknews-1-0-news
2023-03-13 06:17:26 , udn , 陸國務院新班子出爐 領導層級大變 部會首長小變 , https://udn.com/news/story/7314/7027116?from=udn-ch1_breaknews-1-0-news
2023-03-13 06:17:36 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看大陸國務院新人事。 , https://udn.com/news/story/7314/7027116?from=udn-ch1_breaknews-1-0-news
2023-03-13 06:20:25 , udn , 球迷想要中華隊贏球 更想要一個好的看球環境 , https://udn.com/news/story/6656/7027119?from=udn-ch1_breaknews-1-0-news
2023-03-13 06:20:35 , udn , 中華隊在本屆世界棒球經典賽的賽程昨天結束，雖然最終沒能打進複賽，但國人普遍都對此次中華隊的表現感到振奮。中華隊出賽的4場比賽都滿場，共8萬人進場看球，這些球迷除了看到中華隊的拚戰精神，也第一次看到了媲美美國大聯盟球場的硬體環境。 , https://udn.com/news/story/6656/7027119?from=udn-ch1_breaknews-1-0-news
2023-03-13 06:26:25 , udn , 【總編開箱】球迷想要中華隊贏球 更想要一個好的看球環境 , https://udn.com/news/story/6656/7027119?from=udn-ch1_breaknews-1-0-news
2023-03-13 06:38:25 , udn , 英蘇系挺賴 還有戲可看 「小英之友會」有沒有動是關鍵 , https://udn.com/news/story/6656/7027087?from=udn-ch1_breaknews-1-0-news
