2023-03-14 00:32:34 , udn , 校園中立玩假的？ 廉署入興大 「老蔣時代也不敢這樣搞」 , https://udn.com/news/story/6656/7029402?from=udn-ch1_breaknews-1-0-news
2023-03-14 00:32:45 , udn , 軍警檢調不入校園，被視為大學自治基本原則，各校多有相關執行辦法。廉政署中部地區調查組配合中興大學南投校區規畫搬遷，新址卻設在中興大學台中校區舊園藝系館，引發校內教授反彈。多名教授批評「匪夷所思」、「老蔣時代也不敢這樣搞」，更何況未經過校務會議討論，根本黑箱作業；中部其他大學擔任過學務長的教授也直言，「此舉就算沒踩紅線，也已經趨近紅線」。 , https://udn.com/news/story/6656/7029402?from=udn-ch1_breaknews-1-0-news
2023-03-14 00:33:05 , udn , 新增拼盤、甜點、迎賓茶！「冬鄉小廚」鍋底升級了 , https://udn.com/news/story/7266/7029398?from=udn-ch1_breaknews-1-0-news
2023-03-14 00:33:16 , udn , 主打精緻化酸白菜鍋物的「冬鄉小廚」，本月重新調整菜單，將鍋物套餐加入迎賓茶、老味拼盤、特製甜點等副餐，增添用餐的完整性。... , https://udn.com/news/story/7266/7029398?from=udn-ch1_breaknews-1-0-news
2023-03-14 00:56:26 , udn , 東北角台2線發生死亡車禍 男子開車自撞護欄送醫不治 , https://udn.com/news/story/7320/7029437?from=udn-ch1_breaknews-1-0-news
2023-03-14 00:56:37 , udn , 王姓男子13日晚間開車行經台2線南雅路段，偏離車道並自撞路外水泥護欄，送醫不治。警方獲報到場採證，調查事故原因。 , https://udn.com/news/story/7320/7029437?from=udn-ch1_breaknews-1-0-news
2023-03-14 04:08:30 , udn , 美國慶「移民日」開放入境？數百人硬闖美墨邊境 , https://udn.com/news/story/6813/7029200?from=udn-ch1_breaknews-1-0-news
2023-03-14 04:08:41 , udn , 由於風聞移民當天可以獲准進入美國，昨天有數百人試圖硬闖美國與墨西哥交界邊關 , https://udn.com/news/story/6813/7029200?from=udn-ch1_breaknews-1-0-news
2023-03-14 04:44:25 , udn , 影／三重隧道防撞粗大鋼管墜地 妙齡女騎士撞上慘摔 , https://udn.com/news/story/7320/7029503?from=udn-ch1_breaknews-1-0-news
2023-03-14 04:44:36 , udn , 新北市三重區自強路三段高速公路隧道上緣的防撞鋼管，連續2天先後被3輛大貨車撞到，今天凌晨又被撞擊之後掉落在車道上，又粗又... , https://udn.com/news/story/7320/7029503?from=udn-ch1_breaknews-1-0-news
2023-03-14 05:02:56 , udn , 拜登政府無視環保人士壓力 批准阿拉斯加鑽油計畫 , https://udn.com/news/story/6811/7029475?from=udn-ch1_breaknews-1-0-news
2023-03-14 05:03:06 , udn , 美國總統拜登（Joe Biden）的政府無視環保人士施壓，在今天批准具有爭議性的阿拉斯加州北坡地區（North Slop... , https://udn.com/news/story/6811/7029475?from=udn-ch1_breaknews-1-0-news
2023-03-14 05:26:24 , udn , 救助力道有限 美股道瓊指數連跌五日 , https://udn.com/news/story/6811/7029507?from=udn-ch1_breaknews-1-0-news
2023-03-14 05:26:35 , udn , 道瓊工業平均指數收跌，因為政府支持倒閉的矽谷銀行(SVB)所有存款戶的計畫以及其他非常規措施，並未提振銀行股。 , https://udn.com/news/story/6811/7029507?from=udn-ch1_breaknews-1-0-news
2023-03-14 05:53:25 , udn , 影／桃園虎頭山深夜火光沖天 垃圾掩埋場全面燃燒 , https://udn.com/news/story/7320/7029518?from=udn-ch1_breaknews-1-0-news
2023-03-14 05:53:35 , udn , 桃園市桃園區虎頭山今凌晨1時許冒出衝天火光，伴隨大量濃煙，消防隊獲報到場發現是垃圾掩埋場起火，隨即布水線灌救，火勢在4時... , https://udn.com/news/story/7320/7029518?from=udn-ch1_breaknews-1-0-news
2023-03-14 06:17:26 , udn , 不只楊紫瓊、李安 華裔電影人閃耀奧斯卡  , https://udn.com/news/story/7314/7029522?from=udn-ch1_breaknews-1-0-news
2023-03-14 06:17:36 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。「媽的多重宇宙」以7項大獎，橫掃奧斯卡獎，這次的圖表帶你看那些華人在奧斯卡發光發熱。 , https://udn.com/news/story/7314/7029522?from=udn-ch1_breaknews-1-0-news
