2023-03-15 00:20:46 , udn , 2024立委戰／苗栗縣長選後新局 藍擬大和解 綠有新勢力 , https://udn.com/news/story/6656/7031943?from=udn-ch1_breaknews-1-0-news
2023-03-15 00:20:56 , udn , 2022年苗栗縣長選舉捲起政壇千堆雪，選後藍、綠及無黨勢力大洗牌，傳統派系式微，無黨籍縣長鍾東錦與親鍾派聯盟崛起，同時還有泛綠新世代無黨的縣議員曾玟學、陳品安在地新勢力，縣長選後新局衝擊2024年立委選舉。 , https://udn.com/news/story/6656/7031943?from=udn-ch1_breaknews-1-0-news
2023-03-15 00:59:25 , udn , 高雄前鎮2車追逐車禍有內幕 雙方7男女全是詐團車手 , https://udn.com/news/story/7320/7031986?from=udn-ch1_breaknews-1-0-news
2023-03-15 00:59:36 , udn , 高雄市前鎮區4天前發生2輛轎車追逐車禍，1車衝撞民宅，車上3男女受傷，另輛賓士車4人奪贓逃逸，在宜蘭被捕。檢警查出，原來... , https://udn.com/news/story/7320/7031986?from=udn-ch1_breaknews-1-0-news
2023-03-15 00:59:56 , udn , 全英公開賽／不敵小一輪對手 周天成首輪落馬 , https://udn.com/news/story/7005/7031987?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:00:06 , udn , 我國羽球「一哥」周天成去年全英公開賽一路闖關到4強，今年卻出師不利，今天首輪遇世界排名19的印度新星拉克西亞（Laksh... , https://udn.com/news/story/7005/7031987?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:02:24 , udn , 竹市又見大秘寶？PTT爆風箏賽場挖出廢磚石、馬桶蓋 , https://udn.com/news/story/7324/7031988?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:02:35 , udn , 新竹市立棒球場工程爭議不斷，今年初挖出廢棄磚石、廢電線引起熱議，新竹市長高虹安日前會勘新竹漁港內的國際風箏賽場發現場地內... , https://udn.com/news/story/7324/7031988?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:05:25 , udn , 就職百日 張善政要拚MEGA CITY 前市府3件事果斷喊卡 , https://udn.com/news/story/6656/7031991?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:05:36 , udn , 桃園市長張善政常被拿來和前市長鄭文燦比較，談起上任一百天的最大改變，張善政接受本報專訪時表示，他減少參加活動、補助地方會踩煞車，敢作出和前朝不同的施政風格，包括用人唯才、酬庸除惡務盡，都有龐大壓力，「一定會有反彈，但我想應該還好」。 , https://udn.com/news/story/6656/7031991?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:11:26 , udn , 奧斯卡影帝當總監？精品品牌將推全新膠囊系列引熱議 , https://udn.com/news/story/7270/7032000?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:11:37 , udn , 品牌延攬明星擔任品牌創意總監不是新鮮事，上個月「菲董」Pharrell Williams已有先例成為時尚產業超熱話題，但... , https://udn.com/news/story/7270/7032000?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:17:24 , udn , 陸整肅醫商勾結 醫院高層紛落馬 多是被「捅出去的」 , https://udn.com/news/story/7331/7032006?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:17:34 , udn , 中共廿大後，當局持續高壓反腐，除了劍指金融領域外，在新冠疫情期間扮演要角的大陸醫療體系，也迎來了更強勁的反腐潮。據統計，1月中上旬到2月中旬的短短39天內，大陸各地就有26個醫院高層因被雙開（開除黨籍和公職）、批補等方式落馬，他們多是醫院院長、副院長，長年以來被詬病、見不得光的大陸「醫商勾結」問題也因此被掀開。 , https://udn.com/news/story/7331/7032006?from=udn-ch1_breaknews-1-0-news
2023-03-15 01:35:27 , udn , 獨／國民黨選策會今成立 傳李全教、黃昭順入列 , https://udn.com/news/story/6656/7032011?from=udn-ch1_breaknews-1-0-news
