2023-03-17 00:08:36 , udn , 全原運在台北「台南代表隊卻住桃園」被批太址！原民會回應了 , https://udn.com/news/story/7324/7037157?from=udn-ch1_breaknews-1-0-news
2023-03-17 00:08:47 , udn , 112年全國原住民運動會3月底在台北登場，但台南市代表隊住宿地點在桃園，距離比賽場地車程最短要半小時以上，還不包含塞車及... , https://udn.com/news/story/7324/7037157?from=udn-ch1_breaknews-1-0-news
2023-03-17 00:11:36 , udn , 嘉義豬舍失火 200頭豬被活活燒死 僥倖存活也受驚 , https://udn.com/news/story/7320/7037162?from=udn-ch1_breaknews-1-0-news
2023-03-17 00:11:46 , udn , 嘉義縣朴子市一間鐵皮豬舍今晚8點多發生火災，消防局緊急到場滅火，冒出濃濃白煙，滿地都是燒焦灰燼，初估燃燒面積約90平方公... , https://udn.com/news/story/7320/7037162?from=udn-ch1_breaknews-1-0-news
2023-03-17 00:35:26 , udn , 基隆將變「電動機車城」？ 謝國樑：不只一家大廠想合作 , https://udn.com/news/story/6656/7036709?from=udn-ch1_breaknews-1-0-news
2023-03-17 00:35:36 , udn , 基隆在地社群很多網友最想要問市長謝國樑「何時給我狗狗肉（Gogoro）？」從選前到選後，都是基隆的發燒議題。謝接受本報專訪時透露好消息，「不只一家有興趣，還包括大家最關心那一家，都願嘗試製造4萬元以下的電動機車，以增加市占率」，他會全力來促成，今年編列3億6千萬，首批要補助1萬2千輛。 , https://udn.com/news/story/6656/7036709?from=udn-ch1_breaknews-1-0-news
2023-03-17 00:35:56 , udn , 大陸發布白皮書 強調營造公平健康網路空間 , https://udn.com/news/story/7333/7037210?from=udn-ch1_breaknews-1-0-news
2023-03-17 00:36:07 , udn , 大陸官方16日發布白皮書，強調中國大陸構建網路空間良好秩序，營造安全、公平、健康、文明、清朗的網絡空間。白皮書稱，中國堅... , https://udn.com/news/story/7333/7037210?from=udn-ch1_breaknews-1-0-news
2023-03-17 00:38:26 , udn , 基隆電動機車願景 謝國樑：不只一家大廠想合作 , https://udn.com/news/story/6656/7036709?from=udn-ch1_breaknews-1-0-news
2023-03-17 00:50:27 , udn , 全英公開賽／對布莎南13連勝 戴資穎勇闖8強 , https://udn.com/news/story/7005/7037227?from=udn-ch1_breaknews-1-0-news
2023-03-17 00:50:38 , udn , 羽壇歷史最悠久的全英公開賽今天展開第二輪賽事，挑戰第4冠的我國「一姊」戴資穎和泰國布莎南（Busanan Ongbamr... , https://udn.com/news/story/7005/7037227?from=udn-ch1_breaknews-1-0-news
2023-03-17 01:08:28 , udn , 全動法剛下架 政府花上億買外傷用藥 全民國防動起來？ , https://udn.com/news/story/6656/7037233?from=udn-ch1_breaknews-1-0-news
2023-03-17 01:08:38 , udn , 烏克蘭與俄羅斯去年爆發戰爭，觸動政府危機意識，開始全面盤點國內戰時緊急物資，迅速在第二預備金中跨部會動支上億元購買外傷用醫療物資，同時由衛福部統籌辦理相關業務，討論戰時食品，及藥品需求的因應策略，3月17日舉行專家會議，討論戰略藥品範疇。 , https://udn.com/news/story/6656/7037233?from=udn-ch1_breaknews-1-0-news
2023-03-17 01:44:27 , udn , 全世界都在鬧蛋荒 大陸卻沒受影響 做對哪些事 , https://udn.com/news/story/7331/7037255?from=udn-ch1_breaknews-1-0-news
2023-03-17 01:44:37 , udn , 台灣缺蛋的新聞近期在中國大陸也引發高度關注，許多大陸民眾對此都感到不可思議。事實上放眼全球，目前正在鬧蛋荒的並不只有台灣... , https://udn.com/news/story/7331/7037255?from=udn-ch1_breaknews-1-0-news
2023-03-17 02:05:26 , udn , 最新！2023「亞洲50」公布51至100名 台灣3家餐廳入列 , https://udn.com/news/story/7270/7037258?from=udn-ch1_breaknews-1-0-news
2023-03-17 05:35:26 , udn , 銀行同業拔刀相助 股指齊漲慶祝 , https://udn.com/news/story/6811/7037297?from=udn-ch1_breaknews-1-0-news
2023-03-17 05:35:36 , udn , 在一群銀行表示將在同業危機中援助第一信託銀行(First Republic Bank)後，華爾街變得越來越樂觀，收盤上漲... , https://udn.com/news/story/6811/7037297?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:17:26 , udn , 普發6千現金時程公布 登記入帳最快4月6日發放 , https://udn.com/news/story/7314/7037215?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:17:36 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。財政部昨公布普發現金5種方式，這次的圖表帶你看哪種領錢方式最適合你。 , https://udn.com/news/story/7314/7037215?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:17:57 , udn , 行政院發言人不好當 羅秉成為何能創「最長壽」紀錄 , https://udn.com/news/story/6656/7037248?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:18:07 , udn , 蔡英文總統上任後，截至目前為止，共換了4任行政院長，行政院發言人卻已經換了6人，其中，前發言人陳宗彥因昔日涉嫌接受性招待及關說，只上任18天就請辭黯然下台，創下行政院發言人任期最短紀錄；剛卸下發言人的行政院政務委員羅秉成目前暫代發言人職務，連同先前任期，已超過2年，成為蔡政府任期最長的政院發言人... , https://udn.com/news/story/6656/7037248?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:18:27 , udn , 朱立倫與選策會 成侯友宜撐竿跳的新支點 , https://udn.com/news/story/6656/7037231?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:18:38 , udn , 新北市長侯友宜昨天平地一聲雷，先是致電主席朱立倫表達對黨內選策會成員的不滿，後是公開在臉書裡表示，「拒絕黑金在任何政黨出現，任何政黨都不要再被黑金綁架，政黨所作所為一定要符合人民期待， 黑金不能復辟，黨要戒之、慎之，必須重新思考，以正確的態度，走出對的路」。這些話目標明確，句句衝著國民黨選策會而來，朱立倫雖不悅地表達他負全責，國民黨也立即調整了成員內容，選策會的成立還沒有幫國民黨找到選戰良策，倒是先幫侯友宜找到政治反攻的有力支點，幫了侯一大忙。 , https://udn.com/news/story/6656/7037231?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:29:25 , udn , 【總編開箱】朱立倫與選策會 成侯友宜撐竿跳的新支點 , https://udn.com/news/story/123431/7037231?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:32:30 , udn , 獨／不能淪「民粹捷運」！中央與基隆今攤牌談判底線曝 , https://udn.com/news/story/123432/7037312?from=udn-ch1_breaknews-1-0-news
2023-03-17 06:32:40 , udn , 基隆市長謝國樑上任將滿一百天，因基隆捷運地方分攤經費暴增三倍爭議，交通部次長胡湘麟今天將到基隆溝通。外界關心基捷是否「破... , https://udn.com/news/story/123432/7037312?from=udn-ch1_breaknews-1-0-news
