2023-03-18 00:17:25 , udn , 八德大湳變電所火警 6千餘戶短暫停電 , https://udn.com/news/story/7320/7039700?from=udn-ch1_breaknews-1-0-news
2023-03-18 00:17:36 , udn , 桃園市八德區大湳變電所今晚傳出火警，所內一處設施不明原因起火，造成八德區6千餘戶短暫停電1分鐘，目前已恢復供電，至於廠內... , https://udn.com/news/story/7320/7039700?from=udn-ch1_breaknews-1-0-news
2023-03-18 00:20:26 , udn , 國一女找姑姑男友幫擦藥 舔胸猥褻 賠70萬免關 , https://udn.com/news/story/7321/7039710?from=udn-ch1_breaknews-1-0-news
2023-03-18 00:20:37 , udn , 新北市從事保險業鄧姓男子前年替女友的13歲姪女擦藥時，竟克制不住內心性慾，乘機撫摸並舔胸猥褻，新北地院考量鄧男並無前科，... , https://udn.com/news/story/7321/7039710?from=udn-ch1_breaknews-1-0-news
2023-03-18 00:41:43 , udn , 大陸財政部以對華融審計有嚴重違失，勒令德勤（Deloitte）北京分所停業3個月，並沒收其違法所得，以及重... , https://udn.com/news/story/7333/7039455?from=udn-ch1_breaknews-1-0-news
2023-03-18 01:05:26 , udn , 藍選策會風暴、反傅陣營集結 傅崐萁立委之路內憂外患 , https://udn.com/news/story/6656/7039740?from=udn-ch1_breaknews-1-0-news
2023-03-18 01:05:37 , udn , 國民黨中央選戰策略會報名單公布惹出極大風暴，不僅黨內炸鍋，其他政黨更大力批評，立委傅崐萁曾因炒股案入獄一事再被舊事重提，明年可能投入花蓮區域立委選舉的他，要面對黨內外排山倒海質疑，加上花蓮反傅力量集結、「魏家班」縣議員魏嘉賢的強力挑戰，若未能妥善處理選策會爭議，恐怕對傅未來立委之路投下變數。 , https://udn.com/news/story/6656/7039740?from=udn-ch1_breaknews-1-0-news
2023-03-18 01:20:27 , udn , 「人老屋老」困境 蔣萬安力推都更 背後的眼淚 , https://udn.com/news/story/6656/7039750?from=udn-ch1_breaknews-1-0-news
2023-03-18 01:20:37 , udn , 台北市長蔣萬安上任即將滿一百天，施政主軸力推都市更新，原來背後有催淚故事，選舉期間，有90歲老翁想見他一面，卻下不了老舊... , https://udn.com/news/story/6656/7039750?from=udn-ch1_breaknews-1-0-news
2023-03-18 02:02:28 , udn , 國際刑事法庭以戰爭罪嫌對普亭發布逮捕令 , https://udn.com/news/story/122663/7039741?from=udn-ch1_breaknews-1-0-news
2023-03-18 02:02:39 , udn , 國際刑事法庭法官今天對俄羅斯總統普亭及俄國負責兒童權益的官員發布逮捕令，他們2人被指控犯下戰爭罪嫌 , https://udn.com/news/story/122663/7039741?from=udn-ch1_breaknews-1-0-news
2023-03-18 02:20:28 , udn , 北約擴大有望？ 土耳其終鬆口同意批准芬蘭加入 , https://udn.com/news/story/6809/7039763?from=udn-ch1_breaknews-1-0-news
2023-03-18 02:20:38 , udn , 芬蘭政府花了數月時間，今天終於讓土耳其總統艾爾段同意啟動批准芬蘭加入北約的程序。由於北約新成員入會必須獲得所有成員同意，... , https://udn.com/news/story/6809/7039763?from=udn-ch1_breaknews-1-0-news
2023-03-18 05:44:26 , udn , 全英公開賽／直落二拍下何冰嬌 戴資穎女單晉4強 , https://udn.com/news/story/7005/7039805?from=udn-ch1_breaknews-1-0-news
2023-03-18 05:44:36 , udn , 全英公開賽女單8強賽，台灣羽球一姐戴資穎今天凌晨對決中國大陸何冰嬌，最終戴資穎只花了33分鐘直落二拿下勝利，第八度闖進全英公開賽女單4強。 , https://udn.com/news/story/7005/7039805?from=udn-ch1_breaknews-1-0-news
2023-03-18 05:44:56 , udn , 市場信心不足銀行股賣壓沉重 道指下跌近400點 , https://udn.com/news/story/6811/7039799?from=udn-ch1_breaknews-1-0-news
2023-03-18 05:45:07 , udn , 由於持續對美國銀行業狀況感到擔憂，投資人拋售First Republic和其他銀行股，美股大跌。 , https://udn.com/news/story/6811/7039799?from=udn-ch1_breaknews-1-0-news
2023-03-18 06:08:26 , udn , 宏都拉斯擬轉向北京 布林肯：台灣能有貢獻但各國自決 , https://udn.com/news/story/6656/7039810?from=udn-ch1_breaknews-1-0-news
2023-03-18 06:08:37 , udn , 宏都拉斯醞釀與中華民國斷交，轉與北京建交，美國國務卿布林肯（Antony Blinken）17日接受法新社訪問表示，各國... , https://udn.com/news/story/6656/7039810?from=udn-ch1_breaknews-1-0-news
2023-03-18 06:17:26 , udn , 電費4月漲11% 逾9成住宅戶合1條件免漲 , https://udn.com/news/story/7314/7039709?from=udn-ch1_breaknews-1-0-news
2023-03-18 06:17:36 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看4月起電價將大幅調漲。 , https://udn.com/news/story/7314/7039709?from=udn-ch1_breaknews-1-0-news
2023-03-18 06:17:57 , udn , 民主進步黨的民主 竟容不下小小的「疑美論」？ , https://udn.com/news/story/6656/7039749?from=udn-ch1_breaknews-1-0-news
2023-03-18 06:18:07 , udn , 「疑美論」最近成為民進黨政府重砲抨擊的目標，與「假訊息」、「認知作戰」、「在地協力者」等名詞連結在一起，被賦予負面的意義，凡是對美國有不同民進黨的主張者，都簡化為「中共同路人」。以民主為名的民進黨，當年以追求言論自由起家，但掌握權力之後，竟容不下「疑美論」？ , https://udn.com/news/story/6656/7039749?from=udn-ch1_breaknews-1-0-news
2023-03-18 06:20:27 , udn , 電費4月平均漲11% 逾9成住宅戶合1條件免漲 , https://udn.com/news/story/7314/7039709?from=udn-ch1_breaknews-1-0-news
2023-03-18 06:20:58 , udn , 【總編開箱】民主進步黨的民主 竟容不下小小的「疑美論」？ , https://udn.com/news/story/6656/7039749?from=udn-ch1_breaknews-1-0-news
2023-03-18 06:26:25 , udn , 買屋諜對諜 看到低首付別衝動 從舊建案找便宜 , https://udn.com/news/story/121591/7039748?from=udn-ch1_breaknews-1-0-news
2023-03-18 06:26:36 , udn , 房市329檔期將至，景氣看跌未跌，市場觀望氣氛濃厚，買賣雙方諜對諜，市況交易清淡，持續拉鋸攻防。然而近期有意購屋的買方，可觀察建商出現哪些跡象，有機會找到破口撿便宜。 , https://udn.com/news/story/121591/7039748?from=udn-ch1_breaknews-1-0-news
2023-03-18 07:26:25 , udn , 美中台博弈／從伊沙建交到烏俄謀和 北京有辦法全都收割？ , https://udn.com/news/story/6809/7039036?from=udn-ch1_breaknews-1-0-news
2023-03-18 07:26:35 , udn , 在北京調停下，伊朗與沙烏地結束敵對，恢復外交關係，這是一件震動全球的大事，而且更讓華府倒抽一口氣的是，中國大陸還要試圖去調停烏俄戰爭。

美國過去在埃及與以色列、波灣國家與以色列、甚至在多次的以巴和議之間，都扮演了重要的中間人角色，每一位新上任的美國總統都懷抱著雄心壯志，想調停中東紛爭，甚至拿個諾貝爾和平獎，替自己的事業留下完美的句點，但是常常最後失望放棄，即使已經達成的協議，旋即破裂，徒留下遺憾。 , https://udn.com/news/story/6809/7039036?from=udn-ch1_breaknews-1-0-news
2023-03-18 07:29:26 , udn , 高雄2男爛醉衝突引警關切 自稱口角糾紛未動拳 , https://udn.com/news/story/7320/7039856?from=udn-ch1_breaknews-1-0-news
2023-03-18 07:29:36 , udn , 高雄市阿蓮區昨晚有兩名男子酒後在店家發生口角糾紛，經旁人報案後；警方到場將衝突雙方34歲李姓男子與31歲黃姓男子帶回派出... , https://udn.com/news/story/7320/7039856?from=udn-ch1_breaknews-1-0-news
2023-03-18 07:32:26 , udn , 北台灣略轉涼 吳德榮：這天起熱如夏 月底可望雨帶抵台 , https://udn.com/news/story/7266/7039858?from=udn-ch1_breaknews-1-0-news
2023-03-18 07:32:37 , udn , 中央大學大氣科學系兼任副教授吳德榮今天在「三立準氣象．老大洩天機」最新專欄表示，今晨鋒面雲系在台灣東方海面，尾端在花蓮外... , https://udn.com/news/story/7266/7039858?from=udn-ch1_breaknews-1-0-news
2023-03-18 07:32:57 , udn , 有片｜伸展時該吐氣還是吸氣？學會正確呼吸，運動效率翻一倍！ , https://udn.com/news/story/121721/7035839?from=udn-ch1_breaknews-1-0-news
2023-03-18 07:33:08 , udn , 運動時呼吸不順暢？呼吸與健身運動有什麼關係？許多人在做各種運動時由於不懂得如何配合動作呼吸，而無法達到有效的運動品質。因此，脊椎保健達人、「身體智慧」執行長鄭雲龍老師特別解析了四大運動形式時的呼吸法，幫助大家在運動時能更得力，趕快點開影片來看看！ , https://udn.com/news/story/121721/7035839?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:08:58 , udn , 王建煊／王老先生講故事之265：人性經不起誘惑 , https://udn.com/news/story/7340/7039869?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:09:08 , udn , 告子說：「食色性也。」人到一定年齡，性的需要強而有力，必須依靠法律、教育、宗教及道德力量給予約束，否則人跟禽獸差不了多少。在這些約束力量薄弱時，人的性衝動就會跨欄而出，即使地位崇高如美國總統亦不能免。 , https://udn.com/news/story/7340/7039869?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:09:29 , udn , 專訪／選策會黑金復辟？蔣萬安喊話黨中央「廉者民之表也」 , https://udn.com/news/story/6656/7039870?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:09:39 , udn , 國民黨2024布局，黨中央選策會成員名單引爆爭議。台北市長蔣萬安昨天接受本報專訪也喊話黨中央「廉者、民之表也」，坦言這次... , https://udn.com/news/story/6656/7039870?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:14:59 , udn , 我會被chatGPT取代嗎？網認「這方面」Google慘輸！ , https://udn.com/news/story/123313/7035913?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:15:09 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤三個月內「chatGPT應用」話題的網路聲量表現，帶您了解網友熱議的六大chatGPT應用有哪些。 , https://udn.com/news/story/123313/7035913?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:23:57 , udn , 人妻睡夢中被巨響驚醒以為兒搗蛋 監視器驚見「靈異」真相 , https://udn.com/news/story/6810/7039873?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:24:07 , udn , 家中監視器拍到靈異畫面確實讓人感到不安。美國猶他州1名媽媽半夜被巨響驚醒，初時以為是3名繼子在搗蛋，但無人承認。母親於是翻查監視器，才發現孩子床邊的大盒樂高（LEGO）積木，莫名地整盒掉在地上而發出巨響，看到這一幕靈異畫面不禁毛骨悚然。 , https://udn.com/news/story/6810/7039873?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:24:28 , udn , TOP6「見家長攻略」大公開！輕鬆掌握好感度留下好印象 , https://udn.com/news/story/7272/7035900?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:24:38 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「見家長」話題的網路聲量表現，帶您了解網友熱議的六大見家長攻略。 , https://udn.com/news/story/7272/7035900?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:24:58 , udn , 專訪╱北市「雙老困境」 蔣萬安宣誓推動大都更 , https://udn.com/news/story/123432/7039874?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:25:09 , udn , 台北市長蔣萬安上任近百日，兩大市政重點聚焦改善交通與加速都市更新。他認為北市處於「雙老困境」，都更是他推動施政的重中之重... , https://udn.com/news/story/123432/7039874?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:26:57 , udn , 百萬高端旅遊成疫後新亮點 能撐起旅遊業半邊天嗎？ , https://udn.com/news/story/7238/7031213?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:27:08 , udn , 隨著國內外解封，疫後旅遊業開始復甦，受限旅遊量能、旅遊成本等因素，仍未恢復到全盛時期，但市場的「M型化」趨於明顯，動輒數十萬甚至上百萬的高端旅遊，已經成為疫後新亮點，量能足夠撐起整個旅遊產業的半邊天嗎？ , https://udn.com/news/story/7238/7031213?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:27:28 , udn , 學術照妖鏡／論文同儕審查不到1成願意公開 頂大曝「評審怕被報復​」 , https://udn.com/news/story/6928/7039257?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:27:39 , udn , 國科會等目前國內的政府研究計畫申請或期刊投稿，同儕審查（Peer review）多採「單盲」（single-blind）制，升格前的科技部（現國科會）曾有計畫嘗試用雙盲（double-blind）審查卻失敗。主因是台灣學術圈太小，即使雙盲，還是很容易猜出某一方是誰；國際學術機構的調查報告也指出，多數學者可能擔心未來審查立場互換，傾向單盲制。不過，資歷較淺或無學術背景的作者，因較無利害關係願意選擇公開審查身分。 , https://udn.com/news/story/6928/7039257?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:27:59 , udn , 停車費陷阱／台南整頓亂象反考驗眼力？能否像交通標誌全國統一？ , https://udn.com/news/story/7266/7036636?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:28:10 , udn , 台南是國內熱門觀光景點，每到假日遊客人滿為患，連帶停車需求大增，由於業者費率告示方式各不相同，衍生多起消費爭議，台南市政府去年率全國之先整頓停車場收費告示，更直白點出不要玩文字遊戲。台南跨出這一步讓人拍手叫好，但出了「台南國」，駕駛人還要繼續忍受眼力、腦力大考驗，難道不能像交通標誌全國統一，一看就懂？ , https://udn.com/news/story/7266/7036636?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:28:30 , udn , 想儲蓄卻越存越窮？避開這些「壞習慣」存錢不再是夢想 , https://udn.com/news/story/121591/7035862?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:28:40 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「存錢」話題的網路聲量表現，帶您了解網友熱議的五大存錢壞習慣排行。 , https://udn.com/news/story/121591/7035862?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:35:55 , udn , 臺灣球迷團結一心看經典賽 中華隊TOP10熱議球員一次看！ , https://udn.com/news/story/10785/7035928?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:36:06 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一個月內「棒球經典賽中華隊」話題的網路聲量表現，帶您了解網友熱議的TOP10中華隊球員。 , https://udn.com/news/story/10785/7035928?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:36:26 , udn , 老公不理！女情人節獨處怒拉K 遭警當場逮獲 , https://udn.com/news/story/7315/7039878?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:36:37 , udn , 高雄市日前晚間一輛轎車違規停在橋下，警上前盤查發現，車內林姓女子眼神飄忽不定狀似心虛，正當她出示證件時，警眼尖察覺到車內... , https://udn.com/news/story/7315/7039878?from=udn-ch1_breaknews-1-0-news
2023-03-18 08:36:57 , udn , 2023高雄房市供給量估計較去年減3成 房價仍居高點！ , https://udn.com/news/story/7241/7039877?from=udn-ch1_breaknews-1-0-news
