2023-03-19 00:26:27 , udn , 殺破狼周運勢／白羊面臨社恐症 1星座偏財運好「發票中獎率高」 , https://udn.com/news/story/7268/7029830?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:26:37 , udn , 天秤座金錢運方面，在財務宮位的金星脫離不良相位的影響，偏財運頗佳，對發票時中獎率高，或是在消費時因為紅利點數多，可兌換自己需要的商品。有投資習慣的天秤座，短線可期，可在相對高點獲利了結。 , https://udn.com/news/story/7268/7029830?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:38:25 , udn , 「桶箍哲學」整合非綠 盧秀燕這回能否打醒藍營 , https://udn.com/news/story/6656/7040804?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:38:36 , udn , 國民黨選策會成員爆發爭議，引發黨內兩大諸侯新北市長侯友宜、台中市長盧秀燕批評，黨中央及時止血，但後續仍餘波盪漾。盧秀燕接受本報專訪，重申自己不爭2024大位，更直言黨內人才進退要說清楚，她雖強調「沒有針對任何人發言」，但言下之意不無提醒黨中央，看清楚真正對手是民進黨，無私才能贏得大位。 , https://udn.com/news/story/6656/7040804?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:41:26 , udn , 廣告也太養眼！「快銀」放送胸腹肌、男神秀性感人魚線 , https://udn.com/news/story/7270/7041148?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:41:36 , udn , 美國休閒時裝品牌Calvin Klein曝光完整春季形象廣告，除了品牌大使Blackpink JENNIE之外，還邀請了... , https://udn.com/news/story/7270/7041148?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:44:25 , udn , 5000年前的青藏高原人 已有「適應低氧環境」的關鍵基因 , https://udn.com/news/story/7331/7041149?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:44:35 , udn , 青藏高原平均海拔4500公尺，被稱為「世界屋脊」。人類如何快速在當地適應低氧環境，向來是考古學、古基因學的關注重點。大陸團隊歷經近10年、開展迄今規模最大的青藏高原地區古人群古基因組研究成果，揭露許多原先未解之謎團。 , https://udn.com/news/story/7331/7041149?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:44:55 , udn , 廣告也太養眼！「快銀」放送胸腹肌還附贈一大包、加拿大男神秀性感人魚線 , https://udn.com/news/story/7270/7041148?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:45:06 , udn , 美國休閒時裝品牌Calvin Klein曝光完整春季形象廣告，除了品牌大使Blackpink JENNIE之外，還邀請了名模坎達兒珍娜（Kendall Jenner）、「快銀」艾倫強森（Aaron Taylor-Johnson），以及天菜Michael B. Jordan來詮釋。而且個個誠意滿滿，艾倫泰勒強森露出線條明確的胸、腹肌，還加碼了穿著白色內褲的大片，讓許多人都只注意那一大包。 , https://udn.com/news/story/7270/7041148?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:50:26 , udn , 5000年前青藏高原人 已有「適應低氧」關鍵基因 , https://udn.com/news/story/7331/7041149?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:53:26 , udn , 木村光希Koki與新世代男神登時尚雜誌 上演時髦版「First Love初戀」 , https://udn.com/news/story/7270/7041152?from=udn-ch1_breaknews-1-0-news
2023-03-19 00:53:37 , udn , COACH為新包款推出In MyTabby形象廣告，找來擔任品牌大使吳謹言、「最強星二代」的木村光希Koki、Lil Nas X、Camila Mendes來拍攝。其中吳謹言在動態廣告裡，還分享了不能當芭蕾舞者，而意外成為演員的心情。Koki則表示，當她帶著Tabby包，就能給予勇氣，挑戰寫新歌跟演不同角色；COACH希望透過這系列廣告與Z世代和千禧世代建立情感聯繫。 , https://udn.com/news/story/7270/7041152?from=udn-ch1_breaknews-1-0-news
2023-03-19 01:20:28 , udn , 台南雙行政中心相距50公里 警嘆：想辦案 子彈都涼了 , https://udn.com/news/story/6656/7041165?from=udn-ch1_breaknews-1-0-news
2023-03-19 01:20:38 , udn , 台南縣市2010年底合併升格直轄市12年餘，至今維持溪北新營及溪南安平雙行政中心運作模式，但兩地相隔50公里，距離為全台各縣市之最，基層公僕奔波往返動輒2小時，苦不堪言，甚至若發生重大治安事件，辦案調度也遭基層虧「子彈都涼了」，若新建市政中心至少百億元起跳，基於財政考量最終維持現狀，短期內問題仍難解。 , https://udn.com/news/story/6656/7041165?from=udn-ch1_breaknews-1-0-news
2023-03-19 02:11:28 , udn , 5粉絲爭睹BLACKPINK演唱會 付錢拿不到票控2男女詐欺 , https://udn.com/news/story/7320/7041173?from=udn-ch1_breaknews-1-0-news
2023-03-19 02:11:38 , udn , 南韓頂流女團BLACKPINK昨晚在高雄世運主場館開唱，因一票難求，不少粉絲場外求票。黃牛票甚至傳被炒到40萬天價；昨晚... , https://udn.com/news/story/7320/7041173?from=udn-ch1_breaknews-1-0-news
2023-03-19 02:35:28 , udn , 疫後基隆港郵輪市場質變 想方設法讓旅客基隆吃喝玩樂 , https://udn.com/news/story/7328/7041181?from=udn-ch1_breaknews-1-0-news
2023-03-19 02:35:38 , udn , 疫情後基隆港郵輪市場發生質變，以帶來外國旅客為主的掛靠港航次罕見地超過母港航次，部分疫情前從未規畫台灣航線的郵輪品牌，也... , https://udn.com/news/story/7328/7041181?from=udn-ch1_breaknews-1-0-news
2023-03-19 03:14:26 , udn , 萬金石馬拉松今開跑 金山千人健走暖場輪椅長輩也出來 , https://udn.com/news/story/7005/7041185?from=udn-ch1_breaknews-1-0-news
2023-03-19 03:14:36 , udn , 「我金山我驕傲」健走路跑昨天下午登場，雖然陣雨不斷，但民眾熱情不減，1200民眾為今天要開跑的萬金石馬拉松先暖場，弘道社... , https://udn.com/news/story/7005/7041185?from=udn-ch1_breaknews-1-0-news
2023-03-19 03:53:26 , udn , 紀念併吞9週年 普亭視察克里米亞 , https://udn.com/news/story/122663/7041183?from=udn-ch1_breaknews-1-0-news
2023-03-19 03:53:37 , udn , 俄羅斯總統普亭（Vladimir Putin）今天突然親自到訪克里米亞（Crimea），紀念該半島被併入俄國9週年 , https://udn.com/news/story/122663/7041183?from=udn-ch1_breaknews-1-0-news
2023-03-19 05:38:29 , udn , 全英公開賽／1：2被安洗瑩逆轉 戴資穎無緣決賽 , https://udn.com/news/story/7005/7041199?from=udn-ch1_breaknews-1-0-news
2023-03-19 05:38:39 , udn , 2023年全英羽球公開賽女子單打比賽，台灣羽球一姐戴資穎在4強賽先盛後衰以1比2不敵南韓選手安洗瑩，無緣打入決賽。 , https://udn.com/news/story/7005/7041199?from=udn-ch1_breaknews-1-0-news
2023-03-19 06:17:28 , udn , 台灣進入「重粒子抗癌」時代 新療法鎖定癌王 要價恐近百萬 , https://udn.com/news/story/7314/7041070?from=udn-ch1_breaknews-1-0-news
