2023-03-21 00:05:26 , udn , 美台關係工作小組主席歐布萊恩訪台 蔡總統明頒授勛章 , https://udn.com/news/story/6656/7044854?from=udn-ch1_breaknews-1-0-news
2023-03-21 00:41:37 , udn , 住偏鄉不敢生病 花錢也花時間 醫護家訪還得小心土石流 , https://udn.com/news/story/7266/7044441?from=udn-ch1_breaknews-1-0-news
2023-03-21 00:41:47 , udn , 6年多前喧騰一時國防大學歧視愛滋學生案，33歲男主角阿立在母親鼓勵下改念社工，在南部某醫療機構擔任社工為偏鄉服務。原民立委伍麗華華說，如何留住專業人才、社福人力在地化，提高文化敏感度，更是要努力方向。 , https://udn.com/news/story/7266/7044441?from=udn-ch1_breaknews-1-0-news
2023-03-21 00:42:08 , udn , 深夜快訊！呂孫綾不參選2024立委 全力挺賴選總統 , https://udn.com/news/story/6656/7044920?from=udn-ch1_breaknews-1-0-news
2023-03-21 00:42:18 , udn , 民進黨前立委呂孫綾今天拋出深夜震撼彈，宣布不參選2024年新北第一選區（淡水、八里、石門、三芝、林口、泰山）立委。據悉，... , https://udn.com/news/story/6656/7044920?from=udn-ch1_breaknews-1-0-news
2023-03-21 00:42:39 , udn , 國民黨彰化立委提名未明朗 鄭俊雄宣布參選第4選區立委 , https://udn.com/news/story/6656/7044919?from=udn-ch1_breaknews-1-0-news
2023-03-21 00:42:49 , udn , 彰化縣國民黨籍縣議員鄭俊雄今天在臉書正式公布將參選立委，他表示，希望爭取國民黨提名，參選彰化縣第4選區立委，即使知道面對... , https://udn.com/news/story/6656/7044919?from=udn-ch1_breaknews-1-0-news
2023-03-21 00:43:10 , udn , 習近平訪俄會普亭  拜登將宣布逾百億對烏新軍援 , https://udn.com/news/story/6809/7044890?from=udn-ch1_breaknews-1-0-news
2023-03-21 00:43:20 , udn , 美聯社引述幾名美國官員報導，美方準備20日稍晚宣布最新1波對烏克蘭的軍援，總值達3億5千萬美元（約108億台幣）的武器和... , https://udn.com/news/story/6809/7044890?from=udn-ch1_breaknews-1-0-news
2023-03-21 01:11:36 , udn , 即時短評／藍對兩岸和平有共識 馬赴陸不怕被見縫插針 , https://udn.com/news/story/6656/7044959?from=udn-ch1_breaknews-1-0-news
2023-03-21 01:11:46 , udn , 前總統馬英九27日將赴陸祭祖，適逢選舉年的敏感時機，引發各方政治解讀，是否繼國民黨選策之亂後再形成政治衝擊？主要看馬英九... , https://udn.com/news/story/6656/7044959?from=udn-ch1_breaknews-1-0-news
2023-03-21 01:56:27 , udn , 經典賽／日本戰墨西哥 傳「平成怪物」松坂大輔開球 , https://udn.com/news/story/10785/7044976?from=udn-ch1_breaknews-1-0-news
2023-03-21 01:56:37 , udn , 2023世界棒球經典賽（WBC）日本隊將於台灣時間21日上午7時在4強戰對決墨西哥，爭奪決賽最後一張門票。日媒指出，有「... , https://udn.com/news/story/10785/7044976?from=udn-ch1_breaknews-1-0-news
2023-03-21 02:08:27 , udn , 台灣第一場政治秀 日天皇首次訪台影像曝光 台菜初登場 , https://udn.com/news/story/7270/7044985?from=udn-ch1_breaknews-1-0-news
2023-03-21 02:08:38 , udn , 1923年4月16日，日本攝政宮裕仁皇太子(日後的裕仁天皇)抵台參訪，行程由北而南，且跨海至澎湖後、再轉回台北，於各地參... , https://udn.com/news/story/7270/7044985?from=udn-ch1_breaknews-1-0-news
2023-03-21 03:41:25 , udn , Jeremy Scott結束與Moschino合作 十年來的奇思妙想只能回味 , https://udn.com/news/story/7270/7045005?from=udn-ch1_breaknews-1-0-news
2023-03-21 03:41:36 , udn , 時尚鬼才Jeremy Scott在2013年加入Moschino擔任創意總監，在這期間各式天馬行空、腦洞大開充滿幽默感的... , https://udn.com/news/story/7270/7045005?from=udn-ch1_breaknews-1-0-news
2023-03-21 04:35:27 , udn , 美最新人權報告 控北京種族滅絕、監控民眾 , https://udn.com/news/story/6809/7045015?from=udn-ch1_breaknews-1-0-news
2023-03-21 04:35:38 , udn , 美國國務卿布林肯（Antony Blinken）20日發表2022年國際人權報告，臚列北京的人權問題，包含對維吾爾族犯下... , https://udn.com/news/story/6809/7045015?from=udn-ch1_breaknews-1-0-news
2023-03-21 05:53:28 , udn , 危機可望緩解 道指漲382點 , https://udn.com/news/story/6811/7045030?from=udn-ch1_breaknews-1-0-news
2023-03-21 05:53:38 , udn , 交易員對銀行業危機可能正在緩解的希望越來越大，美股收高。瑞銀在瑞士政府的策劃下強行收購了瑞士信貸，股價也同步上漲。 , https://udn.com/news/story/6811/7045030?from=udn-ch1_breaknews-1-0-news
2023-03-21 06:17:27 , udn , 遍地烽火的反誠信條款 燒得賴清德金身落漆 , https://udn.com/news/story/6656/7044957?from=udn-ch1_breaknews-1-0-news
2023-03-21 06:17:37 , udn , 民進黨立委初選昨（20日）起領表登記，這不只挑戰候選人的實力，更是對身兼民進黨黨主席的副總統賴清德領導威信的試金石。昨天雙北都有現任議員登記挑戰立委，挑戰賴清德一手主導的誠信條款，巧的是，背後都有英系的身影。落跑紀錄豐富的賴清德當初高舉道德大纛推動誠信條款，就已引來嘲諷四起，如今黨內「反誠信條款」遍地烽火，恐怕也會燒得台獨金孫的金身斑駁脫落。 , https://udn.com/news/story/6656/7044957?from=udn-ch1_breaknews-1-0-news
2023-03-21 06:17:57 , udn , 愛滋鬥士爭權益6年 「台版費城」結局比電影遺憾 , https://udn.com/news/story/7314/7044929?from=udn-ch1_breaknews-1-0-news
