2023-03-22 00:05:37 , udn , 「海水煉金」5年前台中沒成 今年將在大陸成真？ , https://udn.com/news/story/7331/7047525?from=udn-ch1_breaknews-1-0-news
2023-03-22 00:05:48 , udn , 還記得2018年3月，時任台中市長林佳龍與一家名為「哈利霍夫曼諮詢公司」的德商，高調宣布將投資新台幣上千億元，進行「海水採礦」計畫嗎？ , https://udn.com/news/story/7331/7047525?from=udn-ch1_breaknews-1-0-news
2023-03-22 00:06:08 , udn , 中藥房世家第八代 他大學繁星推薦上中醫學系 , https://udn.com/news/story/6925/7047515?from=udn-ch1_breaknews-1-0-news
2023-03-22 00:06:18 , udn , 大學繁星推薦放榜，台南麻豆黎明高中49人上榜，6成上公立大學及醫學大學，錄取長庚大學中醫學系的蘇誠宇，家族經營中藥房迄今... , https://udn.com/news/story/6925/7047515?from=udn-ch1_breaknews-1-0-news
2023-03-22 00:11:38 , udn , 北京動物園再次加高圍欄  要鎖住大貓熊驛動的心 , https://udn.com/news/story/7332/7047535?from=udn-ch1_breaknews-1-0-news
2023-03-22 00:11:48 , udn , 大貓熊萌蘭曾因「蓄謀已久的潛逃」而在大陸出名，北京動物園曾給萌蘭的院子加欄杆，然而加高圍欄也鎖不住萌蘭驛動的心。最近「萌... , https://udn.com/news/story/7332/7047535?from=udn-ch1_breaknews-1-0-news
2023-03-22 00:32:48 , udn , 紓困瑞信代價 瑞士每人需分擔1.35萬美元 , https://udn.com/news/story/6811/7047559?from=udn-ch1_breaknews-1-0-news
2023-03-22 00:32:59 , udn , 瑞士政府拯救瑞士信貸（Credit Suisse）的代價高昂，當地不分男女老少，每個人可能要需要分擔12,500瑞郎（1... , https://udn.com/news/story/6811/7047559?from=udn-ch1_breaknews-1-0-news
2023-03-22 00:44:47 , udn , 中俄簽署聯合聲明 強調俄烏應儘快和談反對單邊制裁 , https://udn.com/news/story/122663/7047602?from=udn-ch1_breaknews-1-0-news
2023-03-22 00:44:57 , udn , 據大陸官方新華社，當地時間3月21日下午，大陸國家主席習近平在莫斯科克里姆林宮同俄羅斯總統普亭共同簽署並發表《中華人民共... , https://udn.com/news/story/122663/7047602?from=udn-ch1_breaknews-1-0-news
2023-03-22 00:59:57 , udn , 美商務部晶片主任將訪台 討論全球供應鏈 , https://udn.com/news/story/6813/7047610?from=udn-ch1_breaknews-1-0-news
2023-03-22 01:00:07 , udn , 美國商務部21日發布新規定，限制申請晶片補貼企業的投資範圍，以避免關鍵晶片製造技術落入中俄等國；晶片計畫辦公室主任施密特... , https://udn.com/news/story/6813/7047610?from=udn-ch1_breaknews-1-0-news
2023-03-22 01:20:46 , udn , 桃園美福大火600萬罰款被撤 湯蕙禎：不該惡意政治操作 , https://udn.com/news/story/7324/7047638?from=udn-ch1_breaknews-1-0-news
2023-03-22 01:20:56 , udn , 桃園市美福倉儲去年大火導致空汙，市府原處以600萬元罰款，但美福不服，向環保署提訴願獲撤銷。民進黨立委湯蕙禎今天表示，環... , https://udn.com/news/story/7324/7047638?from=udn-ch1_breaknews-1-0-news
2023-03-22 01:23:47 , udn , 不用體罰也能教好孩子 就看能否守住一個關鍵 , https://udn.com/news/story/6885/7047639?from=udn-ch1_breaknews-1-0-news
