2023-03-23 00:17:36 , udn , 為銀髮族充電續航 中彰投分署結合3大服務業辦徵才講座 , https://udn.com/news/story/7241/7050083?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:17:46 , udn , 勞動力發展署中彰投分署銀髮人才資源中心自去年7月成立以來，已成功推介近6,000名中高齡求職者就業，今年持續努力為銀髮族... , https://udn.com/news/story/7241/7050083?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:29:39 , udn , 「熊熊櫻花最中」超萌！「京町 山本屋」春季新菜開賣 , https://udn.com/news/story/7270/7050154?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:29:50 , udn , 隨著春天到來，甫於2022年秋季於榕錦時光生活園區開幕的「京町 山本屋」，即日起推出期間限定的新菜單，包含有「熊熊櫻花最... , https://udn.com/news/story/7270/7050154?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:32:39 , udn , 泡椒水煮魚、梅菜皇砂鍋花膠筒雞！私廚「聚苑」推新菜 , https://udn.com/news/story/7270/7050156?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:32:49 , udn , 由米其林星級名廚簡捷明操刀的中菜私廚家宴餐廳「聚苑」，在時序入春之際，以集結粵、川、滬、潮汕等料理特色的概念，推出全新春... , https://udn.com/news/story/7270/7050156?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:33:40 , udn , 會考生活英語／【旅行篇】火車延誤通知 , https://udn.com/news/story/6904/7036016?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:33:50 , udn , ★單字
1. cancel [ˋkæns!] v. 取消（國中挑戰800字）
2. strike [straɪk] n. 罷工（國中挑戰800字）
3. choose [tʃuz] v. 選擇（ , https://udn.com/news/story/6904/7036016?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:34:11 , udn , 動物園東非狒狒脫逃逛大街 桃園平鎮區里長籲民眾小心 , https://udn.com/news/story/7324/7050144?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:34:21 , udn , 新竹六福村動物園3月初有東非狒狒脫逃至桃園市平鎮區鎮興里停留了12天，里長黃志杰與十名守望相助隊與六福村獸醫進行圍捕，但... , https://udn.com/news/story/7324/7050144?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:34:42 , udn , 台宏邦交拉警報 知情人士曝「背後有中國操控的影子」 , https://udn.com/news/story/6656/7050140?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:34:52 , udn , 台灣與宏都拉斯邦交拉警報，知情人士今曝「看來事情已經到最後階段」，去年一月秀瑪菈．卡斯楚（Xiomara Castro）... , https://udn.com/news/story/6656/7050140?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:41:37 , udn , 花蓮萬榮深夜規模4.6地震 花縣最大震度3級、南縣2級 , https://udn.com/news/story/7266/7050170?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:41:47 , udn , 花蓮縣萬榮鄉21日上午接連發生四起地震，最大規模5.3；22日晚間11時43分，再發生芮氏規模4.6地震。 , https://udn.com/news/story/7266/7050170?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:59:26 , udn , 爆乳搞笑無厘頭 民代問政「抖音化」 誰最讓鄉民受不了 , https://udn.com/news/story/6656/7050180?from=udn-ch1_breaknews-1-0-news
2023-03-23 00:59:37 , udn , 社群年代為討好廣大鄉民，不少議員問政如網紅，爆乳、無厘頭、奇裝異服等亂象頻傳，雖順利博取網路高聲量，但問政表現兩極化，引發負評。學者指出，地方民代出現「抖音化、綜藝化」現象，主因議員為複數選區選制，為求曝光，議員以各式各樣方式展現個人色彩，吸引到部分選票就可過關，導致出現走偏鋒問政花招。 , https://udn.com/news/story/6656/7050180?from=udn-ch1_breaknews-1-0-news
2023-03-23 01:08:27 , udn , 台灣難有百老匯？空總憑空間優勢 接下華麗挑戰 , https://udn.com/news/story/7266/7050183?from=udn-ch1_breaknews-1-0-news
2023-03-23 01:08:38 , udn , 去年挑戰常演定目劇的「台灣有個好萊塢」票房失利，演員羅北安直言「台灣要做定目劇還早！」此一警語言猶在耳，原本是國防部空軍總司令部大禮堂的空總大禮堂，四月便將轉型成為台灣第一座民間定目長銷劇場—PLAYground空總劇場，包含「二條通劇匯」、「萬座曉劇場」，都反映疫後湧現的中小型、迷你劇場，可望讓台灣劇場的體質更健全、觀眾的選擇也更多元。 , https://udn.com/news/story/7266/7050183?from=udn-ch1_breaknews-1-0-news
2023-03-23 01:14:28 , udn , 外流高階圖檔3年內免費開放 故宮院長：文物是公共財 , https://udn.com/news/story/7314/7050192?from=udn-ch1_breaknews-1-0-news
2023-03-23 01:14:39 , udn , 故宮爆發十萬頁高階文物圖檔外流，立院教委會昨赴故宮資安防護機制。故宮報告時指出，圖檔外流時間發生在去年二月至六月，六月獲... , https://udn.com/news/story/7314/7050192?from=udn-ch1_breaknews-1-0-news
2023-03-23 02:20:29 , udn , 【即時短評】民進黨派系吃銅吃鐵 連大法官也不放過 , https://udn.com/news/story/6656/7050213?from=udn-ch1_breaknews-1-0-news
2023-03-23 02:20:39 , udn , 民進黨二○一六年完全執政以來，行政、立法已經一把抓，二○二○年監察院換屆後也「綠化」，全是蔡總統提名監委，如今司法院大法... , https://udn.com/news/story/6656/7050213?from=udn-ch1_breaknews-1-0-news
2023-03-23 02:47:28 , udn , 不明確表態外國軍事援助 布林肯：支持台灣防衛 , https://udn.com/news/story/6811/7050220?from=udn-ch1_breaknews-1-0-news
2023-03-23 02:47:38 , udn , 美國國務卿布林肯（Antony Blinken）22日在聯邦參議院撥款委員會小組聽證會表示，美國一直在考慮如何能最有效地... , https://udn.com/news/story/6811/7050220?from=udn-ch1_breaknews-1-0-news
2023-03-23 03:11:28 , udn , 銀行危機緩解美股揚 法人：市場關注美Fed利率決策 , https://udn.com/news/story/7239/7047779?from=udn-ch1_breaknews-1-0-news
2023-03-23 03:11:39 , udn , 美國銀行危機緩解，美股再度上漲。台股21日上漲93.48點收在15513.45點。法人表示，市場關注23日凌晨美國聯邦準... , https://udn.com/news/story/7239/7047779?from=udn-ch1_breaknews-1-0-news
2023-03-23 03:36:09 , udn , Fed如預期升息1碼 暗示升息周期接近終點 , https://udn.com/news/story/6811/7050224?from=udn-ch1_breaknews-1-0-news
2023-03-23 03:36:19 , udn , 美國聯準會（Fed）於美東時間22日下午2時（台灣23日凌晨2時）宣布升息1碼，聯邦資金利率目標區間來到4.75%～5%... , https://udn.com/news/story/6811/7050224?from=udn-ch1_breaknews-1-0-news
2023-03-23 03:56:39 , udn , 台企銀專精中小企金獲信保五大獎項 獲獎數稱冠公股 , https://udn.com/news/story/7239/7050229?from=udn-ch1_breaknews-1-0-news
2023-03-23 03:56:50 , udn , 台企銀（2834）推動中小企業辦理信用保證融資業務獲經濟部肯定，獲頒「2023中小企業信用保證融資業務績優金融機構及授信... , https://udn.com/news/story/7239/7050229?from=udn-ch1_breaknews-1-0-news
2023-03-23 05:38:28 , udn , 升息+葉倫放話 道指大跌530點 , https://udn.com/news/story/6811/7050256?from=udn-ch1_breaknews-1-0-news
2023-03-23 05:38:38 , udn , 由於Fed繼續升息，美股暴跌，同時承認銀行業的動盪可能會減緩本已脆弱的經濟。地區銀行股領跌。 , https://udn.com/news/story/6811/7050256?from=udn-ch1_breaknews-1-0-news
2023-03-23 05:56:28 , udn , 宏都拉斯否認曾向台灣索取天價金援 聲稱是債務融資 , https://udn.com/news/story/6656/7050252?from=udn-ch1_breaknews-1-0-news
2023-03-23 05:56:38 , udn , 宏都拉斯官員今天指出，宏國在尋求與中國建交前，未曾向台灣索取25億美元金援，該款項與尋求台灣購買宏國公共債務有關 , https://udn.com/news/story/6656/7050252?from=udn-ch1_breaknews-1-0-news
2023-03-23 06:17:48 , udn , 不靠直球取勝 兩好三壞心跳時刻 圖解大谷「魔球」策略 , https://udn.com/news/story/7314/7049999?from=udn-ch1_breaknews-1-0-news
2023-03-23 06:17:58 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。日本擊敗美國，奪下世界棒球經典賽冠軍，這次圖表帶你看投手大谷翔平如何在9局上以6球再見三振天使隊友楚奧特。 , https://udn.com/news/story/7314/7049999?from=udn-ch1_breaknews-1-0-news
2023-03-23 06:18:19 , udn , 以為2024可複製2022勝選 國民黨真該夢醒了 , https://udn.com/news/story/6656/7050193?from=udn-ch1_breaknews-1-0-news
2023-03-23 06:18:29 , udn , 國民黨如果還在做2024總統大選勝券在握的春秋大夢，是該夢醒時分了。 , https://udn.com/news/story/6656/7050193?from=udn-ch1_breaknews-1-0-news
2023-03-23 06:26:48 , udn , 美國聯邦公開市場委員會3月22日會議聲明全文 , https://udn.com/news/story/6811/7050274?from=udn-ch1_breaknews-1-0-news
2023-03-23 06:26:59 , udn , 以下是聯準會（Fed）周三在華盛頓發布的聯邦公開市場委員會政策聲明全文： , https://udn.com/news/story/6811/7050274?from=udn-ch1_breaknews-1-0-news
2023-03-23 06:28:20 , udn , Fed照升1碼且未結束 鮑爾稱還看不出銀行動盪的衝擊 , https://udn.com/news/story/6811/7050269?from=udn-ch1_breaknews-1-0-news
2023-03-23 06:28:31 , udn , 聯準會（Fed）連續九次會議調高利率，並暗示可能進一步升息，表明很有把握對抗通膨的努力不會加劇最近剛爆發的銀行業危機。 , https://udn.com/news/story/6811/7050269?from=udn-ch1_breaknews-1-0-news
2023-03-23 06:32:20 , udn , 美聯準會續升息+葉倫放話 道瓊大跌530點 , https://udn.com/news/story/6811/7050256?from=udn-ch1_breaknews-1-0-news
