2023-03-24 00:08:37 , udn , 王婉諭宣布參選北市大安區立委 , https://udn.com/news/story/123307/7052567?from=udn-ch1_breaknews-1-0-news
2023-03-24 00:08:48 , udn , 時代力量黨主席王婉諭今天晚間透過臉書宣布，她將爭取時代力量提名，在台北市大安區參選立委，並強調與許多政壇老將相比，「我的... , https://udn.com/news/story/123307/7052567?from=udn-ch1_breaknews-1-0-news
2023-03-24 00:09:08 , udn , 畫面曝！台北賓士男疑酒駕 高速撞斷路樹再撞公車「大反覆」 , https://udn.com/news/story/7320/7052673?from=udn-ch1_breaknews-1-0-news
2023-03-24 00:09:19 , udn , 台北市大安區仁愛路四段、接近光復南路口，今天晚上9點半發生嚴重車禍。47歲王姓男子疑似酒駕，開賓士車突然失控，綠燈起步直接衝撞分隔島、撞斷椰子樹，再波及公車專用道上的一輛311號公車，賓士車「180度大翻覆」。 , https://udn.com/news/story/7320/7052673?from=udn-ch1_breaknews-1-0-news
2023-03-24 00:38:38 , udn , 【即時短評】國民黨總統人選徵召提名慢？ 怕有不得不慢的顧慮 , https://udn.com/news/story/123307/7052807?from=udn-ch1_breaknews-1-0-news
2023-03-24 00:38:48 , udn , 國民黨定調將採徵召方式決定下屆總統參選人，時間可能在6月。對此，國民黨內有人質疑時間太慢，認為要徵召快徵召，「不要再拖」... , https://udn.com/news/story/123307/7052807?from=udn-ch1_breaknews-1-0-news
2023-03-24 00:50:37 , udn , 高雄再添Fine Dining！「方蒔」用法料獻上南國記憶 , https://udn.com/news/story/7270/7052816?from=udn-ch1_breaknews-1-0-news
2023-03-24 00:50:47 , udn , 高雄的Fine Dining迅速崛起，精緻餐飲市場也越來越豐富。不僅有大集團所支持的米其林星廚進駐，也陸續有優秀的高雄子... , https://udn.com/news/story/7270/7052816?from=udn-ch1_breaknews-1-0-news
2023-03-24 01:20:29 , udn , 陸赴非淘金9人遭槍殺 擋不住一帶一路暴富夢 , https://udn.com/news/story/7331/7052837?from=udn-ch1_breaknews-1-0-news
2023-03-24 01:20:39 , udn , 3月23日凌晨，中國大陸駐中非大使館再度發布緊急提醒，呼籲當地的中國機構和公民以及有意前來中非的中國公民，切勿前往中非首都班基（Bangui）以外的地區，尚在班基以外地區的中國公民則應立刻撤離。因為4天前，中非一處金礦場才剛發生有中國公民遭「行刑式槍決」的慘案，造成9死、2重傷。而這已經是非洲大陸發生的「第N起」類似事件。 , https://udn.com/news/story/7331/7052837?from=udn-ch1_breaknews-1-0-news
2023-03-24 01:21:00 , udn , ChatGPT衝擊甄選？頂尖科大1招防弊 私校卻不敢跟進 , https://udn.com/news/story/6928/7052836?from=udn-ch1_breaknews-1-0-news
