2023-03-25 00:17:48 , udn , 台中2車對撞釀重大車禍 9人傷2女一度昏迷送醫搶救 , https://udn.com/news/story/7320/7055148?from=udn-ch1_breaknews-1-0-news
2023-03-25 00:17:58 , udn , 台中市西屯區今晚發生重大車禍，黃姓男子一車5人經西屯路往都會公園方向，轉彎時疑燈光昏暗、車速過快，失控撞上路燈衝至對向，... , https://udn.com/news/story/7320/7055148?from=udn-ch1_breaknews-1-0-news
2023-03-25 00:35:38 , udn , 台中「夏田路」雙轎車撞「下田」 民代爭取設紅綠燈 , https://udn.com/news/story/7325/7055179?from=udn-ch1_breaknews-1-0-news
2023-03-25 00:35:48 , udn , 台中市大里區夏田里夏田路、頂厝路口，交通事故頻傳，路旁住家圍牆、鐵柵被撞，還發生二輛轎車互撞雙雙「下田」（撞進稻田），市... , https://udn.com/news/story/7325/7055179?from=udn-ch1_breaknews-1-0-news
2023-03-25 00:38:39 , udn , 開箱百里侯／謝國樑曾為女兒天天掉淚 卻學會怎樣當個好市長 , https://udn.com/news/story/123432/7054645?from=udn-ch1_breaknews-1-0-news
2023-03-25 00:38:49 , udn , 曾是立法院最年輕的立委、公司總經理，基隆市長謝國樑的前半生堪稱一帆風順，直到2017年女兒「小愛」誕生，診斷出極重度聽力受損，謝國樑才發現原來人生也有徬徨、無助的時候。 , https://udn.com/news/story/123432/7054645?from=udn-ch1_breaknews-1-0-news
2023-03-25 01:11:28 , udn , 人夫出軌不能訴離？憲法保障結婚自由 也該保障怨偶好好分手 , https://udn.com/news/story/7266/7055201?from=udn-ch1_breaknews-1-0-news
2023-03-25 01:11:38 , udn , 後漢書．宋弘傳「糟糠之妻不下堂」名句流傳千百年，現行民法也規定造成婚姻破裂的一方無權提離婚，大法官最新的憲法判決認為，若夫妻間有婚姻難以維持的重大事由發生後，若永久不能離婚，顯然過苛，這與憲法所保障的婚姻自由意旨不符，相關機關2年內應修正，現代人面對婚姻關係，是否也應有新的思維？當婚姻關係不再講究天長地久，除了傳宗接代、考量孩子、經濟情況外，還需要考量什麼？ , https://udn.com/news/story/7266/7055201?from=udn-ch1_breaknews-1-0-news
2023-03-25 01:20:29 , udn , 蔡總統字典裡沒超黨派、獨立 難怪謝長廷被推薦任大法官 , https://udn.com/news/story/6656/7055188?from=udn-ch1_breaknews-1-0-news
2023-03-25 01:20:39 , udn , 駐日代表謝長廷又回國了。

其實謝長廷常回台灣，但這次格外受到矚目，因為謝系色彩濃厚的新文化基金會董事長林耀文公開推薦謝長廷出任大法官。由於今年9月30日將有四位大法官任期屆滿，蔡英文總統日前核定成立「司法院大法官提名審薦小組」，各界推自薦的期限是3月29日，謝長廷此時返國，當然會吸引大家注意。 , https://udn.com/news/story/6656/7055188?from=udn-ch1_breaknews-1-0-news
2023-03-25 03:26:28 , udn , 1時22分花蓮規模3.8地震 最大震度花蓮縣3級 , https://udn.com/news/story/7266/7055216?from=udn-ch1_breaknews-1-0-news
2023-03-25 03:26:39 , udn , 根據中央氣象局最新資訊，25日1時22分發生芮氏規模3.8地震，地震深度7.7公里，震央位於花蓮縣政府西南方51.5公里... , https://udn.com/news/story/7266/7055216?from=udn-ch1_breaknews-1-0-news
2023-03-25 03:41:29 , udn , BBC紀錄片聚焦台灣抵抗中國威脅 指拒絕統一已是主流 , https://udn.com/news/story/7331/7055226?from=udn-ch1_breaknews-1-0-news
2023-03-25 03:41:39 , udn , 英國廣播公司2台（BBC Two）23日晚間上映紀錄片，探討台灣如何抵抗中國的多面向威脅與滲透。記者寇賓在片尾說，過去7... , https://udn.com/news/story/7331/7055226?from=udn-ch1_breaknews-1-0-news
2023-03-25 04:05:28 , udn , 德意志銀行股價重挫 引發危機疑懼 , https://udn.com/news/story/6811/7055228?from=udn-ch1_breaknews-1-0-news
