2023-03-26 00:23:28 , udn , 初選暗樁之亂終結 藍剔除徐巧芯、費鴻泰之外4人資格 , https://udn.com/news/story/6656/7056865?from=udn-ch1_breaknews-1-0-news
2023-03-26 00:23:39 , udn , 國民黨台北市立委第7選區信義南松山區初選，爆發徐巧芯、費鴻泰暗樁之亂，台北市黨部今召開提名審查小組會議，火速介入處理，將... , https://udn.com/news/story/6656/7056865?from=udn-ch1_breaknews-1-0-news
2023-03-26 00:26:27 , udn , 殺破狼週運勢／獅子成職場當紅炸子雞 天秤情感有突破性進展  , https://udn.com/news/story/7268/7047813?from=udn-ch1_breaknews-1-0-news
2023-03-26 00:26:38 , udn , 天秤座金錢運佳，金星與天王星合相在財務宮位，偏財運佳，別忘了對發票，偏財運頗佳，中獎率極高。有投資習慣的天秤座，在一片慘綠中，投資標的一支獨秀，可選在相對高點獲利了結。 , https://udn.com/news/story/7268/7047813?from=udn-ch1_breaknews-1-0-news
2023-03-26 00:26:58 , udn , 影／海科館害羞「明星」花園鰻 園丁好幫手互動超有趣 , https://udn.com/news/story/7266/7056866?from=udn-ch1_breaknews-1-0-news
2023-03-26 00:27:09 , udn , 國立海科館的潮境智能海洋館，有許多吸睛與特別的海洋生物，位2樓展缸的花園鰻，由於生性害羞，是很受遊客喜愛的「明星」。飼育... , https://udn.com/news/story/7266/7056866?from=udn-ch1_breaknews-1-0-news
2023-03-26 00:44:29 , udn , 14億人口的財富密碼 陸富豪數減少 仍排全球第一 , https://udn.com/news/story/7331/7056752?from=udn-ch1_breaknews-1-0-news
2023-03-26 00:44:39 , udn , 中國的富豪是如何誕生的從來不是難解的習題，14億的人口體量是中國富豪崛起的最大密碼，農夫山泉的董事長鍾睒睒已蟬聯中國首富多年，而其產品就是礦泉水、運動飲料與茶、咖啡。14億人一張嘴就得喝水，鍾睒睒也就穩坐釣魚台。而這一類憑藉人口模式複製出來的富豪，也不斷在富豪榜上出現。 , https://udn.com/news/story/7331/7056752?from=udn-ch1_breaknews-1-0-news
2023-03-26 00:59:28 , udn , 「M化車」憑訊號定位 李宗瑞案、林益世案都靠它抓人 , https://udn.com/news/story/6656/7056890?from=udn-ch1_breaknews-1-0-news
2023-03-26 00:59:38 , udn , 政府宣稱全力打擊不肖的詐騙分子，首當其衝的是警方，當犯罪集團都以科技當助力，執法者更須借助科技偵查工具的幫忙，才能提高偵查效率，但一件8年前的詐欺案纏訟至今未結，被告還有可能獲判無罪，問題就卡在「M化車」蒐證合法與否，國內科技偵查法令的落後，比起不斷善用新科技當犯罪助力的犯罪集團，凸顯政府只喊口號、欠缺執行決心。 , https://udn.com/news/story/6656/7056890?from=udn-ch1_breaknews-1-0-news
2023-03-26 04:41:28 , udn , 感染輕度肺炎 巴西總統魯拉取消訪中 , https://udn.com/news/story/6809/7056903?from=udn-ch1_breaknews-1-0-news
2023-03-26 04:41:38 , udn , 原定下週對中國進行國是訪問的巴西總統魯拉日前確診輕度肺炎。總統府今天宣布，魯拉已因健康因素取消備受矚目的中國之 行，原訂... , https://udn.com/news/story/6809/7056903?from=udn-ch1_breaknews-1-0-news
2023-03-26 05:02:30 , udn , 英擬供烏克蘭貧鈾彈 普亭：若成真將以牙還牙 , https://udn.com/news/story/122663/7056933?from=udn-ch1_breaknews-1-0-news
2023-03-26 05:02:40 , udn , 俄羅斯總統普亭今天揚言，一旦烏克蘭從西方國家手中取得貧鈾彈藥，莫斯科也將在烏國部署同樣的彈藥。英國當局日前證實，計劃向基... , https://udn.com/news/story/122663/7056933?from=udn-ch1_breaknews-1-0-news
2023-03-26 06:26:38 , udn , 【總編開箱】侯友宜萬事俱備 黨中央卻大吹西風 , https://udn.com/news/story/123307/7056914?from=udn-ch1_breaknews-1-0-news
2023-03-26 06:26:48 , udn , 新北市長侯友宜代表國民黨角逐總統大位，萬事俱備、只欠東風，不過，黨中央卻大吹西風，壞了侯友宜出場的規畫。 , https://udn.com/news/story/123307/7056914?from=udn-ch1_breaknews-1-0-news
2023-03-26 06:27:09 , udn , 造價近9千萬 破案神器「M化車」其實不合法 , https://udn.com/news/story/7314/7056757?from=udn-ch1_breaknews-1-0-news
2023-03-26 06:27:19 , udn , 最高院判決認定M化車蒐證侵害人民隱私權、資訊自主權，這次的圖表帶你看M化車的特色與爭議。 , https://udn.com/news/story/7314/7056757?from=udn-ch1_breaknews-1-0-news
2023-03-26 06:41:38 , udn , 星期人物／收購瑞信 一個「意外選擇」造就金融救世主 , https://udn.com/news/story/6812/7056891?from=udn-ch1_breaknews-1-0-news
