2023-03-27 00:05:49 , udn , 路跑／紐崔萊日月潭環湖賽 3000跑者浪漫起跑 , https://udn.com/news/story/7879/7058351?from=udn-ch1_breaknews-1-0-news
2023-03-27 00:05:59 , udn , 因疫情暫停兩年的櫻舞飛揚環湖路跑賽，今天在風雨中登場，由中華民國運動休閒推廣協會所舉辦的「櫻舞飛揚環湖路跑賽」今年邁入第... , https://udn.com/news/story/7879/7058351?from=udn-ch1_breaknews-1-0-news
2023-03-27 00:32:29 , udn , 陸軍事進步快速  五角大廈盼矽谷新創公司助美造先進武器 , https://udn.com/news/story/6811/7058397?from=udn-ch1_breaknews-1-0-news
2023-03-27 00:32:39 , udn , 華爾街日報26日報導，隨著美國汲汲趕上中國大陸軍事進步的速度，五角大廈正尋求加州新創公司的協助，致力資助和研發新的武器技... , https://udn.com/news/story/6811/7058397?from=udn-ch1_breaknews-1-0-news
2023-03-27 00:33:00 , udn , 被認為是藍營大樁腳 慈濟宮老董遭收押藍綠攻防 , https://udn.com/news/story/6656/7058392?from=udn-ch1_breaknews-1-0-news
2023-03-27 00:33:10 , udn , 捲入台南學甲88槍擊案遭收押的慈濟宮董事長王文宗，引發藍綠陣營攻防，外界視為藍營大樁腳。不過熟悉當地政治生態者稱，其實王... , https://udn.com/news/story/6656/7058392?from=udn-ch1_breaknews-1-0-news
2023-03-27 00:41:28 , udn , 中共下令「大興調查研究」 基層花大錢迎檢有苦難說 , https://udn.com/news/story/7331/7057978?from=udn-ch1_breaknews-1-0-news
2023-03-27 00:41:39 , udn , 「沒有調查，沒有發言權」，這是毛澤東的名言之一。在今年大陸全國兩會結束後不久，中共中央辦公廳就發布了「關於在全黨大興調查研究的工作方案」，強調對中共而言調查研究是「傳家寶」。共產黨此時突然要全黨大興調研，究竟想幹什麼？ , https://udn.com/news/story/7331/7057978?from=udn-ch1_breaknews-1-0-news
2023-03-27 01:08:29 , udn , 露營罰跪風波愈演愈烈 高市教育局下重手撤換校長 , https://udn.com/news/story/6885/7058417?from=udn-ch1_breaknews-1-0-news
2023-03-27 01:08:40 , udn , 高雄一所國小辦露營演出罰跪風波，張姓代理校長自請處分，以示負責後，教育局深夜發布，即起更換校長，指派督學代理校長職務。 , https://udn.com/news/story/6885/7058417?from=udn-ch1_breaknews-1-0-news
2023-03-27 01:26:28 , udn , 台灣參加英國果醬大賽成績破紀錄 特有種南庄橙驚豔 , https://udn.com/news/story/7266/7058430?from=udn-ch1_breaknews-1-0-news
2023-03-27 01:26:39 , udn , 台灣品牌參加英國「世界柑橘類果醬大賽」今年締造史上最佳成績，4個品牌總計贏得1雙金、6金、6銀、8銅共21個獎 , https://udn.com/news/story/7266/7058430?from=udn-ch1_breaknews-1-0-news
2023-03-27 01:27:02 , udn , 加碼送「肉品／海鮮9選1」 高雄鳳山「第4間築間」開幕 , https://udn.com/news/story/7270/7058316?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:16:00 , udn , 陸軍事進步快速 五角大廈盼矽谷新創公司助美造先進武器 , https://udn.com/news/story/6809/7058397?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:20:30 , udn , 普亭將在白俄部署核武 華府：未見俄移動核武跡象 , https://udn.com/news/story/122663/7058443?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:20:40 , udn , 俄羅斯總統普亭宣布將在白俄羅斯部署戰術核子武器。白宮國家安全會議發言人柯比今天表示，美國還沒有看到俄羅斯已經移動任何核武的跡象。 , https://udn.com/news/story/122663/7058443?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:35:59 , udn , 川普：檢察官白艾榮已「撤銷」我的案子 , https://udn.com/news/story/6813/7058444?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:36:10 , udn , 據網路媒體Axios，前總統川普25日稱，曼哈頓地區檢察官白艾榮已經「撤銷」原先準備對他的起訴。 , https://udn.com/news/story/6813/7058444?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:44:27 , udn , 以色列防長籲暫緩司法改革 遭內唐亞胡開除 , https://udn.com/news/story/6809/7058446?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:44:38 , udn , 以色列總理內唐亞胡今天將國防部長葛朗特開除。葛朗特昨天對內唐亞胡公開唱反調，呼籲政府暫停推動爭議的司法改革 , https://udn.com/news/story/6809/7058446?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:44:58 , udn , 文化成年禮首年破10億 文化部鼓勵企業家為學弟妹加碼 , https://udn.com/news/story/7314/7058447?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:45:09 , udn , 最快6月發放的文化成年禮，第一年預算逾10億元。未來若要讓文化成年禮常態化，不能光仰賴文化部預算。文化部上周公告「文化部... , https://udn.com/news/story/7314/7058447?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:57:30 , udn , 休士頓火車擋路「一停幾個小時」議員擬重罰 , https://udn.com/news/story/6813/7057253?from=udn-ch1_breaknews-1-0-news
2023-03-27 03:57:40 , udn , 休士頓的「大東端」地區(Greater East End)，最近幾個月貨運火車擋住平交道的情況頻繁出現，「聯合太平洋鐵路... , https://udn.com/news/story/6813/7057253?from=udn-ch1_breaknews-1-0-news
2023-03-27 04:38:28 , udn , 若白俄存放俄核武 歐盟警告祭新制裁 , https://udn.com/news/story/122663/7058451?from=udn-ch1_breaknews-1-0-news
2023-03-27 04:38:39 , udn , 歐洲聯盟外交暨安全政策高級代表波瑞爾今天表示，如果白俄羅斯讓俄羅斯在境內部署核子武器，布魯塞爾準備好對明斯克實施新制裁 , https://udn.com/news/story/122663/7058451?from=udn-ch1_breaknews-1-0-news
2023-03-27 05:26:30 , udn , 習近平高調訪俄下挺普亭連任不尋常 凸顯北京的深層恐懼  , https://udn.com/news/story/6809/7056141?from=udn-ch1_breaknews-1-0-news
2023-03-27 05:26:40 , udn , 編按：聯合報精選每周國際大事，由資深國際新聞媒體人郭崇倫深入解讀，帶讀者看懂國際新聞背後門道，快速掌握全球局勢變化。

看點1：大陸國家主席習近平自烏克蘭戰爭爆發以來首次踏足俄羅斯，中俄關係進一步深化，對抗西方的論調更趨一致，北京也如願獲得能源回報；然而，習在會中支持俄羅斯總統普亭連任，卻反映了北京的深層恐懼。

看點2：北京在斡旋伊朗與沙烏地阿拉伯復交後，也積極在俄羅斯和烏克蘭之間扮演和平使者，但只談停火不談撤軍的「和平計畫」，遭美國抨擊為虛晃一招，美中再度隔空交鋒。

看點3：前總統馬英九赴中國大陸祭祖、總統蔡英文出訪中美洲並過境美國，這兩件幾乎同時發生的事，會讓北京趁機大做文章或從中作梗嗎？ , https://udn.com/news/story/6809/7056141?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:17:28 , udn , 國民黨的兩岸論述不能只看眼前 才能真正超越民進黨 , https://udn.com/news/story/6656/7058438?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:17:39 , udn , 近年來民進黨頻頻收割抗中紅利，只要牽涉到兩岸關係議題，往往就是國民黨失分，民進黨加分。兩岸議題被視為國民黨的軟肋，國民黨自然也想要在2024選前好好定錨，希望能對九二共識等兩岸議題提出新的論述，爭取國人的支持。不過，目前來看，國民黨的兩岸論述「講速效」的成分高，恐怕在黨內難獲得支持，未來跟中共的互動也會出現變數。 , https://udn.com/news/story/6656/7058438?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:17:59 , udn , 台宏斷交 將牽動多少軍事、文教與經貿往來 , https://udn.com/news/story/7314/7058429?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:18:10 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。宏都拉斯昨宣布與我國斷交，我邦交國數剩下13個。這次圖表帶你了解，我與宏國斷交後，兩國哪些往來可能受到影響。 , https://udn.com/news/story/7314/7058429?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:23:28 , udn , 【總編開箱】國民黨的兩岸論述不能只看眼前 才能真正超越民進黨 , https://udn.com/news/story/6656/7058438?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:38:38 , udn , 台灣人太愛吃？作家張良澤：台灣不能只有吃像豬一樣 , https://udn.com/news/story/7266/7058481?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:38:48 , udn , 倡議設立「台灣文學國家園區」的作家張良澤昨天表示，不懂台灣的特色為何只剩下吃的，「走到哪裡都要找吃的，好像豬一樣」，應該... , https://udn.com/news/story/7266/7058481?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:39:09 , udn , 開箱百里侯／鍾東錦直球對決 妻當分身 揪18鄉鎮市打團體戰 , https://udn.com/news/story/123432/7058418?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:39:19 , udn , 苗栗縣長鍾東錦上任近百日，直球對決個性、企業型政府的思維展露無遺，首開先例邀請18鄉鎮市長輪流列席縣務會議交流溝通，兌現3000元敬老禮金政見。 , https://udn.com/news/story/123432/7058418?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:47:42 , udn , 午後各地短暫雨 吳德榮：周四第二波春雨 伴雷雨快速通過 , https://udn.com/news/story/7266/7058484?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:47:53 , udn , 今、明兩天東北季風影響，中央氣象局說，北部及東北部天氣較涼；今天華南雲雨區東移，東半部、台南以北地區、南部山區及澎湖、金... , https://udn.com/news/story/7266/7058484?from=udn-ch1_breaknews-1-0-news
2023-03-27 06:48:13 , udn , 台灣人太愛吃？作家張良澤：台灣不能只有吃 像豬一樣 , https://udn.com/news/story/7266/7058481?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:08:39 , udn , 玉山最晚初雪銀白世界照片曝光 鄭明典：新雪最美 , https://udn.com/news/story/7266/7058487?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:08:50 , udn , 久違的玉山積雪美景重現。玉山昨天終於降雪，也創了玉山氣象站設站80年最晚紀錄。中央氣象局長鄭明典在臉書分享從玉山北峰的氣... , https://udn.com/news/story/7266/7058487?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:09:10 , udn , 繼紐約之後 華府台僑成立挺賴清德後援會 , https://udn.com/news/story/6656/7058486?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:09:21 , udn , 華府台僑26日在華府長老教會舉行「華府信賴後援會」成立記者會，支持副總統賴清德參選下一屆總統，後援會召集人簡明子說，期盼... , https://udn.com/news/story/6656/7058486?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:23:48 , udn , 老闆員工都愛用ChatGPT 企業機密卻恐讓對手看光光 , https://udn.com/news/story/7238/7056888?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:23:59 , udn , 從矽谷到全球，ChatGPT紅透半邊天，人們不但喜歡跟它對話，學生也喜歡拿它來做功課，上班族甚至運用它給出的資訊做報告，各行各業都喜歡這個新應用。ChatGPT屬於生成式AI（人工智慧），國際研調機構Omdia看好今年是生成式AI早期發展階段，大量創造性革新將因生成式AI陸續浮現，因應生成式AI新時代來臨，科技大廠也打算制定相關使用規範，以免員工使用這些AI工具時，無意間將公司機密留在雲端，被競爭對手看光光。 , https://udn.com/news/story/7238/7056888?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:26:50 , udn , 日職／200救援的最極盛 本季挑戰產出史上最高3人  , https://udn.com/news/story/122629/7057937?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:27:00 , udn , 2023年日本職棒將於本週五（31日）開打，值得注意的是今年極有可能繼去年之後再創「生涯200救援」巔峰，甚至同時在單一球季誕生3名200次救援成功的投手。日本職棒去年有平野佳壽（歐力士、6月2日）以 , https://udn.com/news/story/122629/7057937?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:27:21 , udn , 中職／月薪百萬等級期待  江少慶和王維中的關鍵年 , https://udn.com/news/story/122629/7057999?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:27:31 , udn , 中華職棒34年新賽季本週六即將開打，雖然這屆WBC世界棒球經典賽中華隊在A組預賽排名墊底，不過，對義大利、荷蘭都打出令國人感動的球賽，拿下這兩勝實屬不易，中職各球團也期待能延續經典賽熱潮拉抬票房。
 , https://udn.com/news/story/122629/7057999?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:27:52 , udn , 基特接班人出現！ 洋基超新星沃爾普力拼開幕先發 , https://udn.com/news/story/122629/7058029?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:28:02 , udn , 身為一隻擁有輝煌歷史且年年維持強大陣容的球隊，鮮少在開幕賽就起用全無大聯盟實戰經驗的新人對洋基來說是很合理的事。上一個生涯首秀就出現在開幕賽的洋基新人是2003年的松井秀喜。但是我們都知道，以松井在日 , https://udn.com/news/story/122629/7058029?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:28:22 , udn , 雙年金時代來臨！國保15年落日條款將退場 2重點勞工要特別注意 , https://udn.com/news/story/7238/7057367?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:28:33 , udn , 民國97年開辦的國保即將在今年10月1日屆滿15年，原本第7條訂有「落日條款」，亦即國保上路15年內，若65歲以前領了勞保老年給付，只要達到一定條件，仍可加保國保，年滿65歲可以再領國民年金；隨著國保實施屆滿15年，「落日條款」也將在今年10月退場，這裡頭到底有哪些重點，是千萬勞工需要特別留意的呢？ , https://udn.com/news/story/7238/7057367?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:28:53 , udn , 會考作文／用Chat GPT改寫作測驗？ AI難判思考脈絡、思想高度 , https://udn.com/news/story/6885/7057373?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:29:04 , udn , 112年國中教育會考將於5月20、21日登場。會考寫作閱卷任務如同「工廠標準化作業」，閱卷結果力求一致性，電腦會隨機丟出「測試卷」測試閱卷委員，如果一「閃神」給的分數與標準不符，就會被鎖卡。既然有一套SOP，那寫作閱卷可能被Chat GPT等生成式AI取代？ , https://udn.com/news/story/6885/7057373?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:30:05 , udn , 美股上周五（24日）扳回盤初由銀行股攪動的頹勢，在當局承諾確保金融穩定後轉而反彈，標普500指數和那斯達克指數連續兩周收... , https://udn.com/news/story/6811/7058489?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:53:39 , udn , 一年四季都能品嘗的鹹甜好滋味 芋頭這樣保存最好吃 , https://udn.com/news/story/7266/7058495?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:53:50 , udn , 每年中秋至清明節為中部芋頭的產季，端午至中秋節為高屏地區產季，一年四季都能品嚐芋頭鹹甜好滋味。 , https://udn.com/news/story/7266/7058495?from=udn-ch1_breaknews-1-0-news
2023-03-27 07:58:14 , udn , 華府台僑成立挺賴清德後援會 促賴訪華府 , https://udn.com/news/story/123307/7058486?from=udn-ch1_breaknews-1-0-news
2023-03-27 08:05:38 , udn , 今晚還有一波水氣通過 專家：明起春雨暫歇 盼周四再來 , https://udn.com/news/story/7266/7058507?from=udn-ch1_breaknews-1-0-news
2023-03-27 08:05:49 , udn , 天氣風險公司天氣分析師歐宗學說，今天台灣仍然受到東北季風及華南雲雨區影響，但雲雨發展強度相較周末時已有明顯減弱，預估白天... , https://udn.com/news/story/7266/7058507?from=udn-ch1_breaknews-1-0-news
2023-03-27 08:06:09 , udn , 【專家之眼】駭人聽聞的新加坡公務員薪事：比較台灣 , https://udn.com/news/story/6656/7058501?from=udn-ch1_breaknews-1-0-news
