2023-03-28 00:20:29 , udn , 開槍擊斃狒狒疑雲重重 警方出面說明了 , https://udn.com/news/story/7266/7060589?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:20:39 , udn , 楊梅分局長張仁傑說，林姓獵人開槍擊斃狒狒，使用的是合法申請的槍枝，林姓獵人也非桃園市農業局委託協助圍捕狒狒。至於林姓獵人... , https://udn.com/news/story/7266/7060589?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:23:29 , udn , 愛立康藥局涉吸金上億 老闆夫婦移送複訊 , https://udn.com/news/story/7321/7060592?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:23:39 , udn , 新北樹林愛立康藥局吳姓老闆與妻子林女，趁疫情期間以藥局擴店、買防疫物資販售可獲豐厚報酬等吸金上億元，但事後卻改口稱投資失... , https://udn.com/news/story/7321/7060592?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:26:28 , udn , 郭台銘啟程訪美　秀APEC卡否認特權通關 , https://udn.com/news/story/6656/7060594?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:26:38 , udn , 鴻海創辦人郭台銘今（27日）晚搭機赴美，展開為期12天的科技經濟開拓之旅，他晚間10點14分搭車抵達桃園國際機場，記者詢... , https://udn.com/news/story/6656/7060594?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:53:29 , udn , 普亭升高核武威脅 習近平尷尬 美智庫：俄陣腳已亂只好唬人 , https://udn.com/news/story/6809/7060651?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:53:39 , udn , 俄羅斯總統普亭21日才與中國大陸國家主席習近平發表聯合聲明，反對核武國家在境外部署核武，他25日就宣布將在白俄羅斯部署戰術核武。普亭為何要違背他與習近平的承諾？大陸專家分析，普亭此舉恐使中方推動烏克蘭和平計畫的難度加大，西方專家也指出，普亭在白俄部署核武的時間表不切實際，建造核武儲備設施至少需要7年，目前看不出有動工跡象，如何在7月1日之前完成？普亭再升高核武威脅，打得是什麼盤算？ , https://udn.com/news/story/6809/7060651?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:54:00 , udn , 2023 WW表展／雙逆跳「鉑金鮭」！江詩丹頓經典再升級 , https://udn.com/news/story/7270/7060646?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:54:10 , udn , 今日於瑞士日內瓦展開的鐘表與奇蹟（Watches and Wonders）表展中，共有近50品牌參展，是近年最大規模、最... , https://udn.com/news/story/7270/7060646?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:54:31 , udn , 開箱百里侯／南投首位女縣長 許淑華解決沉痾靠「多做少說」 , https://udn.com/news/story/6656/7060243?from=udn-ch1_breaknews-1-0-news
2023-03-28 00:54:41 , udn , 南投縣長許淑華曾是選美小姐，更有「神力女超人」封號，在立院曝光度相當高，就任南投縣長近百天，許淑華相對低調，將更多時間用在縣府團隊調整和處理棘手的垃圾問題，她說「話多誤大事」，要解決南投陳年老問題，她得一肩扛起，縣民權益擺第一。 , https://udn.com/news/story/6656/7060243?from=udn-ch1_breaknews-1-0-news
2023-03-28 01:20:28 , udn , 一聲槍響一道閃光…警嘆「一生忘不掉的夢魘」 , https://udn.com/news/story/7266/7060658?from=udn-ch1_breaknews-1-0-news
2023-03-28 01:20:39 , udn , 去年9月，台北市大同區張姓女子情緒失控，持刀刺警後與警僵持，自殘數刀死亡；目睹犯嫌自我了斷是什麼感覺？兩名有相同遭遇的員警接受聯合報數位版的訪問時說，即使是犯嫌也是寶貴生命，對警察來說，仍是一生難以抹去的傷痕。 , https://udn.com/news/story/7266/7060658?from=udn-ch1_breaknews-1-0-news
2023-03-28 03:17:29 , udn , 李棟樑第28度赴五指山勞軍 獻花追悼沈一鳴 , https://udn.com/news/story/10930/7060688?from=udn-ch1_breaknews-1-0-news
2023-03-28 03:17:40 , udn , 329春祭國殤日將至，中華民國軍人之友社榮譽理事長李棟樑，27日赴五指山國軍示範公墓與新店碧潭空軍公墓，向國軍前輩上香致... , https://udn.com/news/story/10930/7060688?from=udn-ch1_breaknews-1-0-news
