2023-03-29 00:11:30 , udn , 開箱百里侯／周春米首次參選就當上縣長 背後的男人是關鍵 , https://udn.com/news/story/6656/7063184?from=udn-ch1_breaknews-1-0-news
2023-03-29 00:11:40 , udn , 屏東縣長周春米去年底以一萬多票差距險勝國民黨候選人蘇清泉，成為屏東縣第一位女縣長。被網友封為「小米姐姐」的周春米，人生首場選舉就是拚戰百里侯，一路從法官、律師、立委到縣長，「關鍵人物」就是她的另一半。 , https://udn.com/news/story/6656/7063184?from=udn-ch1_breaknews-1-0-news
2023-03-29 00:14:29 , udn , 用戲劇為emo發聲！ 新點子實驗場反思警察與青少年文化 , https://udn.com/news/story/7270/7063193?from=udn-ch1_breaknews-1-0-news
2023-03-29 00:14:39 , udn , 透過兩位塗鴉藝術家DISK迪克&SONG頌，國家戲劇院地下層廢車道變身為大型360度奇幻塗鴉場域，試演2023新點子實驗... , https://udn.com/news/story/7270/7063193?from=udn-ch1_breaknews-1-0-news
2023-03-29 00:17:39 , udn , 臭豆腐雪茄、佛跳牆生煎包！樂天皇朝新品「買3送1」 , https://udn.com/news/story/7270/7063201?from=udn-ch1_breaknews-1-0-news
2023-03-29 00:17:49 , udn , 來自新加坡、以「八色小籠包」著稱的「樂天皇朝」，近期針對邁入第8年的信義店重新裝潢，並將於3月29日重新開幕，4月6日起... , https://udn.com/news/story/7270/7063201?from=udn-ch1_breaknews-1-0-news
2023-03-29 01:11:41 , udn , 棒球／中華隊失守世界第2遭美墨超越 日本坐穩一哥寶座 , https://udn.com/news/story/7001/7063266?from=udn-ch1_breaknews-1-0-news
2023-03-29 01:11:52 , udn , 世界棒球經典賽落幕，國際棒壘球總會（WBSC）今天公布最新棒球世界排名，台灣下滑2位，從世界第2降到第4，遭美國、墨西哥... , https://udn.com/news/story/7001/7063266?from=udn-ch1_breaknews-1-0-news
2023-03-29 01:17:28 , udn , 雲遊近1年返陸 「馬雲回國了」透露什麼訊號 , https://udn.com/news/story/7331/7063267?from=udn-ch1_breaknews-1-0-news
2023-03-29 01:17:39 , udn , 27日，有外電報導，儘管北京當局一再勸說，阿里巴巴創辦人依然「拒絕回國」。受此消息影響，當天不僅阿里巴巴股價走跌，恒生指數也一度狂瀉逾400點。不料，隨後就傳出馬雲人已經在杭州，還有影片為證，港股跌幅隨之收窄。為什麼馬雲人在哪如此動見觀瞻？ , https://udn.com/news/story/7331/7063267?from=udn-ch1_breaknews-1-0-news
2023-03-29 05:56:28 , udn , 戶外教學怎變體罰大會？教官只會吼 學生啥也沒學到 , https://udn.com/news/story/6885/7062638?from=udn-ch1_breaknews-1-0-news
2023-03-29 05:56:39 , udn , 高雄某國小舉辦五年級生露營活動，上百名學生卻遭廠商值夜輔導員要求罰跪，引起外界非議。實際上，國內多所國中、高中，也經常在學生一年級、二年級階段舉辦隔宿露營、公民教育訓練，學校多委由旅行社承辦，但學生在活動結束後，多半忘了學到什麼技能，反倒在活動中那群「值星官」、「教官」對學生無厘頭發怒的態度，成了學生畢業多年後的集體記憶，有學生形容根本是「體罰大會」，難道學校不能自己辦嗎？ , https://udn.com/news/story/6885/7062638?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:05:57 , udn , 利率壓制科技 那指連跌兩天 , https://udn.com/news/story/6811/7063334?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:06:08 , udn , 那斯達克綜合指數連續第二天收跌，因為利率上升給科技股指數帶來壓力。 , https://udn.com/news/story/6811/7063334?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:17:33 , udn , 狒狒之死的荒謬悲劇 是行政失靈照妖鏡 , https://udn.com/news/story/123439/7063246?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:17:44 , udn , 東非狒狒以槍傷死亡結束18天南桃園流竄之旅，從單純圍捕保育類動物演變成刑事案件，過程離譜。狒狒從哪裡逃出？獵人為何在場？誰下令及同意開槍？迄今一團迷霧，桃園動保人員拍照存證與鞠躬目送狒狒屍體的一幕更貽笑大方。這齣悲劇，有人道歉、有人辭職，監委也要展開調查，但真能改變混亂的動保制度？令人懷疑。 , https://udn.com/news/story/123439/7063246?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:18:04 , udn , 誰讓獵人扣下扳機？羅列4疑點 幫狒狒緝凶 , https://udn.com/news/story/123439/7063221?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:18:15 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。桃園狒狒之死全台哀悼，致命一槍究竟為何擊發？這次的圖表帶讀者釐清狒狒生前、身後之謎。 , https://udn.com/news/story/123439/7063221?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:26:53 , udn , 屏第一選區立委黨內初選內戰 周春米：手心手背都是肉 , https://udn.com/news/story/123307/7063350?from=udn-ch1_breaknews-1-0-news
2023-03-29 06:27:04 , udn , 民進黨在去年九合一大選慘敗，屏東縣長一役險勝，但外界將矛頭指向黨內初選引發裂痕未團結。如今屏東第一選區立委黨內初選內戰，... , https://udn.com/news/story/123307/7063350?from=udn-ch1_breaknews-1-0-news
