2023-03-31 00:13:41 , udn , 【即時短評】 蔡英文與麥卡錫會晤的變數與選舉考量 , https://udn.com/news/story/123444/7068493?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:20:40 , udn , 迎戰超高齡社會 新光保全推多元智慧解決方案 , https://udn.com/news/story/7266/7068678?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:20:51 , udn , 台北智慧城市展進入壓軸，新光保全打造智慧工程、智慧交通、智慧社區、智慧照護、智慧商辦、智慧餐旅相關等六大主題展區，緊扣少... , https://udn.com/news/story/7266/7068678?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:21:11 , udn , 侯友宜喊話加速軌道建設 交通部：發包延遲非中央權責 , https://udn.com/news/story/7323/7068677?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:21:22 , udn , 新北市長侯友宜喊話中央提升行政效率，加速軌道建設。交通部今晚聲明表示，行政院2019年5月31日核定台北捷運南北環，審議... , https://udn.com/news/story/7323/7068677?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:38:41 , udn , 開箱百里侯／鐵面縣長王忠銘 其實是民眾心中的鄰家阿公 , https://udn.com/news/story/6656/7068114?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:38:51 , udn , 不少人會用「工作狂」來形容連江縣長王忠銘，上任將滿100天，他幾乎把所有時間都放在公務上。從最基層的公務員做起，王忠銘對縣政駕輕就熟，很多細節都逃不過他的火眼金睛，讓縣府公務員絲毫不敢馬虎；但一臉酷樣的王忠銘還是有「罩門」，只要遇到可愛的他們就只能舉手投降，是標準的「鐵漢柔情」。 , https://udn.com/news/story/6656/7068114?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:41:40 , udn , 柯建銘批馬英九丟光台灣人臉 喪權辱國形容他都不為過 , https://udn.com/news/story/6656/7068724?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:41:50 , udn , 民進黨立法院黨團總召柯建銘昨天表示，前總統馬英九中國行的表現，如果用「喪權辱國」來形容都不為過，台灣有這樣的前總統，國民... , https://udn.com/news/story/6656/7068724?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:44:23 , udn , 台中市中區台灣大道299巷一棟老屋今上午倒塌，當場活埋3名工人。靠外側蔡姓工人中午搶救出但送醫不治，現場開挖12小時後，第2名吳姓工人被救出，但已無生命跡象；救難人員也已發現第3名陳姓工人，但深埋瓦礫堆中，仍持續以人力開挖。 , https://udn.com/news/story/123447/7068567?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:50:29 , udn , 北市建物公安申報 新制上路花費大 經費分攤住戶吵一團 , https://udn.com/news/story/7266/7068732?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:50:40 , udn , 老舊建物倒塌造成傷亡事件頻傳，台北市老舊建物多，為維護老屋安全、避免釀災，台北市政府今年起實施新制，規定「建築物公共安全檢查簽證及申報」必須新納入8層以上未達16層的建物，每3年定期申報一次，第一波應於今年3月底前完成申報。 , https://udn.com/news/story/7266/7068732?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:56:31 , udn , 六福村猛獸打鬥致死 長頸鹿不長命 問題出在哪 , https://udn.com/news/story/7266/7068742?from=udn-ch1_breaknews-1-0-news
2023-03-31 00:56:41 , udn , 六福村發出聲明改口，確認被獵槍射殺的東非狒狒是自家的，核彈級訊息引起全台譁然，六福村的「黑歷史」也遭起底，包含「6埃及聖䴉」脫逃，繁殖近萬釀生態浩劫，全民埋單逾7000萬，引進基因缺陷的白老虎並兩度繁殖，以及10年8隻長頸鹿死亡，且多數活不到10歲，立委高嘉瑜砲轟六福村是「動物墳場」，不少網友揚言要發動抵制。 , https://udn.com/news/story/7266/7068742?from=udn-ch1_breaknews-1-0-news
2023-03-31 01:59:29 , udn , 開挖逾14小時！台中倒塌老屋最後1工人救出無生命跡象 , https://udn.com/news/story/123447/7068770?from=udn-ch1_breaknews-1-0-news
2023-03-31 01:59:40 , udn , 台中市中區台灣大道299巷一棟老屋昨30日上午倒塌，當場活埋3名工人。靠外側蔡姓工人中午搶救出但送醫不治，現場開挖12小... , https://udn.com/news/story/123447/7068770?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:08:29 , udn , 故宮國寶大遷徙文物不曾損毀？ 你必須知道的修復秘密 , https://udn.com/news/story/7314/7068771?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:08:40 , udn , 故宮破碗修好了！故宮器物處瓷器科人員去年5月整理文物時，因操作疏忽導致瓷器「清乾隆青花花卉盤」掉落地上破損，引爆轟動一時... , https://udn.com/news/story/7314/7068771?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:17:29 , udn , 良田供人掩埋廢棄物 老農判刑1年6月 , https://udn.com/news/story/7321/7068774?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:17:39 , udn , 彰化縣72歲洪姓老農民提供農地讓人傾倒廢棄物，卻辯稱是雇人回填乾淨土方，卻遭彰化縣環境保護局挖出所掩埋的廢椅背、廢塑膠袋... , https://udn.com/news/story/7321/7068774?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:18:00 , udn , 蔡英文在紐約消費買了鳳梨、芒果乾 也和台美青年早餐 , https://udn.com/news/story/123444/7068773?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:18:10 , udn , 蔡英文總統今天展開過境紐約第二天行程，一早就前往位於布魯克林區、由台裔青年開設的「雲海嚴選柑仔店」，參訪店內產品及小物，... , https://udn.com/news/story/123444/7068773?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:23:29 , udn , 影／最後一位找到了 台中民宅倒塌工人已全數尋獲 , https://udn.com/news/story/7320/7068777?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:23:40 , udn , 台中民宅倒塌造成三名工人受困，陳姓工人的家屬在事發地點旁焦急的等待，陪伴家屬的是陳姓工人平常工作使用的安全帽、鐵槌以及工... , https://udn.com/news/story/7320/7068777?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:35:29 , udn , 直立式埋3米深土推...消防曝台中塌屋最後工人搜救難度 , https://udn.com/news/story/7320/7068782?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:35:39 , udn , 台中市中區台灣大道299巷一棟老屋昨天上午倒塌，當場活埋3名工人，靠外側蔡姓工人中午搶救出仍不治，開挖12小時候第二名吳... , https://udn.com/news/story/7320/7068782?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:41:30 , udn , 籲北京冷靜 康達：不會因此改變台灣總統過境待遇 , https://udn.com/news/story/123444/7068783?from=udn-ch1_breaknews-1-0-news
2023-03-31 02:41:40 , udn , 美國國務院亞太助卿康達（Daniel Kritenbrink）30日表示，北京大加批判這次蔡總統過境美國，實際上這只是一... , https://udn.com/news/story/123444/7068783?from=udn-ch1_breaknews-1-0-news
2023-03-31 05:17:28 , udn , 銀行危機已過 史指連升兩日 道指漲逾百點 , https://udn.com/news/story/6811/7068825?from=udn-ch1_breaknews-1-0-news
2023-03-31 05:17:39 , udn , 史坦普500指數上漲，投資人押注區域銀行危機最嚴重的時期已經過去。 , https://udn.com/news/story/6811/7068825?from=udn-ch1_breaknews-1-0-news
2023-03-31 05:38:05 , udn , 蔡總統在紐約消費買了鳳梨、芒果乾 也和台美青年早餐 , https://udn.com/news/story/123444/7068773?from=udn-ch1_breaknews-1-0-news
2023-03-31 05:56:29 , udn , 校外教學之亂／教師身心煎熬 自掏腰包、沒加班費、想補休看「恩賜」 , https://udn.com/news/story/6885/7067595?from=udn-ch1_breaknews-1-0-news
2023-03-31 05:56:39 , udn , 教師遇上要過夜的校外教學行程，帶隊的工時其實都是「教育愛」，沒有法令保障，更是許多基層老師心中「不可承受之重」。學生一起床導師就得陪伴，錢被偷去派出所做筆錄，生病了到醫院掛急診，許多導師都常遇到；夜間工作沒有加班費，超時上班能否補休，還得看校長的「恩賜」。甚至有家長團體要求導師得自掏腰包付費，校外教學對教師而言無疑是身心的多重考驗。 , https://udn.com/news/story/6885/7067595?from=udn-ch1_breaknews-1-0-news
2023-03-31 06:17:29 , udn , 【總編開箱】歐盟與大中華 馬英九的終身志業追求 , https://udn.com/news/story/123435/7068748?from=udn-ch1_breaknews-1-0-news
2023-03-31 06:17:40 , udn , 馬英九這次訪陸，他前後說過好幾次，自己從37歲在政府裡處理兩岸事務，到73歲才訪問大陸，「的確是久了一點」。事實上，馬英九雖然從總統府踏入公職，做到總統任滿，他始終最掛心的，還是兩岸問題的處理。這一次大陸行，不只是他個人慎終追遠的祭祖行，也是他履踐自己振興中華的志業追求，在昨天這行程裡表露無遺。 , https://udn.com/news/story/123435/7068748?from=udn-ch1_breaknews-1-0-news
2023-03-31 06:23:28 , udn , 2023 WW表展／蕭邦環保鋼愛永續  滑動鑽石分秒閃耀 , https://udn.com/news/story/7270/7068842?from=udn-ch1_breaknews-1-0-news
2023-03-31 06:23:39 , udn , 高級鐘表珠品牌蕭邦（Chopard）今年大動作宣布：將在多個系列使用獨家環保鋼材「Lucent Steel」，不僅在日內... , https://udn.com/news/story/7270/7068842?from=udn-ch1_breaknews-1-0-news
2023-03-31 06:23:59 , udn , 睜一眼閉一眼？立院調閱小組 多少案打了空包彈 , https://udn.com/news/story/6656/7068747?from=udn-ch1_breaknews-1-0-news
2023-03-31 06:24:10 , udn , 去年鏡電視成為10年來第一個NCC（國家通訊傳播委員會）核准執照、新申設過關的新聞台，但外界爭議不斷，包括補件次數異常多、是否違反NCC附款規定、1個月連換4任董座、財務不穩等，接著又有立委揭露錄音檔，指控有政治力介入施壓執照過關。 , https://udn.com/news/story/6656/7068747?from=udn-ch1_breaknews-1-0-news
2023-03-31 06:24:30 , udn , 養死、脫逃… 六福村動物飼養黑歷史 , https://udn.com/news/story/123439/7068669?from=udn-ch1_breaknews-1-0-news
2023-03-31 06:24:41 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。狒狒之死暴露六福村管理漏洞，這次的圖表帶讀者盤點六福村有哪些動物飼養爭議。 , https://udn.com/news/story/123439/7068669?from=udn-ch1_breaknews-1-0-news
2023-03-31 06:50:45 , udn , 清明連假天氣先雨後晴 吳德榮：明天中部以北注意大雨 , https://udn.com/news/story/7266/7068887?from=udn-ch1_breaknews-1-0-news
2023-03-31 06:50:56 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今天北部仍有鬆散雲系通過，北部、東半部偶有局部短... , https://udn.com/news/story/7266/7068887?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:11:50 , udn , 蔡總統到紐約會見小小廚神朱如茵、台灣插畫家也來自拍 , https://udn.com/news/story/123444/7068890?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:12:01 , udn , 蔡英文總統今天在紐約過境第二天，下午前往我國駐紐約經濟文化辦事處，與友邦駐聯合國常任代表會面，並與實境節目「小小頂級廚師... , https://udn.com/news/story/123444/7068890?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:14:51 , udn , 駕駛人別僥倖！ 不禮讓行人 今天起汽車重罰3600元、機車1200元 , https://udn.com/news/story/7266/7068891?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:15:01 , udn , 台灣交通亂象被外媒評為「行人地獄」，為洗刷惡名，今天開始，汽機車不禮讓行人將重罰，不分小型車、大型車一律罰3600元罰鍰... , https://udn.com/news/story/7266/7068891?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:20:50 , udn , 清明連假天氣 彭啟明：明天注意大雨 下周一起像夏天 , https://udn.com/news/story/7266/7068895?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:21:01 , udn , 天氣風險公司總經理彭啟明在「氣象達人彭啟明」臉書粉專表示，天氣變變變，今天北部上空有鬆散雲系，北部、東半部局部短暫飄雨；... , https://udn.com/news/story/7266/7068895?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:27:01 , udn , 霍頓-塔克也成大器 細數湖人那些年錯過的遺憾 , https://udn.com/news/story/122629/7068580?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:27:12 , udn , 上周還排名在西區第十的洛杉磯湖人可說是搭上天時地利，甚至是人和，不僅本身近五場四勝一敗外，詹姆斯(Lebron James)也在最近兩場回歸以增添戰力。此外，受惠於爵士、獨行俠的近況不佳，湖人戰績目前 , https://udn.com/news/story/122629/7068580?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:27:32 , udn , 戴維斯打中鋒效率更高 幫助湖人更加強大 , https://udn.com/news/story/122629/7068057?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:27:43 , udn , 湖人中鋒戴維斯砍38分、10籃板，完美統治禁區，率領湖人121：110力克公牛，湖人勝率回到五成38勝38敗西區第八，落後西區第七灰狼39勝38敗只有半場勝差。

是誰一直在說：「戴維斯不喜歡打中 , https://udn.com/news/story/122629/7068057?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:28:03 , udn , 無視Meta前車之鑑 蘋果硬推超貴MR頭盔有信心能成功？ , https://udn.com/news/story/6811/7067386?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:28:13 , udn , 人工智慧（AI）最近搶盡風頭，另一廂，蘋果已經悄悄地從事AR項目開發至少5年，估計6月就會推出MR頭盔，這將是蘋果自Apple Watch後長期空窗以來最重要的新產品，蘋果甚至預計第一年銷售100萬台，但是一台高達3000美元（約新台幣9萬元）的MR，真的好到能夠被市場接受嗎？ , https://udn.com/news/story/6811/7067386?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:28:34 , udn , 春哥侃陸／馬雲回歸眾說紛紜 出手幹大事將牽動中國AI布局？ , https://udn.com/news/story/7331/7067059?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:28:44 , udn , 阿里巴巴集團創辦人馬雲雲遊四方一年，突然返鄉杭州，不僅個人占盡風頭，也算舉國關注，上了網路熱搜榜，還帶動阿里巴巴股價大漲，連帶著外界對中國大陸政治和經濟也有了多重想像。馬雲是思鄉回歸，來得如此突然，又會去向何方，惹來議論紛紛。 , https://udn.com/news/story/7331/7067059?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:38:50 , udn , 清晨4時15分蘭嶼規模4.4地震 震度3級 , https://udn.com/news/story/7266/7068900?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:39:01 , udn , 今天凌晨台東縣近海及蘭嶼附近各發生1起小區域有感地震，中央氣象局說，今天凌晨3時30分，在台東縣政府東北方23.7公里，... , https://udn.com/news/story/7266/7068900?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:47:52 , udn , 1張圖看清明連假天氣 南北大不同 這天鋒面逼近 , https://udn.com/news/story/7266/7068902?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:48:02 , udn , 中央氣象局說，今天台灣附近仍為東北風的環境，加上華南地區仍有雲系往東移動，東半部地區及中部以北山區有降雨機會，若水氣較多... , https://udn.com/news/story/7266/7068902?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:59:49 , udn , 【專家之眼】澤倫斯基邀請習近平訪烏有口無心 , https://udn.com/news/story/6656/7068908?from=udn-ch1_breaknews-1-0-news
2023-03-31 07:59:59 , udn , 烏克蘭總統澤倫斯基接受美聯社專訪，公開邀請中國大陸國家主席習近平訪問烏克蘭。對於澤倫斯基透過媒體放話，如此神來一筆邀請習... , https://udn.com/news/story/6656/7068908?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:00:20 , udn , 第二春創業／快退休才創業？美國嬰兒潮世代比年輕人還瘋 卻不只為賺錢 , https://udn.com/news/story/6813/7061190?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:00:30 , udn , 談及創業，你會想到哪個年齡層的人？實際現況可能出乎你意料？美國蓋洛普民調發現，50歲以上戰後嬰兒潮世代（1946 年至 1964 年在美國出生的人）是成長最快的企業家群體之一，想創業的人是千禧世代的2倍以上，創業能力還優於年輕世代。不過，這些嬰兒潮世代瘋創業的動機為何？他們所面臨的挑戰又是否會和年輕企業家一樣呢？ , https://udn.com/news/story/6813/7061190?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:08:51 , udn , 台積電年底破千…600元學長們將解套？ 專家：不是不可能 , https://udn.com/news/story/12806/7067236?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:09:01 , udn , 台積電股價上看1,000元？香港投資機構Aletheia喊出1,000元目標價，投資人紛紛歡呼：「600大學長要解套了」、「年底破千，不要不信」，雖然證交所澄清，該機構並未在台登記，投資人需注意風險，但是台積電破千元不是不可能。 , https://udn.com/news/story/12806/7067236?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:18:00 , udn , 清明節連假明開始 國道好走時段看這查 , https://udn.com/news/story/7266/7068917?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:18:11 , udn , 明天開始長達5天的清明節連假，高速公路局統計，近年來連續假期國道南向全日交通量排名，前2名均為清明節連假首日；今年清明節... , https://udn.com/news/story/7266/7068917?from=udn-ch1_breaknews-1-0-news
2023-03-31 08:26:49 , udn , 台宏斷交民進黨搬出「馬維拉」救援 2024誰得利還說不準？ , https://udn.com/news/story/6656/7067159?from=udn-ch1_breaknews-1-0-news
