2023-04-01 00:02:40 , udn , 台灣申請加入CPTPP 陸外交部：堅決反對 , https://udn.com/news/story/7331/7071102?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:02:50 , udn , 針對台灣申請加入「跨太平洋夥伴全面進步協定」（CPTPP），大陸外交部發言人毛寧在周五例行記者會中稱，「我們堅決反對任何... , https://udn.com/news/story/7331/7071102?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:14:39 , udn , 不是愚人節！ 台積美國廠王英郎坐鎮 日本廠廖永豪督軍 , https://udn.com/news/story/7240/7071131?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:14:50 , udn , 晶圓代工龍頭台積電今天晚間公布，為強化全球布局，及加速海外營運組織之效能，決定4月1日起增設海外營運辦公室（Overse... , https://udn.com/news/story/7240/7071131?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:23:41 , udn , 中美晶董事會通過陳振乾接任總經理 , https://udn.com/news/story/7238/7071148?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:23:51 , udn , 中美晶（5483）今 (31)日 召開董事會，決議自112年4月3日起聘任陳振乾先生為中美晶新任總經理。 , https://udn.com/news/story/7238/7071148?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:24:12 , udn , 桃園大溪僑愛站Youbike站啟用 配上延長免費60分鐘超讚 , https://udn.com/news/story/7324/7071134?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:24:22 , udn , 桃園大溪Youbike僑愛站今啟用，加上桃園4月1日起Youbike 騎乘優惠從30分鐘延長至60分鐘，對於地方民眾可謂... , https://udn.com/news/story/7324/7071134?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:26:39 , udn , 科技業留才神技 鴻海「0到6歲公司養」這招為何厲害？ , https://udn.com/news/story/7240/7071157?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:26:50 , udn , 鴻海3月30日舉辦「0到6歲公司養」育兒福利津貼三周年成果記者會，並高喊「少子化是國安危機」。該公司實施「0到6歲公司養」福利津貼成績斐然，達到吸引女性人才與留才效益。還有哪些科技廠超幸福，小孩生愈多福利愈多？ , https://udn.com/news/story/7240/7071157?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:41:41 , udn , 五月天高雄演唱會結束女歌迷突倒地 到院前無呼吸心跳 , https://udn.com/news/story/7320/7071190?from=udn-ch1_breaknews-1-0-news
2023-04-01 00:41:51 , udn , 天團五月天3月29日到4月3日期間，一連在高雄世運主場館舉辦4場演唱會，今晚第3場仍吸引爆滿五迷聽唱；未料，演唱會結... , https://udn.com/news/story/7320/7071190?from=udn-ch1_breaknews-1-0-news
2023-04-01 01:11:31 , udn , 2024立委戰／綠不分區席次恐減少 賴清德選將 更重視論述火力 , https://udn.com/news/story/6656/7071234?from=udn-ch1_breaknews-1-0-news
