2023-04-02 00:26:41 , udn , 殺破狼週運勢／金牛感情感到甜蜜 射手工作身價水漲船高　 , https://udn.com/news/story/7268/7048130?from=udn-ch1_breaknews-1-0-news
2023-04-02 00:26:51 , udn , 射手座工作運方面，水星進入工作宮位，與金星、天王星齊聚，會承接到輕鬆的臨時性工作，很快就能領到報酬。某些射手座因為在專業領域中表現亮眼，會受到名人青睞，身價也因此水漲船高。 , https://udn.com/news/story/7268/7048130?from=udn-ch1_breaknews-1-0-news
2023-04-02 00:32:41 , udn , 基隆議長邀學子看職棒開幕賽 盼建功能完善棒球場 , https://udn.com/news/story/7328/7072717?from=udn-ch1_breaknews-1-0-news
2023-04-02 00:32:52 , udn , 昨天是職棒34年開幕戰，由中信兄弟對戰樂天桃猿，基隆市議長童子瑋昨晚邀家扶棒球隊與基隆市各級棒球選手觀賽。童子瑋說，大武... , https://udn.com/news/story/7328/7072717?from=udn-ch1_breaknews-1-0-news
2023-04-02 00:38:40 , udn , 受跑車誘惑加入詐團 炫富後果恐淪代罪羔羊 , https://udn.com/news/story/7266/7072410?from=udn-ch1_breaknews-1-0-news
2023-04-02 00:38:50 , udn , 檢警近年查扣上百輛、市值共達數億元的各式名車，其中不乏千萬超跑。開著拉風名車炫富的年輕嫌犯，幾乎全都是詐騙或網路博弈集團的成員，甚至有嫌犯落網後大言不慚地說「買車可幫忙刺激經濟發展」，還有人自豪「騙大陸人的錢、在台灣消費」，炫富作風吸引愈來愈多年輕人加入，更成為台灣社會一大隱憂。 , https://udn.com/news/story/7266/7072410?from=udn-ch1_breaknews-1-0-news
2023-04-02 01:14:30 , udn , 身障出遊像障礙賽 輪椅「行」不通 住網紅民宿很崩潰 , https://udn.com/news/story/7266/7072750?from=udn-ch1_breaknews-1-0-news
2023-04-02 01:14:40 , udn , 台灣無障礙環境不斷改善，但對於身障者或輪椅族，想要開心出遊，仍存在難以跨越的鴻溝。身障團體直言，誰都想要來場說走就走的旅行，對身障者而言，卻沒有這般任性的空間，光搞定交通、住宿就已人仰馬翻，步道順不順比景點美不美更重要。 , https://udn.com/news/story/7266/7072750?from=udn-ch1_breaknews-1-0-news
2023-04-02 01:56:30 , udn , 三大演唱會狂吸20萬人潮 高市府力拚1小時完成疏運 , https://udn.com/news/story/7327/7072762?from=udn-ch1_breaknews-1-0-news
2023-04-02 01:56:40 , udn , 五月天、張惠妹、大港開唱三大演唱會4月1日均在高雄登場，共吸引20萬樂迷朝聖，為此高雄市出動2千人進行交通疏運、場域維安... , https://udn.com/news/story/7327/7072762?from=udn-ch1_breaknews-1-0-news
2023-04-02 01:59:30 , udn , 金與正開砲 批烏克蘭展露核武野心 , https://udn.com/news/story/122663/7072759?from=udn-ch1_breaknews-1-0-news
2023-04-02 01:59:41 , udn , 北韓中央通信社（KCNA）報導，領導人金正恩的胞妹金與正今天批評烏克蘭總統澤倫斯基策動網路連署，以遂其發展核武的野心 , https://udn.com/news/story/122663/7072759?from=udn-ch1_breaknews-1-0-news
2023-04-02 04:05:31 , udn , 西班牙羽賽／台神奇雙胞胎「寶島內戰」出線勇闖決賽 , https://udn.com/news/story/7005/7072785?from=udn-ch1_breaknews-1-0-news
2023-04-02 04:05:41 , udn , 我國羽壇雙胞胎兄弟組合李芳任／李芳至，西班牙公開賽持續寫下驚奇，8強賽先3局打下世界排名第一的印尼名將法賈（Fajar ... , https://udn.com/news/story/7005/7072785?from=udn-ch1_breaknews-1-0-news
2023-04-02 04:23:31 , udn , 澤倫斯基：俄任輪值主席 象徵安理會權威「破產」 , https://udn.com/news/story/122663/7072783?from=udn-ch1_breaknews-1-0-news
2023-04-02 04:23:41 , udn , 烏克蘭總統澤倫斯基今天批評，俄羅斯出任聯合國安理會輪值主席國一事堪稱「荒謬」，這表明該機構的權威與公信力已「徹底破產」 , https://udn.com/news/story/122663/7072783?from=udn-ch1_breaknews-1-0-news
2023-04-02 04:26:30 , udn , 國道疑自撞車禍 二人噴飛到對向車道一人無生命徵象 , https://udn.com/news/story/7320/7072788?from=udn-ch1_breaknews-1-0-news
2023-04-02 04:26:40 , udn , 今天是清明連假第二天，國道一號台中段發生嚴重車禍，一輛轎車疑自撞分隔島又被追撞後，車內二人彈飛到對向車道，一人無生命徵象... , https://udn.com/news/story/7320/7072788?from=udn-ch1_breaknews-1-0-news
2023-04-02 05:32:28 , udn , 戰後台灣工作坊揭秘史實 學者曝工研院險胎死腹中 , https://udn.com/news/story/7240/7072795?from=udn-ch1_breaknews-1-0-news
2023-04-02 05:32:38 , udn , 由多位國內歷史與經濟學者共同創辦的戰後台灣國際合作研究計畫，日前在台北大學舉辦戰後台灣工作坊，其中不僅談到二戰後台美關係... , https://udn.com/news/story/7240/7072795?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:20:32 , udn , 狂鹿症侵襲6國且無藥可醫 會讓大腦海綿化 凶手是變異蛋白質 , https://udn.com/news/story/7314/7072598?from=udn-ch1_breaknews-1-0-news
2023-04-02 06:20:42 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。衛福部中醫藥司預告禁止已知發生狂鹿症的6國，輸入鹿茸（角）、鹿鞭及鹿角膠等鹿中藥材，這次圖表帶你看狂鹿症的源起與影響。 , https://udn.com/news/story/7314/7072598?from=udn-ch1_breaknews-1-0-news
