2023-04-03 00:02:40 , udn , 生活太苦！葡萄牙房價、物價齊漲 人民不滿上街抗議 , https://udn.com/news/story/6809/7074074?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:02:51 , udn , 葡萄牙首都里斯本及其他城市1日爆出現示威遊行，人民抗議物價、租金與房價同時飆漲，讓許多人難以維持生計。 , https://udn.com/news/story/6809/7074074?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:05:40 , udn , 川普出庭當晚  預定發表談話 , https://udn.com/news/story/6813/7074085?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:05:50 , udn , 美國前總統川普4日（台灣時間5日）將到紐約市出庭，其辦公室2日聲明，他結束出庭返回佛州海湖莊園後，當晚將發表談話。 , https://udn.com/news/story/6813/7074085?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:35:31 , udn , 大陸農村危機重重 愈來愈多躺平光棍「終生單身」 , https://udn.com/news/story/7331/7074110?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:35:41 , udn , 今年2月21日，中共中央授權新華社發布題為「中共中央國務院關於全面推進鄉村振興加快農業農村現代化的意見」的「中央一號文件」，這是本世紀以來第18份指導「三農」（農業、農村、農民）工作的「中央一號文件」，藉以對外展示北京當局對「三農」問題的重視。 , https://udn.com/news/story/7331/7074110?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:36:02 , udn , 馬英九提台灣大陸同屬一中 陸委會：遺憾 , https://udn.com/news/story/123435/7074039?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:36:12 , udn , 前總統馬英九今天訪問湖南大學提到，台灣、大陸「都是我們中華民國，都是中國」。陸委會回應，馬英九唱和呼應中共企圖侵吞台灣的... , https://udn.com/news/story/123435/7074039?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:50:32 , udn , 力邀建築大師隈研吾操刀 「巴克禮park」與自然共生 , https://udn.com/news/story/7270/7074140?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:50:43 , udn , 高雄起家的「清景麟建築團隊」攜手白天鵝建設機構在台南新都心重劃區推出的「巴克禮PARK」，邀到日本國際級建築大師隈研吾操... , https://udn.com/news/story/7270/7074140?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:51:03 , udn , 墾丁台灣祭人氣完勝高雄大港開唱 樂迷喊：謝謝小米姐姐「請客」 , https://udn.com/news/story/7327/7074139?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:51:14 , udn , 屏東縣政府延續墾丁「春吶」音樂熱打造的「台灣祭」今天第2天，次日人潮比首日更多，主辦單位表示連2天累計超過60萬人次；縣... , https://udn.com/news/story/7327/7074139?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:53:33 , udn , 曲終不散！日本音樂巨匠坂本龍一病逝，享壽71歲 , https://udn.com/news/story/6809/7074142?from=udn-ch1_breaknews-1-0-news
2023-04-03 00:53:43 , udn , 「藝術恆久遠，而人生短暫。」享譽國際的日本一代音樂巨匠——坂本龍一，已證實於2023年3月28日病逝，享壽71歲。坂本龍一曾以前衛的YMO樂團成名，而後擔任電影《俘虜》、《末代皇帝》、《小活佛》等多部名片的電影配樂，廣受世人的歡迎。坂本同時也是關懷世局、親身參與環境保護和反核運動的實踐者，也在911事件後深思音樂與戰爭的苦難問題，311大震災後致力於東北復興和廢核倡議——「為了能夠好好享受音樂，需要的就是和平，而不是戰爭。」 , https://udn.com/news/story/6809/7074142?from=udn-ch1_breaknews-1-0-news
2023-04-03 01:20:33 , udn , 高雄五月天、大港開唱最終日 16萬人散場1小時內完運 , https://udn.com/news/story/7327/7074156?from=udn-ch1_breaknews-1-0-news
2023-04-03 01:20:43 , udn , 天團五月天及大港開唱最終場2日晚間在高雄順利落幕，市府統計，兩場演唱會約有近16萬人參與，五月天演唱會散場時間約67分鐘... , https://udn.com/news/story/7327/7074156?from=udn-ch1_breaknews-1-0-news
2023-04-03 01:24:02 , udn , 開箱百里侯／打掉重練的陳其邁 既是政策控 也秀反差萌 , https://udn.com/news/story/123432/7074155?from=udn-ch1_breaknews-1-0-news
2023-04-03 01:24:12 , udn , 2020年補選上任後，高雄市長陳其邁自我要求「二年拚四年」，抓緊時間要交出施政成績，偏偏遇上百年大疫，陳其邁壓力全寫在臉上，政策控作風也讓團隊絲毫不敢鬆懈。進入第二任期，陳其邁悄悄改變，學習拋開矜持，3月間爽快答應時尚雜誌拍攝任務，抱貓暖男化身運動潮男行銷城市，擁有許多年輕「邁粉」。被問到「是否有偶包（偶像包袱）？」陳其邁大方承認，「的確有偶包、很嚴重，幕僚都知道。」 , https://udn.com/news/story/123432/7074155?from=udn-ch1_breaknews-1-0-news
2023-04-03 02:13:20 , udn , 實價15區房價下跌、高雄2區最慘 專家曝原因 , https://udn.com/news/story/7241/7073039?from=udn-catehotnews_ch2
2023-04-03 03:23:31 , udn , 香奈兒、LV想告紙紮店「仿冒」 紙紮藝術成文創新題材 , https://udn.com/news/story/7270/7074179?from=udn-ch1_breaknews-1-0-news
2023-04-03 03:23:41 , udn , 後天是清明掃墓節。過去華人忌諱談死亡，如今卻成為文創的養分。以冥婚為題材的電影「關於我和鬼變成家人的那件事」票房逼近四億... , https://udn.com/news/story/7270/7074179?from=udn-ch1_breaknews-1-0-news
2023-04-03 03:24:02 , udn , 再發言挺台 瓜國總統：呼籲中國盡快終結台海緊張局勢 , https://udn.com/news/story/123444/7074178?from=udn-ch1_breaknews-1-0-news
2023-04-03 03:24:12 , udn , 蔡英文總統今天在瓜地馬拉展開最後一天行程，一早就與瓜國總統賈麥岱一起視察我國協助興建的齊瑪德南戈（Chimaltenan... , https://udn.com/news/story/123444/7074178?from=udn-ch1_breaknews-1-0-news
2023-04-03 05:26:31 , udn , 北京重金紓困一帶一路國家 從「人民幣布局」看見野心 , https://udn.com/news/story/7331/7070122?from=udn-ch1_breaknews-1-0-news
2023-04-03 05:26:42 , udn , 聯合報精選每周國際大事，由資深國際新聞媒體人郭崇倫深入解讀，帶讀者看懂國際新聞背後門道，快速掌握全球局勢變化。

看點1：總統蔡英文過境美國在美中台掀起波瀾，白宮一再強調「慣例」，但北京似乎愈來愈不買單，中國大陸外交部的回應也暗藏玄機。

看點2：中國大陸撒幣2400億美元，重金紓困一帶一路國家，意味著實際上已建立了一套與國際貨幣基金和其他西方機構並立的國際救助貸款新系統。

看點3：以色列政府強推司法改革引發民怨，全國60萬人上街抗議，連「好朋友」美國也出面關切，反映內唐亞胡與民主黨的分歧加深。 , https://udn.com/news/story/7331/7070122?from=udn-ch1_breaknews-1-0-news
2023-04-03 05:59:29 , udn , 「想被錢砸醒」航運科系個申大爆發 資深航海人點破殘酷真相 , https://udn.com/news/story/6928/7073615?from=udn-ch1_breaknews-1-0-news
2023-04-03 05:59:40 , udn , 受惠疫情，海運業過去兩年業績旺到爆，不少員工領年終時一夜進帳200餘萬，一早起床「被錢砸醒」，不僅不少民眾羨慕不已、大喊想轉職，連帶也影響到高中生選填大專院校相關科系的意願，今年大學個人申請在海洋法政學士學程、商船、運輸科學、輪機工程等科系，報名人數都大增。但海運業這樣的榮景，未來是否還能延續？資深航海人點破產業真相。... , https://udn.com/news/story/6928/7073615?from=udn-ch1_breaknews-1-0-news
2023-04-03 06:17:29 , udn , 陸委會批馬英九提中華民國 不妨先重讀兩岸人民關係條例 , https://udn.com/news/story/123435/7074163?from=udn-ch1_breaknews-1-0-news
2023-04-03 06:17:39 , udn , 前總統馬英九近日赴中國大陸訪問，他多次提及中華民國，並以兩岸各自憲法各自主張兩岸同屬一個中國，藉此帶出兩岸互不否認，這樣又沒有兩國論與一中一台的疑慮。馬的兩岸路線多年來未變，他由憲法一中出發，期待這會是兩岸和平對話的起點。 , https://udn.com/news/story/123435/7074163?from=udn-ch1_breaknews-1-0-news
2023-04-03 06:18:00 , udn , 從中華民國到憲法 馬訪陸重要兩岸論述一次看 , https://udn.com/news/story/123435/7074098?from=udn-ch1_breaknews-1-0-news
2023-04-03 06:18:10 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。馬英九訪陸公開提及憲法引發熱議，這次圖表帶你看馬這趟訪陸行有多少驚人之舉。 , https://udn.com/news/story/123435/7074098?from=udn-ch1_breaknews-1-0-news
2023-04-03 06:38:43 , udn , 柯文哲難題／訪美封印「強國等距」論述 現實很骨感 , https://udn.com/news/story/6656/7073736?from=udn-ch1_breaknews-1-0-news
2023-04-03 06:38:54 , udn , 民眾黨主席柯文哲4月8日啟程訪美，以三周時間依序訪問紐約、波士頓、華府及休士頓，4月23日在休士頓的餐會發表演說，分享他從台大醫師轉念從政的心路歷程。柯文哲訪美備受關注的是如何論述台美及兩岸關係，尤其是先前民眾黨拋出的強國等距，這個名詞引起太多爭議，柯文哲認為台灣多數媒體偏綠，容易錯誤解讀，3月中旬不再提強國等距。... , https://udn.com/news/story/6656/7073736?from=udn-ch1_breaknews-1-0-news
2023-04-03 06:44:41 , udn , 高溫上看35度酷熱像夏天 吳德榮：周四晚鋒面雨帶襲台 , https://udn.com/news/story/7266/7074220?from=udn-ch1_breaknews-1-0-news
2023-04-03 06:44:52 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今天至周三清明節各地為多雲時晴。氣溫續回升，白天... , https://udn.com/news/story/7266/7074220?from=udn-ch1_breaknews-1-0-news
2023-04-03 06:53:41 , udn , 不斷更新／清明連假第3天北返潮 注意國道12地雷路段 , https://udn.com/news/story/7266/7074223?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:26:44 , udn , 吉田正尚成為紅襪福將 適應大聯盟之路卻仍漫長 , https://udn.com/news/story/122629/7073839?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:26:55 , udn , 九局下半的芬威球場開幕戰，吹起反攻號角的紅襪已追回一分並攻佔一二壘，下一棒上來打擊的是初來乍到就擔綱第四棒的吉田正尚。大聯盟首役就擊出雙安的吉田此時此刻如果能像上個月打WBC準決賽一樣轟出一記三分全壘 , https://udn.com/news/story/122629/7073839?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:27:15 , udn , 日職／苦澀1勝、掛蛋連連 3菜鳥教頭難為 , https://udn.com/news/story/122629/7073825?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:27:26 , udn , 日本職棒今年總計有4名新上任的總教練，分別是岡田彰布（阪神虎）、新井貴浩（廣島鯉魚）、吉井理人（千葉羅德）、松井稼頭央（西武獅）。其中中央、太平洋兩聯盟各有2隊，65歲的岡田彰布過去有過8年的監督經驗 , https://udn.com/news/story/122629/7073825?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:27:46 , udn , 中職／單一球季制短空長多 與國際接軌值得肯定 , https://udn.com/news/story/122629/7073756?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:27:57 , udn , 中華職棒日前在領隊會議討論，現行的上、下半球季賽制，未來將改成單一球季制，最快明年球季實行，老實說，這是一個相當大膽的變革，短期來看可能會出現利空，長遠來看，絕對是利多於弊的政策，應該予以鼓勵。
 , https://udn.com/news/story/122629/7073756?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:28:17 , udn , 生成式AI掀起工作革命 企業卻築牆預防風險 , https://udn.com/news/story/7238/7072770?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:28:28 , udn , 國發會與微軟日前共同舉辦一場「生成式人工智慧（AI）大進擊」研討會，負責主持的資深媒體人蘭萱問道，「如果ChatGPT用戶，透過詢問ChatGPT提供投資建議，結果遭致巨大財務損失，請問是提供這項程式的公司該負責，還是政府要負責？」 , https://udn.com/news/story/7238/7072770?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:49:53 , udn , 今天是清明節連續假期第3天，目前國道各路段車流順暢。高公局和公路總局預估，國道和蘇花改今天將出現北返車流。 , https://udn.com/news/story/7266/7074223?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:59:42 , udn , 海空軍禁忌／軍艦舷號超怕4、相加總合也不吉利 吃魚不翻面也是天條 , https://udn.com/news/story/10930/7064543?from=udn-ch1_breaknews-1-0-news
2023-04-03 07:59:52 , udn , 軍人的工作，即使戰爭未爆發，平日備戰訓練，稍不慎可能釀成傷亡。由於戎馬生涯充斥著無妄之災或大難不死，難免出現一些約定俗成的禁忌。

因為西方海事界原本就有不少水手的迷信，傳到我國又加上傳統信仰，中西合璧的結果，使得海軍在三個軍種中，被認為禁忌最多，隨著時光流轉，這些特有風俗與忌諱，是逐漸變少了，或者愈演愈烈？ , https://udn.com/news/story/10930/7064543?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:02:40 , udn , 40歲男老師上堂突做「一字馬」 嫻熟動作震驚學生 背後原因窩心 , https://udn.com/news/story/7332/7074234?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:02:50 , udn , 「君子一言，駟馬難追」，好老師會身體力行教導學生誠信之重。安徽1名男老師見學生們未能背下課文，便鼓勵他們只要全班都會背了，他就表演一字馬。結果全班同學卯足勁地背書，最終成功一字不差地背下來，而老師亦守諾在課堂上即場表演。 , https://udn.com/news/story/7332/7074234?from=udn-ch1_breaknews-1-0-news
