2023-04-04 00:02:29 , udn , 滿額送安妮亞筆記本！壽司郎×間諜家家酒　第二波開跑 , https://udn.com/news/story/7270/7075557?from=udn-ch1_breaknews-1-0-news
2023-04-04 00:02:40 , udn , 沒搶到「安妮亞」的粉絲，這次別錯過了！來自日本的「壽司郎」與動畫「SPY×FAMILY 間諜家家酒」攜手，自3月17日起... , https://udn.com/news/story/7270/7075557?from=udn-ch1_breaknews-1-0-news
2023-04-04 00:23:30 , udn , 歡慶建縣300年 彰化民歌演唱會縣民同歡 , https://udn.com/news/story/7325/7075597?from=udn-ch1_breaknews-1-0-news
2023-04-04 00:23:40 , udn , 彰化縣政府舉辦「2023建縣三百大放藝彩鄉鎮藝術巡演」第7場民歌演唱會今晚在鹿港鎮體育場登場，邀請潘越雲等7位知名歌手演... , https://udn.com/news/story/7325/7075597?from=udn-ch1_breaknews-1-0-news
2023-04-04 00:38:20 , udn , 中俄好麻吉？民間各種「疑俄論」 難忘奪地、歧視之恨 , https://udn.com/news/story/7331/7075188?from=udn-ch1_breaknews-1-0-news
2023-04-04 00:38:31 , udn , 習近平第三度出任大陸國家主席後，首次出訪的目的地就是俄羅斯，雙方在3月21日發表的聯合聲明提出：「中俄關係不是類似冷戰時期的軍事政治同盟，而是超越該種國家關係模式」。對於中俄特殊的雙邊關係，大陸內部屢有以「準結盟」來形容，自由亞洲電台甚至引述匿名的北京國關學者稱，中俄之間其實已經是「柔性結盟」關係。

但就像民進黨政府一向宣揚當前台美關係處於史上最好的時期，台灣內部依然會有「疑美論」的聲音出現。中俄官方雖然也都刻意在營造彼此是「麻吉」般的親密夥伴，大陸民間其實也一直都存在各種「疑俄論」。 , https://udn.com/news/story/7331/7075188?from=udn-ch1_breaknews-1-0-news
2023-04-04 00:56:19 , udn , 南市偏遠山區深夜惡火 三合院平房神明廳全毀 , https://udn.com/news/story/7320/7075626?from=udn-ch1_breaknews-1-0-news
2023-04-04 00:56:30 , udn , 台南市東山區高原里一棟三合院平房，3日深夜不明原因神明廳突起火延燒，因地處偏遠灌救不易，幸王姓兄弟共4人及時逃出，打火弟... , https://udn.com/news/story/7320/7075626?from=udn-ch1_breaknews-1-0-news
2023-04-04 01:53:20 , udn , 蔡總統見證台貝簽署技術框架 感謝通過友台決議 , https://udn.com/news/story/123444/7075645?from=udn-ch1_breaknews-1-0-news
