2023-04-08 00:05:50 , udn , 安坑輕軌高架橋下火警 新北捷：電池室機櫃冒煙 , https://udn.com/news/story/7323/7083682?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:06:21 , udn , 影／國一南下王田路段車禍 一車打橫擋路中後車急閃避 , https://udn.com/news/story/7320/7083675?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:06:32 , udn , 今晚10點多，一輛轎車行駛在國一南下184.7公里處，靠近王田交流道時不明原因車輛打滑自撞，整輛車打橫停在路中間，後方車... , https://udn.com/news/story/7320/7083675?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:11:52 , udn , 3年獵殺4隻台灣黑熊 黑熊媽媽：應徹查是否涉商業買賣 , https://udn.com/news/story/7315/7083686?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:12:02 , udn , 屏東地檢署從一隻藏放在冰箱的台灣黑熊遭獵殺，歷時四個月追查，發現霧台鄉大武部落顏姓父子與村民共7人，三年獵殺四隻台灣黑熊... , https://udn.com/news/story/7315/7083686?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:12:53 , udn , 影／嚇死人！車子打橫停國一路中間 女駕駛稱：閃車不及… , https://udn.com/news/story/7320/7083675?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:14:50 , udn , 花蓮護理師海邊散步發現男子落水OHCA  急救送醫仍不治 , https://udn.com/news/story/7320/7083723?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:15:01 , udn , 花蓮縣太平洋公園旁出海口，今晚6時許發生溺水案件，一名護理師當時正好在場，見離岸不遠處有東西載浮載沉，原以為是木頭，被海... , https://udn.com/news/story/7320/7083723?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:26:39 , udn , 屏東三大日音樂節首日3萬人次 天后尬場青春回憶殺 , https://udn.com/news/story/7327/7083734?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:26:50 , udn , 春天最盛大！由屏東縣政府打造全台春季最大音樂品牌活動「屏東三大日音樂節」，4月7、8、9連3天在屏東縣體育館前熱鬧開唱，... , https://udn.com/news/story/7327/7083734?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:27:10 , udn , 屏東汽車百貨大火延燒近14小時 封路逾20小時終解除 , https://udn.com/news/story/7327/7083728?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:27:20 , udn , 屏東縣屏東市大豐路今凌晨真一間「真便宜汽車百貨」起火，因廠內堆置不少保養油品、有機溶劑、輪胎等商品，火勢一發不可收拾，波... , https://udn.com/news/story/7327/7083728?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:27:41 , udn , 高雄警員游泳沉入池底未浮出水面 救生員救上岸仍不治 , https://udn.com/news/story/7320/7083731?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:27:51 , udn , 高雄市三民警分局勤指中心洪姓警員，今天上午10時30分許，勤休前往三民區一家游泳池游泳，救生員見他沉入池底久未浮出水面，... , https://udn.com/news/story/7320/7083731?from=udn-ch1_breaknews-1-0-news
2023-04-08 00:52:33 , udn , 驚！消基會調查1台灣品牌黑巧克力 鎘含量超出歐盟標準 , https://udn.com/news/story/7266/7082639?from=udn-catehotnews_ch2
2023-04-08 01:02:29 , udn , 1隻黑熊40萬 看不見的黑市殺手 造就多少獵殺悲歌 , https://udn.com/news/story/7266/7083774?from=udn-ch1_breaknews-1-0-news
2023-04-08 01:02:40 , udn , 人類開發行為限縮野生動物自然棲地，衝擊物種族群數量，台灣歷經數年民間保育團體和官方合作，促成相關法規建置，企圖以強制力保護瀕臨滅絕的物種得以延續，但成效有限，不時仍聽聞有民眾違法獵殺保育物種販賣，近日3年內竟有4隻台灣黑熊遭獵殺，傳出黑市價可賣到40萬元。警方研判，法規愈趨嚴格，反倒讓保育動物黑市價值更水漲船高。 , https://udn.com/news/story/7266/7083774?from=udn-ch1_breaknews-1-0-news
2023-04-08 01:35:33 , udn ,  選總統就得訪美「面試」？外交專家：郭柯賴侯各有難題 , https://udn.com/news/story/6656/7083796?from=udn-ch1_breaknews-1-0-news
2023-04-08 01:35:43 , udn , 鴻海創辦人郭台銘及民眾黨主席柯文哲接連訪美，一群台裔美人也在推動美國政府允許副總統賴清德訪華盛頓，新北市長侯友宜被問及訪美規畫時，也未否認，似乎每位可能的總統參選人在大選年都要赴美「面試」。不過，這樣的做法在外交專家看來，恐怕只是參選人想出口轉內銷、證明自己有處理對美關係的能力，因為美方對台灣主要政治人物早有深入觀察，根本不需要面試... , https://udn.com/news/story/6656/7083796?from=udn-ch1_breaknews-1-0-news
