2023-04-09 00:05:42 , udn , 大陸籲新冠病毒全球溯源 「不要一直炒作和關注武漢」 , https://udn.com/news/story/7333/7085225?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:05:53 , udn , 新冠病毒溯源議題，近年來屢成國際爭端。而大陸官方最新發布的研究情況則指，華南海鮮市場病例很可能源於人而非動物，強調「疫情... , https://udn.com/news/story/7333/7085225?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:09:13 , udn , 共軍專家：對台軍演有五大特點「不斷進逼合圍台灣」 , https://udn.com/news/story/10930/7085224?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:09:23 , udn , 蔡英文總統過境美國並會晤美國眾院議長返國後，共軍東部戰區8日宣布對台灣進行環島戰備警巡以及「聯合利劍」軍演，而共軍軍事專... , https://udn.com/news/story/10930/7085224?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:26:31 , udn , 影／南投1天3起山域事故 搜救4天終將傷者都救出 , https://udn.com/news/story/7320/7085272?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:26:41 , udn , 南投縣近來山域事故頻傳，4月5日南三段接連發生三起事故，因為地點位在南投花蓮交界山區，遙遠險阻，南投縣救難人員當天入山搜... , https://udn.com/news/story/7320/7085272?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:27:02 , udn , 舊情綿綿、思慕的人重現 寶島歌謠大師葉俊麟音樂會 , https://udn.com/news/story/7328/7085266?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:27:12 , udn , 為慶祝基隆市安樂國小歡慶創校百年 ，今晚基隆表演藝術中心演藝廳，舉辦寶島歌謠大師葉俊麟懷舊音樂會，「舊情綿綿」、「思慕的... , https://udn.com/news/story/7328/7085266?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:30:03 , udn , 舊情綿綿、思慕的人重現 基隆舉辦寶島歌謠大師葉俊麟音樂會 , https://udn.com/news/story/7328/7085266?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:30:34 , udn , 殺破狼週運勢／雙子桃花盛開時期 巨蟹職場上十分風光 , https://udn.com/news/story/7268/7079167?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:30:45 , udn , 雙子座感情運方面，金星進入命宮，有許多人會對你表達好感，會是桃花盛開的時期。但由於金星受到土星的影響，很多都是爛桃花，甚至已經有穩定的交往對象，陷入戀情前，先調查清楚對方的背景為佳。 , https://udn.com/news/story/7268/7079167?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:38:32 , udn , 台北國際旅展基隆館「島嶼慢漫遊」 基隆嶼海洋風吸睛 , https://udn.com/news/story/7270/7085274?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:38:42 , udn , 台北國際春季旅展7日起到10日在台北世貿一館登場，基隆市政府推出「島嶼慢漫遊」主題，展場主視覺以島嶼海洋風格作為主軸，搭... , https://udn.com/news/story/7270/7085274?from=udn-ch1_breaknews-1-0-news
2023-04-09 00:40:04 , udn , 韓國男大生硬舉90公斤椎間盤破裂 連鎖健身房調解成立 , https://udn.com/news/story/7321/7084391?from=udn-catehotnews_ch2
2023-04-09 01:08:30 , udn , 沙灘車多年無「法」管 議員點名縣府：不該卸責 , https://udn.com/news/story/7266/7085303?from=udn-ch1_breaknews-1-0-news
2023-04-09 01:08:41 , udn , 宜蘭神祕沙灘發生沙灘車五死意外後，沙灘車仍未納管造成諸多問題，包括花蓮、台東和屏東等地都深受其害，花蓮議員曾多次疾呼要求縣府重視，開專案會議時，多名議員砲火四射，點出沙灘車欠缺管理，造成的環境、噪音、空汙、遊客安全、破壞地形地貌等諸多問題，還可能破壞防風林和岸際生態，一場會議道盡沙灘車無法可管窘境。 , https://udn.com/news/story/7266/7085303?from=udn-ch1_breaknews-1-0-news
2023-04-09 01:14:33 , udn , 不高興就封殺 細數大陸制裁黑名單 實際影響到底多大 , https://udn.com/news/story/7331/7085313?from=udn-ch1_breaknews-1-0-news
2023-04-09 01:14:44 , udn , 蔡英文總統5日在美國與美國眾院議長麥卡錫舉行「蔡麥會」後，北京隨即宣布制裁我駐美代表蕭美琴、遠景基金會、亞洲自由民主聯盟，以及美國雷根圖書館、哈德遜研究所等機構。事實上，這次制裁並非首次。 , https://udn.com/news/story/7331/7085313?from=udn-ch1_breaknews-1-0-news
2023-04-09 01:35:34 , udn , 高房價、新生活型態下 台中開富力建設催生新建築提案 , https://udn.com/news/story/7241/7085243?from=udn-ch1_breaknews-1-0-news
2023-04-09 01:35:45 , udn , 建築設計不僅是圖面上的點、線、面，更是日常生活裡的風、光、水與綠。位於台中的開富力建設，是由建築師、智慧建築先鋒等一群對... , https://udn.com/news/story/7241/7085243?from=udn-ch1_breaknews-1-0-news
2023-04-09 01:37:07 , udn , 斜槓才子揮灑創意 塗鴉藝術家陳文修於中友百貨開展 , https://udn.com/news/story/7266/7085166?from=udn-ch1_breaknews-1-0-news
2023-04-09 01:37:17 , udn , 中友百貨創意平台近期展出「陳文修－街頭藝術展」，陳文修跳脫框架，恣意遊走在街舞、設計、街頭藝術、傳統戲曲、服裝設計等多重... , https://udn.com/news/story/7266/7085166?from=udn-ch1_breaknews-1-0-news
2023-04-09 03:44:33 , udn , 美國安進生技暢銷藥發明人林福坤：台灣生技應找對策略 , https://udn.com/news/story/7241/7085336?from=udn-ch1_breaknews-1-0-news
2023-04-09 03:44:44 , udn , 美國生技巨擘安進（Amgen）暢銷藥Epogen發明人林福坤昨（8）日表示，台灣生技產業已有公司開始成功，這是很難得的事... , https://udn.com/news/story/7241/7085336?from=udn-ch1_breaknews-1-0-news
2023-04-09 04:26:33 , udn , 回應環台軍演 美：敦促北京克制、勿改變現狀 , https://udn.com/news/story/10930/7085344?from=udn-ch1_breaknews-1-0-news
2023-04-09 04:26:43 , udn , 北京在蔡英文總統結束出訪行程後，發布環台軍事演習，一名美國國務院發言人8日以背景說明方式回應本報稱，美國持續敦促北京克制... , https://udn.com/news/story/10930/7085344?from=udn-ch1_breaknews-1-0-news
2023-04-09 04:32:31 , udn , 回應環台軍演 美方：敦促北京克制、勿改變現狀 , https://udn.com/news/story/10930/7085344?from=udn-ch1_breaknews-1-0-news
2023-04-09 05:05:32 , udn , 星巴克「買一送一」又來了！只有1天、限指定品項 , https://udn.com/news/story/7270/7085349?from=udn-ch1_breaknews-1-0-news
2023-04-09 05:05:42 , udn , 星巴克「買一送一」又來了！星巴克繼4月6日開工日祭出「買一送一」優惠後，再度宣布於4月10日推出「GOOD FOR SU... , https://udn.com/news/story/7270/7085349?from=udn-ch1_breaknews-1-0-news
2023-04-09 06:23:34 , udn , 名不正言不順 侯友宜愈暖身愈消耗能量 , https://udn.com/news/story/6656/7085319?from=udn-ch1_breaknews-1-0-news
2023-04-09 06:23:44 , udn , 國國民黨的總統提名若再不搞定，新北市長侯友宜只會顯得很尷尬，昨天他和副總統賴清德同場演出，明顯出現這樣的情況，因為身分不同，氣勢也有差別。 , https://udn.com/news/story/6656/7085319?from=udn-ch1_breaknews-1-0-news
2023-04-09 06:24:05 , udn , 射實彈、巡邏分兩地？兩次中共軍演有哪些不同 , https://udn.com/news/story/7314/7085299?from=udn-ch1_breaknews-1-0-news
