2023-04-11 00:05:41 , udn , 中市教局深夜說明高中生輕生案 主任教官2學務人員議處 , https://udn.com/news/story/6885/7089145?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:05:51 , udn , 台中市某高中學生今年2月輕生案，教育局3月24日將相關7名人員全數調職，校方今召開校事會議，調查小組決議前學務主任、主任... , https://udn.com/news/story/6885/7089145?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:08:41 , udn , Mister Donut「買6送3」！保羅熊「品脫冰淇淋」新上市 , https://udn.com/news/story/7270/7089154?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:08:51 , udn , 「Mister Donut」於3月底攜手「一〇八抹茶茶廊」推出一系列抹茶、烘茶甜點。即日起也推出「焙茶賞」活動，限時享「... , https://udn.com/news/story/7270/7089154?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:09:12 , udn , 6000元被盜領？他身分證曾被冒用 查如何過健保卡這關 , https://udn.com/news/story/7239/7089151?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:09:23 , udn , 基隆市顏姓男子今到超商操作自動櫃員機（ATM），想要領取「普發現金6000元」時，發現已被登記匯入彰化銀行，他不知是誰名... , https://udn.com/news/story/7239/7089151?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:14:19 , udn , 前川普策士：中國共產黨是馬斯克「金主」 , https://udn.com/news/story/6813/7089082?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:14:30 , udn , 當過美國前總統川普策士、極右翼的巴農（Steve Bannon）經常語不驚人死不休。他8日在社群平台Gettr上說，這次... , https://udn.com/news/story/6813/7089082?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:26:43 , udn , 感謝全體國軍海巡 蔡總統：中國軍演不是大國負責態度 , https://udn.com/news/story/6656/7089189?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:26:53 , udn , 蔡英總統日前出訪中美洲並過境美國東西岸，但中共稱堅決反對「蔡麥會」，隨後發動軍演。蔡總統今天表示，身為總統，代表國家走向... , https://udn.com/news/story/6656/7089189?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:29:41 , udn , 30年前朱宗慶「沿門托缽」打造世界級台灣國際打擊樂節 , https://udn.com/news/story/7270/7089195?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:29:52 , udn , 1993年，38歲的朱宗慶創辦首屆台灣國際打擊樂節，媒體用「沿門托缽」形容四處募經費的朱宗慶。如今台灣國際打擊樂節滿30... , https://udn.com/news/story/7270/7089195?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:44:43 , udn , 北市內湖暗夜傳數聲槍響 1人送醫警急追槍手 , https://udn.com/news/story/7320/7089217?from=udn-ch1_breaknews-1-0-news
2023-04-11 00:44:53 , udn , 台北市內湖區昨晚10時許傳出槍響，救護人員獲報前往康寧路三段巷弄內，將1名傷者送醫救治，警方目前已介入調閱相關監視器畫面... , https://udn.com/news/story/7320/7089217?from=udn-ch1_breaknews-1-0-news
2023-04-11 01:02:34 , udn , 共軍山東艦近台海 海軍制海飛彈車推進箝制巴士海峽 , https://udn.com/news/story/10930/7089236?from=udn-ch1_breaknews-1-0-news
