2023-04-12 00:08:42 , udn , OECD：全球關鍵材料有10%面臨出口限制 生產呈集中化 , https://udn.com/news/story/6811/7091517?from=udn-ch1_breaknews-1-0-news
2023-04-12 00:08:53 , udn , 集微網消息，據路透社報導，經合組織（OECD）周二表示，過去十年中，全球對關鍵材料的出口限制增加了五倍以上，這可能會阻礙各國政府減少碳排放的努力。 , https://udn.com/news/story/6811/7091517?from=udn-ch1_breaknews-1-0-news
2023-04-12 00:29:42 , udn , 搭地緣政治「順風車」 美新創無人機公司創始人身價破1億美元 , https://udn.com/news/story/6811/7091515?from=udn-ch1_breaknews-1-0-news
2023-04-12 00:29:52 , udn , 集微網消息，23歲的瑞斯尼克（Blake Resnick）已創辦美國最大無人機製造商之一Brinc Drones。Brinc成立於2019年，伴隨著這一新創公司價值超過3億美元，擁有公司約半數股權的瑞斯尼克也因此身價突破1億美元，躋身億萬富豪之列。 , https://udn.com/news/story/6811/7091515?from=udn-ch1_breaknews-1-0-news
2023-04-12 00:30:13 , udn , 台積電設廠延宕 北高雄大坪數淪「地雷股」 墊高的房價也回不去了 , https://udn.com/news/story/7266/7091810?from=udn-ch1_breaknews-1-0-news
2023-04-12 00:30:23 , udn , 台積電高雄廠量產期程恐延宕，北高雄購屋族「住套房」？當初因台積電設廠計畫逐步墊高的房價，沒有較大幅度鬆動的跡象。在賣家惜售轉租、買家徘徊觀望的情形下，價格端看雙方誰急，追不上房市的人，只能繼續在局外等待。 , https://udn.com/news/story/7266/7091810?from=udn-ch1_breaknews-1-0-news
2023-04-12 01:05:31 , udn , 劉世芳不拚連任 白喬茵搞笑宣布參選 廖泰翔也被點名 , https://udn.com/news/story/6656/7091861?from=udn-ch1_breaknews-1-0-news
2023-04-12 01:05:41 , udn , 民進黨高雄左楠選區立委劉世芳放棄爭取連任，消息震撼藍綠。綠營派誰接棒劉世芳受矚目，現任議員李柏毅、黃文志、高雄市經發局長... , https://udn.com/news/story/6656/7091861?from=udn-ch1_breaknews-1-0-news
2023-04-12 01:44:31 , udn , 劉世芳不拚連任…白喬茵搞笑宣布參選 廖泰翔也被點名 , https://udn.com/news/story/123307/7091861?from=udn-ch1_breaknews-1-0-news
2023-04-12 02:17:31 , udn , 中共軍演剛結束 軍友社榮譽理事長李棟樑慰勞海空軍 , https://udn.com/news/story/10930/7091881?from=udn-ch1_breaknews-1-0-news
2023-04-12 02:17:42 , udn , 為期三天的中共海空軍演於4月10日傍晚告一段落，不過依據國防部11日上午的新聞發布，台灣周邊海空域的共機共艦活動，雖已低... , https://udn.com/news/story/10930/7091881?from=udn-ch1_breaknews-1-0-news
2023-04-12 02:56:33 , udn , 朴槿惠時隔一年露面 髮型精緻 走路多次踩空 , https://udn.com/news/story/6809/7091888?from=udn-ch1_breaknews-1-0-news
2023-04-12 02:56:43 , udn , 據韓聯社報導，當地時間4月11日上午，南韓前總統朴槿惠現身大邱市一家寺廟，這是她返鄉一年多來首次在當地公開露面。 , https://udn.com/news/story/6809/7091888?from=udn-ch1_breaknews-1-0-news
2023-04-12 03:00:04 , udn , 夫死沒分到遺產 超模窮到沒錢買菜 , https://udn.com/news/story/6812/7091838?from=udn-ch1_breaknews-1-0-news
2023-04-12 03:00:14 , udn , 福斯新聞網(Fox News)報導，前超模寶麗娜·波域斯高娃(Paulina Porizkova)近日上節目透露，前夫里... , https://udn.com/news/story/6812/7091838?from=udn-ch1_breaknews-1-0-news
2023-04-12 03:47:35 , udn , 影／三重街頭砍人隨後自首稱因2個月前行車糾紛 警存疑 , https://udn.com/news/story/7320/7091907?from=udn-ch1_breaknews-1-0-news
2023-04-12 03:47:45 , udn , 新北市三重區昨天深夜發生街頭砍人事件，20歲陳姓男子自稱之前曾與29歲黃姓男子發生行車糾紛，昨晚在三重「巧遇」，隨即拿出... , https://udn.com/news/story/7320/7091907?from=udn-ch1_breaknews-1-0-news
2023-04-12 05:32:30 , udn , 美投資人迎接通膨數據 史指收盤持平 , https://udn.com/news/story/6811/7091918?from=udn-ch1_breaknews-1-0-news
2023-04-12 05:32:41 , udn , 投資人為本周發布的關鍵通膨數據預做準備，史坦普500指數收盤持平。 , https://udn.com/news/story/6811/7091918?from=udn-ch1_breaknews-1-0-news
2023-04-12 05:33:01 , udn , 機器警犬重返紐約市 蛋形機器人與警員一同執勤 , https://udn.com/news/story/6813/7091915?from=udn-ch1_breaknews-1-0-news
2023-04-12 05:33:12 , udn , 紐約市市長亞當斯與市警總局11日在曼哈頓時報廣場公布了三種新型高科技警務設備——其中包括一隻兩年半前首次加入警察隊伍時被... , https://udn.com/news/story/6813/7091915?from=udn-ch1_breaknews-1-0-news
2023-04-12 05:53:33 , udn , NSO國家交響樂團赴美巡演 紐約「台灣之光」之下開演 , https://udn.com/news/story/7270/7091925?from=udn-ch1_breaknews-1-0-news
2023-04-12 05:53:43 , udn , NSO國家交響樂團即將啟動美東巡演，21日於整修重啟的紐約林肯表演藝術中心大衛・格芬音樂廳吳蔡劇場登場。此一音樂廳天花板... , https://udn.com/news/story/7270/7091925?from=udn-ch1_breaknews-1-0-news
2023-04-12 05:54:04 , udn , Exynos捲土重來？ 三星可能在S24系列中再搭載自研AP , https://udn.com/news/story/6811/7091885?from=udn-ch1_breaknews-1-0-news
2023-04-12 05:54:14 , udn , 集微網消息，據外媒報導，雖然缺席今年推出的Galaxy S23系列，但三星MX事業部正考慮在明年推出的S24系列中重新採用自研Exynos處理器。 , https://udn.com/news/story/6811/7091885?from=udn-ch1_breaknews-1-0-news
2023-04-12 06:23:43 , udn , 每逢假日必塞 國五淪塞車地獄的4大關鍵 , https://udn.com/news/story/7266/7091871?from=udn-ch1_breaknews-1-0-news
2023-04-12 06:23:53 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看導致國五雪隧每逢假日一定塞的關鍵原因。 , https://udn.com/news/story/7266/7091871?from=udn-ch1_breaknews-1-0-news
2023-04-12 06:24:14 , udn , 【總編開箱】內政百廢待舉 誰當選都不好收拾 , https://udn.com/news/story/123307/7091876?from=udn-ch1_breaknews-1-0-news
2023-04-12 06:24:24 , udn , 曾保證蛋荒會在今年3月解決的農委會主委陳吉仲，4月11日坦言明年還是可能缺蛋；每逢假日塞在雪隧的夢靨，換了幾任交通部長都無解，逼得宜蘭人必須自提解方。一件「食」、一件「行」，看似不相干，卻都讓民眾苦不堪言。明年總統大選起跑，各政黨蓄勢待發，但從這些事情來看，無論誰當選，「內政百廢待舉」的爛攤子都不怎麼好收拾。 , https://udn.com/news/story/123307/7091876?from=udn-ch1_breaknews-1-0-news
2023-04-12 06:41:41 , udn , 綠學倫條款爭議大 黨內質疑難服眾 恐比誠信條款棘手 , https://udn.com/news/story/6656/7091860?from=udn-ch1_breaknews-1-0-news
