2023-04-13 00:05:42 , udn , 唐永紅：兩岸變敵我矛盾 惠台失去中國人幫中國人基礎 , https://udn.com/news/story/7331/7094392?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:05:52 , udn , 針對大陸商務部啟動對台灣限制大陸2455項產品輸入貿易壁壘調查，廈門大學台灣研究中心副主任唐永紅指出，「早該如此了！」民... , https://udn.com/news/story/7331/7094392?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:06:13 , udn , 陸對台貿易壁壘調查 藍委：別讓兩岸經濟回到惡性循環 , https://udn.com/news/story/6656/7094377?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:06:23 , udn , 中國大陸商務部昨宣布將調查台灣對大陸貿易壁壘，涉及2455項商品。國民黨立法院黨團總召曾銘宗表示，呼籲對岸斟酌此決定，並... , https://udn.com/news/story/6656/7094377?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:10:18 , udn , 幕後／賴清德不接受九二共識、一國兩制 向侯友宜叫板 , https://udn.com/news/story/123307/7094252?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:20:53 , udn , Foodpanda公布南北外送排行榜 南部熱銷王竟是它 , https://udn.com/news/story/7270/7094435?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:21:03 , udn , 台灣飲食偏好南北差異大，外送平台Foodpanda公布南北外送排行榜，北部由甜不辣穩坐外送熱銷王，南部則是熱狗奪冠，其中... , https://udn.com/news/story/7270/7094435?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:26:55 , udn , 會考生活英語／【媒體篇】社群媒體帳號 , https://udn.com/news/story/6904/7080266?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:27:05 , udn , ★ 單字
1. teenager [ˈtiːneɪdʒər] n. 青少年（國中基礎1200字）
2. list [lɪst] v. 列表；舉例（國中基礎1200字）

★ 實用字詞
1.  , https://udn.com/news/story/6904/7080266?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:41:55 , udn , 翻版黑卡／這張卡中信不玩了，玉山衝著星宇航空就是要發卡的2關鍵 , https://udn.com/news/story/7239/7094471?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:42:05 , udn , 創下國內航空公司開航後最快發卡的紀錄，玉山星宇航空聯名卡甫上市就話題不斷 ，眼尖的卡友可能發現了，在國內信用卡市場沈寂了好一陣子，號稱比美「黑卡」，VVIP等級的「世界之極卡」，這次伴隨玉山星宇航空聯名卡，又重現江湖了。 , https://udn.com/news/story/7239/7094471?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:53:53 , udn , 台新銀合作街口支付 消費回饋和利息同享最高3% , https://udn.com/news/story/7239/7094488?from=udn-ch1_breaknews-1-0-news
2023-04-13 00:54:04 , udn , 台新銀行與街口支付宣布合作推出「街利存」帳戶，其串聯Richart數位帳戶及街口支付App，只要打開街口支付App，即可... , https://udn.com/news/story/7239/7094488?from=udn-ch1_breaknews-1-0-news
2023-04-13 01:08:53 , udn , 拚經濟、促觀光 事業廢棄物大增 焚化爐成唯一解方？ , https://udn.com/news/story/7266/7094495?from=udn-ch1_breaknews-1-0-news
2023-04-13 01:09:04 , udn , 隨著民眾生活型態改變、台商回流，近年我國事業廢棄物大增，甚至排擠到一般廢棄物處理量能，部分縣市因沒垃圾焚化廠，「到底要把垃圾運去哪裡燒」成當地最大問題；然而，垃圾焚化廠為鄰避設施，新設處理廠必遭民眾反對，沒設卻又無處處理垃圾，引發民怨，設不設焚化爐成為地方政府的兩難。 , https://udn.com/news/story/7266/7094495?from=udn-ch1_breaknews-1-0-news
2023-04-13 01:18:33 , udn , 中職／劉俊豪偶像面前敲致勝安 悍將2連勝 , https://udn.com/news/story/7001/7094195?from=udn-ch1_breaknews-1-0-news
2023-04-13 01:56:42 , udn , 陸嗆查關稅壁壘 台灣禁陸輸入多少農工產品 , https://udn.com/news/story/7314/7094494?from=udn-ch1_breaknews-1-0-news
2023-04-13 01:56:52 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看中國大陸商務部公告要對我國進行貿易壁壘調查。 , https://udn.com/news/story/7314/7094494?from=udn-ch1_breaknews-1-0-news
2023-04-13 02:56:45 , udn , 英國哈利王子將出席父王加冕典禮 妻子梅根將缺席 , https://udn.com/news/story/6809/7094499?from=udn-ch1_breaknews-1-0-news
2023-04-13 02:56:56 , udn , 白金漢宮今天表示，哈利王子（Prince Harry）將出席父親英國國王查爾斯三世（King Charles III）在... , https://udn.com/news/story/6809/7094499?from=udn-ch1_breaknews-1-0-news
2023-04-13 04:38:46 , udn , 馬克宏：法國對台海立場未變 支持維持台灣現狀 , https://udn.com/news/story/6809/7094515?from=udn-ch1_breaknews-1-0-news
2023-04-13 04:38:56 , udn , 法國總統馬克宏（Emmanuel Macron）今天造訪荷蘭時表示，法國對台灣問題的立場沒有改變，在台灣議題方面他支持「... , https://udn.com/news/story/6809/7094515?from=udn-ch1_breaknews-1-0-news
2023-04-13 04:50:18 , udn , 巴菲特：台積電是家非常卓越的公司 , https://udn.com/news/story/6811/7094479?from=udn-ch1_breaknews-1-0-news
2023-04-13 04:50:28 , udn , 「股神」巴菲特12日在東京接受CNBC專訪時表示，台積電和比亞迪都是非常卓越的公司。但他執掌的波克夏還是出脫了這兩家好公... , https://udn.com/news/story/6811/7094479?from=udn-ch1_breaknews-1-0-news
2023-04-13 05:17:43 , udn , 傳俄烏開戰已逾35萬軍人傷亡 戰事恐持續至2023年後 , https://udn.com/news/story/122663/7094549?from=udn-ch1_breaknews-1-0-news
2023-04-13 05:17:53 , udn , 路透社報導，根據在網路上公布的大量文件，在烏克蘭戰場上，俄烏雙方已有多達35萬4000名軍人喪生或受傷，這場戰事正朝長期... , https://udn.com/news/story/122663/7094549?from=udn-ch1_breaknews-1-0-news
2023-04-13 05:20:43 , udn , 擔憂經濟衰退  美股開高走低、道瓊跌38點中止連四漲 , https://udn.com/news/story/6811/7094555?from=udn-ch1_breaknews-1-0-news
2023-04-13 05:20:53 , udn , 由於經濟衰退擔憂打壓華爾街，美股收跌，即使交易員評估發布的通膨數據低於預期。 , https://udn.com/news/story/6811/7094555?from=udn-ch1_breaknews-1-0-news
2023-04-13 05:23:44 , udn , 台東一棟出租套房火警 1男租客葬身火窟 , https://udn.com/news/story/7320/7094562?from=udn-ch1_breaknews-1-0-news
2023-04-13 05:23:54 , udn , 台東市正氣路與精城路口一棟4層樓出租套房，今天零時許傳出火警，警消據報出動市區消防車輛救援，救出4位民眾，另有1男姓租客... , https://udn.com/news/story/7320/7094562?from=udn-ch1_breaknews-1-0-news
2023-04-13 06:26:43 , udn , 【總編開箱】賴神不再神 藍白合是麵包不是愛情 , https://udn.com/news/story/123307/7094505?from=udn-ch1_breaknews-1-0-news
2023-04-13 06:26:53 , udn , 綠營大可不必酸新北市長侯友宜，若要論品牌，副總統賴清德也不是政壇貨架上的清新品牌，他擔任立委、台南市長、與蔡英文總統爭取2020年提名到副總統漫長的從政歲月，身上沾的塵埃不會比侯友宜少。以前人人言必稱賴神，試問，現在還有多少選民會認為賴清德是神。 , https://udn.com/news/story/123307/7094505?from=udn-ch1_breaknews-1-0-news
2023-04-13 06:27:14 , udn , 貧窮線上升 低收戶減少 背後是社救法難觸及的黑數   , https://udn.com/news/story/7314/7094512?from=udn-ch1_breaknews-1-0-news
2023-04-13 06:27:24 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看生活在貧窮線下的人。
物價飛漲，最低生活費（貧窮線）逐年提高，根據衛福部和內政部統計，2022年台灣低收與中低收入戶人數占總人口數2.5%，「法定貧窮者」比率遠低於歐美及日韓；民團估計，「社福邊緣人口」至少有220萬名貧民，無法得到政府補助。 , https://udn.com/news/story/7314/7094512?from=udn-ch1_breaknews-1-0-news
2023-04-13 06:50:54 , udn , 時力奮力一搏 王婉諭、邱顯智投入激戰區選立委 , https://udn.com/news/story/123307/7094430?from=udn-ch1_breaknews-1-0-news
2023-04-13 06:51:04 , udn , 2024年總統及立委選舉開跑，時代力量黨主席王婉諭上任後隨即公布新任黨務人事，時代力量前發言人李兆立再度回鍋出任秘書長，桃園市前議員簡智翔則擔任副秘書長，如今再傳出時代力量立法院黨團主任賴嘉倫「被請辭」，顯見「邱（顯智）王（婉諭）人馬」已經重新主導時力決策權。 , https://udn.com/news/story/123307/7094430?from=udn-ch1_breaknews-1-0-news
2023-04-13 07:15:32 , udn , 賴神不再神 藍白合是麵包不是愛情 , https://udn.com/news/story/123307/7094505?from=udn-ch1_breaknews-1-0-news
2023-04-13 07:30:02 , udn , 新規則急遽改變大聯盟球風：比賽更快、更多、更衝 , https://udn.com/news/story/122629/7093893?from=udn-ch1_breaknews-1-0-news
