2023-04-14 00:00:05 , udn , 融合客家精神與法料神髓 「CEO 1950」春季新菜登場 , https://udn.com/news/story/7270/7096920?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:00:16 , udn , 天氣回暖，來自苗栗銅鑼的「CEO 1950 總裁藝文空間」主廚張億興（Jackie Chang），融合客家料理的精髓與在... , https://udn.com/news/story/7270/7096920?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:12:05 , udn , 德外長：台海並非與歐洲無關  歐盟對中立場一致 , https://udn.com/news/story/6809/7096939?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:12:16 , udn , 法國總統馬克宏發表認為歐洲不應捲入台海的爭議言論後，德國外長貝爾伯克在中國反駁說，全球貨運量有一半經過台灣海峽，台海局勢... , https://udn.com/news/story/6809/7096939?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:12:36 , udn , 美五角大廈密件爆：傳普亭正接受化療 俄將密謀「故意」輸掉對烏戰爭 , https://udn.com/news/story/122663/7096925?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:12:47 , udn , 英國每日郵報報導，美國五角大廈外洩密件爆料，俄羅斯總統普亭傳目前正在接受抗癌化療，而他手下的高階將領正密謀「故意」輸掉對... , https://udn.com/news/story/122663/7096925?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:13:07 , udn , 2021彭帥事件後  WTA宣布9月復辦大陸賽事 , https://udn.com/news/story/7005/7096927?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:13:18 , udn , 世界女子職業網球WTA（國際女子網球協會）13日宣布，今年將在中國大陸恢復活動，9月就復辦賽事。2021年發生大陸女網好... , https://udn.com/news/story/7005/7096927?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:13:38 , udn , 美菲最大規模肩並肩軍演  發射標槍飛彈摧毀目標 , https://udn.com/news/story/6809/7096867?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:13:49 , udn , 美國和菲律賓加緊進行歷來最大規模的聯合軍事演習，已經引起中國不滿。兩國部隊今天更舉行反戰車飛彈操演，成功摧毀目標 , https://udn.com/news/story/6809/7096867?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:17:52 , udn , 調查局緝毒英雄驚傳收賄 澎湖縣站調查官遭搜索約談 , https://udn.com/news/story/7321/7096993?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:18:02 , udn , 調查局又傳緝毒英雄涉及收賄風紀事件。澎湖縣調調查站組長陳麒元，被控疑藉由職務向毒品受刑人家屬收賄，利用借提詢問機會，讓受... , https://udn.com/news/story/7321/7096993?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:36:05 , udn , 調查局又傳緝毒英雄涉及收賄風紀事件。澎湖縣調調查站組長陳麒元，被控藉由職務向毒品受刑人家屬收賄，再利用借提詢問的機會，讓受刑人「出獄」與家屬碰面交代私事.. , https://udn.com/news/story/7321/7096993?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:47:44 , udn , 大陸宣布 14日在渤海北部進行軍事演習 , https://udn.com/news/story/7333/7097040?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:47:54 , udn , 葫蘆島海事局13日深夜公告，中共人民解放軍14日將在渤海北部進行軍事演習。據中國海事局網站消息，葫蘆島海事局發布航行警告... , https://udn.com/news/story/7333/7097040?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:48:15 , udn , 大陸禁航從3天變27分再變6小時？ 陸專家這樣解讀 , https://udn.com/news/story/7333/7097038?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:48:25 , udn , 交通部長王國材稱就中國大陸在台灣北方畫設禁航區三天一事表示，在與中國大陸溝通後改為27分鐘，約影響33個航班，福建海事局... , https://udn.com/news/story/7333/7097038?from=udn-ch1_breaknews-1-0-news
2023-04-14 00:50:17 , udn , 網球／2021彭帥事件後  WTA宣布9月復辦大陸賽事 , https://udn.com/news/story/7005/7096927?from=udn-ch1_breaknews-1-0-news
2023-04-14 01:23:43 , udn , 漁光島淨灘的30元巧思 讓月牙灣變美 蚵農也笑了 , https://udn.com/news/story/7314/7097065?from=udn-ch1_breaknews-1-0-news
2023-04-14 01:23:53 , udn , 過去曾上演活春宮引發熱議的漁光島沙灘，近年成熱門旅遊景點。2年1屆漁光島藝術節將在16日閉幕，從3月底開展至今已累積逾12萬參觀人次，預期這周末將再迎來一波人潮，事實上，民眾很難想像，漁光島祕境月牙灣曾滿布蚵棚與廢棄保麗龍，近2年清除7千多公噸海漂垃圾才有今日的美麗沙灘。... , https://udn.com/news/story/7314/7097065?from=udn-ch1_breaknews-1-0-news
2023-04-14 01:32:45 , udn , 「2023港澳米其林指南」必比登出爐！船記等6間新上榜 , https://udn.com/news/story/7270/7097070?from=udn-ch1_breaknews-1-0-news
