2023-04-15 00:54:02 , udn , 俄油包圍網破口？ 日、印兩面押寶背後都有中國因素 , https://udn.com/news/story/6809/7099342?from=udn-ch1_breaknews-1-0-news
2023-04-15 00:54:13 , udn , 俄烏戰爭使全球原油市場陷入緊張。俄羅斯入侵烏克蘭後，西方國家針對進口俄國原油設定每桶60美元（約台幣1829元）的價格上限，試圖盡可能與俄國能源脫鉤。不過，說的總比做的容易，日本和印度仍持續購買俄油，而且在其他政治議題也需要俄國協助。 , https://udn.com/news/story/6809/7099342?from=udn-ch1_breaknews-1-0-news
2023-04-15 01:00:07 , udn , 柯Ｐ訪美行程遭議 黃珊珊：此行目的「了解與被了解」 , https://udn.com/news/story/6656/7099354?from=udn-ch1_breaknews-1-0-news
2023-04-15 01:00:18 , udn , 台北市前副市長黃珊珊陪同民眾黨主席柯文哲訪美，台灣時間14日深夜11點多在臉書表示，此行目的是「to know and ... , https://udn.com/news/story/6656/7099354?from=udn-ch1_breaknews-1-0-news
2023-04-15 01:00:39 , udn , 台水靠80人「聽診」救漏水率  抓漏內功機器難取代 , https://udn.com/news/story/7266/7099349?from=udn-ch1_breaknews-1-0-news
2023-04-15 01:00:49 , udn , 走在路上，你我或許都未曾注意到道路下正有大量看不見的地下漏水。其實，台灣有一群人每天在半夜出勤，戴著耳機、拿著聽診器，在大街小巷裡聽個不停，這些無名英雄就是台水公司的檢漏員。台水每年力拚降低漏水率，都得靠這些抓漏達人全台走透透。很難想像，全台供水管線長達5.9萬公里，負責巡檢的人員卻僅約80人，其中辛酸可想而知。 , https://udn.com/news/story/7266/7099349?from=udn-ch1_breaknews-1-0-news
2023-04-15 01:26:42 , udn , 檢察長人事12搶6 牽動2024 誰掌北檢、南檢成指標 , https://udn.com/news/story/6656/7099377?from=udn-ch1_breaknews-1-0-news
2023-04-15 01:26:53 , udn , 2024大選戰鼓已起，法務部則將調整全國檢察長人事，檢察官人事審議委員會已確認12名人選，提供法務部長蔡清祥圈選，最終結果下周五（21日）揭曉；誰能執掌「天下第一檢」台北地檢署，而偵辦88槍擊案、正副議長賄選案的台南地檢署，又是誰能勝任檢察長一職，加上此次調動也與2024年總統大選息息相關，外界討論熱烈，等著看蔡清祥如何布局。 , https://udn.com/news/story/6656/7099377?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:17:43 , udn , 貿易壁壘調查如何拆招 宋濤為馬餞行語帶玄機 , https://udn.com/news/story/6656/7099396?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:17:53 , udn , 兩岸貿易之於台灣意味著什麼？大陸國台辦1=2年前發布的「兩岸經濟合作系列問答」曾指出：1979年至2020年，兩岸貿易額由0.77億美元增加到2,608.1億美元，貿易總額累計約3.1萬億（兆）美元，台灣從兩岸貿易中累計獲取的順差約1.8萬億美元... , https://udn.com/news/story/6656/7099396?from=udn-ch1_breaknews-1-0-news
2023-04-15 06:18:14 , udn , 就安基金淪提款機？預算、決算增幅差很大 , https://udn.com/news/story/7314/7099390?from=udn-ch1_breaknews-1-0-news
