2023-04-16 00:20:53 , udn , 2023台灣盃極限射擊大賽盛大登場 全民國防議題受重視 , https://udn.com/news/story/7241/7100778?from=udn-ch1_breaknews-1-0-news
2023-04-16 00:21:03 , udn , 由怪怪貿易G&G ARMAMENT主辦、中華民國全民國防教育協會協辦的「2023台灣盃極限射擊大賽」，今(15)日起一連... , https://udn.com/news/story/7241/7100778?from=udn-ch1_breaknews-1-0-news
2023-04-16 00:25:38 , udn , 美國爆發堪稱10年來最嚴重的情報外洩事件，被控為源頭的21歲空軍國民兵成員特薛拉（Jack Teixeira）14日... , https://udn.com/news/story/6813/7100611?from=udn-ch1_breaknews-1-0-news
2023-04-16 00:32:53 , udn , 週一不厭世！星巴克「買一送一」登場 這次不含星冰樂 , https://udn.com/news/story/7270/7100829?from=udn-ch1_breaknews-1-0-news
2023-04-16 00:33:04 , udn , 星巴克本月繼6日開工日與10日（週一）祭出「買一送一」優惠後，再度宣布於4月17日（週一）推出「GOOD FOR SUM... , https://udn.com/news/story/7270/7100829?from=udn-ch1_breaknews-1-0-news
2023-04-16 00:33:24 , udn , 斯巴達障礙跑高雄站登場 台、日警察都跑出佳績 , https://udn.com/news/story/7001/7100826?from=udn-ch1_breaknews-1-0-news
2023-04-16 00:33:35 , udn , 國際障礙賽賽跑領導品牌「Spartan Race」斯巴達障礙跑今天在高雄小港公七公園舉行兩天賽程，這也是後疫情時期國外選... , https://udn.com/news/story/7001/7100826?from=udn-ch1_breaknews-1-0-news
2023-04-16 00:33:55 , udn , 殺破狼週運勢／天秤陷入失控戀情 射手職場面臨風暴  , https://udn.com/news/story/7268/7095636?from=udn-ch1_breaknews-1-0-news
2023-04-16 00:34:06 , udn , 射手工作運方面，水星在工作宮位逆行，並受到日蝕能量影響，文件處理出錯率較高，或是不斷需要來回修正。同時職場目前面臨裁員風暴，稍微不謹慎，也會影響到自己的飯碗。日蝕發生期間，可為工作許下願望，祈求平安順心。 , https://udn.com/news/story/7268/7095636?from=udn-ch1_breaknews-1-0-news
2023-04-16 00:41:53 , udn , 公墓火警出人命 濫燒雜草沒人管 空汙法根本是空氣 , https://udn.com/news/story/7266/7100524?from=udn-ch1_breaknews-1-0-news
2023-04-16 00:42:03 , udn , 清明節前，各地焚燒雜草導致公墓火警一再上演，警消人員為了救災頻於奔命，空汙法明明就禁止露天燃燒，最高可處10萬元罰鍰，卻... , https://udn.com/news/story/7266/7100524?from=udn-ch1_breaknews-1-0-news
2023-04-16 02:23:42 , udn , 侯友宜超前韓國瑜出手了！ 藍大新店內戰深夜震撼彈 , https://udn.com/news/story/123307/7100862?from=udn-ch1_breaknews-1-0-news
2023-04-16 02:23:52 , udn , 新北大新店選區立委初選深夜震撼彈，新北市議員劉哲彰突在臉書放上與市長侯友宜的合照並宣布退選。他表示，在與侯長談後，為黨內... , https://udn.com/news/story/123307/7100862?from=udn-ch1_breaknews-1-0-news
2023-04-16 03:17:17 , udn , 政大地政攜法界專家 共討徵收制度 , https://udn.com/news/story/7238/7100803?from=udn-ch1_breaknews-1-0-news
2023-04-16 03:17:28 , udn , 鑒於多年以來徵收相關的執行與實務問題爭議不勝枚舉，各界對於先行區段徵收、徵收正當行政程序等徵收法制問題的檢討聲浪不絕於耳... , https://udn.com/news/story/7238/7100803?from=udn-ch1_breaknews-1-0-news
2023-04-16 04:08:18 , udn , 政大地政攜法界專家 共同探討徵收制度 , https://udn.com/news/story/7238/7100803?from=udn-ch1_breaknews-1-0-news
2023-04-16 05:29:42 , udn , 陽光行動／受刑人老化 潛藏失智、重病危機…評估設專監 , https://udn.com/news/story/7321/7100880?from=udn-ch1_breaknews-1-0-news
2023-04-16 05:29:53 , udn , 人口老化問題也在監獄裡出現，十年前，監獄內六十歲以上受刑人還不到百分之四，逐年成長到今年三月底已占將近一成，甚至有八十九歲的受刑人；受刑人高齡化，管理上同樣面臨失智、重病無法自理生活等許多潛藏危機，矯正署正評估效法日本設「高齡專監」集中專業管理。 , https://udn.com/news/story/7321/7100880?from=udn-ch1_breaknews-1-0-news
2023-04-16 05:32:45 , udn , 陽光行動／「犯人照顧犯人」 監獄養老院化？ , https://udn.com/news/story/7321/7100883?from=udn-ch1_breaknews-1-0-news
2023-04-16 05:32:55 , udn , 全國監獄高齡受刑人日增，監獄管理也面臨醫療、生活照護的問題，矯正署長周輝煌說，現代化監獄對高齡受刑人設有坐式馬桶、蹲廁時有扶手支撐，洗澡有淋浴設備，有人認為監獄逐漸走向「養老院化」，不過，監獄畢竟是執行國家刑罰的地方，目前除大型監獄設有老齡專區，也藉由訓練，以「犯人照顧犯人」減低管理員負擔。 , https://udn.com/news/story/7321/7100883?from=udn-ch1_breaknews-1-0-news
2023-04-16 05:33:16 , udn , 陽光行動／受刑人高齡化 獄政管理挑戰大 , https://udn.com/news/story/7321/7100881?from=udn-ch1_breaknews-1-0-news
2023-04-16 05:33:26 , udn , 二○一五年高雄市大寮區高雄監獄發生史上第一次受刑人挾持管理員事件，六名受刑人後來自盡，震驚全國，事件與老齡受刑人不無關聯。矯正署長周輝煌說，重刑犯從年輕關到老，對生命感到絕望，是管理未爆彈，監獄對老齡受刑人管理正面臨諸多新挑戰。 , https://udn.com/news/story/7321/7100881?from=udn-ch1_breaknews-1-0-news
2023-04-16 06:17:43 , udn , 監獄快變養老院 近1成受刑人老去 多是沾毒者 , https://udn.com/news/story/7314/7100669?from=udn-ch1_breaknews-1-0-news
2023-04-16 06:17:54 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。監獄逐年高齡化，這次的圖表帶你看其中潛藏的失智、重病危機。 , https://udn.com/news/story/7314/7100669?from=udn-ch1_breaknews-1-0-news
2023-04-16 06:18:14 , udn , 民進黨政府和對岸賭氣  受苦卻是國內觀光產業 , https://udn.com/news/story/6656/7100851?from=udn-ch1_breaknews-1-0-news
2023-04-16 06:18:25 , udn , 開放大陸人士來台觀光，攸關台灣旅遊產業的復甦，但兩岸政府目前陷入僵局，目前仍看不到生機。 , https://udn.com/news/story/6656/7100851?from=udn-ch1_breaknews-1-0-news
2023-04-16 06:38:56 , udn , 獨／侯友宜「捨我其誰」 選舉「2大軸線」曝光 , https://udn.com/news/story/6656/7100909?from=udn-ch1_breaknews-1-0-news
2023-04-16 06:39:06 , udn , 新北市長侯友宜近日「類參選」2024，組織戰動作頻頻，據悉，侯選舉策略有兩大軸線，首先參考前總統馬英九競選連任時成立的「... , https://udn.com/news/story/6656/7100909?from=udn-ch1_breaknews-1-0-news
2023-04-16 06:39:27 , udn , 星期人物／愛爾蘭政治異數 總統希金斯擁詩人靈魂 成就傲人 , https://udn.com/news/story/6812/7100842?from=udn-ch1_breaknews-1-0-news
2023-04-16 06:39:37 , udn , 美國總統拜登訪問愛爾蘭，紀念復活節協議（the Good Friday Agreement）簽署廿五周年，其中一個行程是會晤愛爾蘭總統希金斯（Michael D. Higgins）。八十一歲的希金斯自二○一一年起擔任愛爾蘭總統，也是有名的詩人與作家，同時還是熱心的人權與社會問題運動家，從不害怕公開自己的觀點。對他來說，「永遠沒有哪個問題會太小」。 , https://udn.com/news/story/6812/7100842?from=udn-ch1_breaknews-1-0-news
2023-04-16 06:41:54 , udn , 氣溫回升注意空汙 周四鋒面影響全台雨襲 , https://udn.com/news/story/7266/7100910?from=udn-ch1_breaknews-1-0-news
2023-04-16 06:42:05 , udn , 中央氣象局說，今天東北季風減弱，北部及東北部清晨天氣仍涼，白天起氣溫回升；今天各地及澎湖、金門、馬祖為多雲到晴，僅東部、... , https://udn.com/news/story/7266/7100910?from=udn-ch1_breaknews-1-0-news
