2023-04-19 00:05:55 , udn , 學童睡地上等公車  基進：讓坐公車更便利、路線更完善 , https://udn.com/news/story/7326/7107168?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:06:05 , udn , 台南麻豆區日前傳出學童睡騎樓等公車的新聞，市府回應將協調店家增設座椅，台灣基進台南市議員李宗霖今天表示，問題不在增設座椅... , https://udn.com/news/story/7326/7107168?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:06:26 , udn , 高雄再傳山林大火 消防動員34車警戒搶救優先防護民宅 , https://udn.com/news/story/7320/7107165?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:06:36 , udn , 高雄市田寮區內安今天晚間8時2分許，山區冒出濃煙火光，消防局獲報後，出動34車75人前往搶救中，由於現場風勢不小，火勢迅... , https://udn.com/news/story/7320/7107165?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:11:54 , udn , 柯文哲訪美台商會 臉書籲政府「不能只靠耍嘴皮子」 , https://udn.com/news/story/6656/7107175?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:12:05 , udn , 民眾黨主席柯文哲訪美，台灣時間18日透過臉書分享心情，他表示到美台商會與關心台美商業及貿易的國際友人見面，盼藉聆聽美國商... , https://udn.com/news/story/6656/7107175?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:23:53 , udn , 頎邦轉投資頎中科技 20日上交所科創板上市 , https://udn.com/news/story/7333/7107224?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:24:04 , udn , 台灣封測大廠頎邦（6147-TW）所轉投資的頎中科技，18日晚間披露上市公告書，公司股票將於4月20日在上海證券交易所科... , https://udn.com/news/story/7333/7107224?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:24:24 , udn , 立委吳欣盈陪柯文哲訪華府 交流立法院修法提案訴求 , https://udn.com/news/story/6656/7107220?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:24:35 , udn , 民眾黨主席柯文哲美東時間17日參訪華盛頓美台商會，由台北市前市長黃珊珊、民眾黨立委吳欣盈、民眾黨秘書長周台竹陪同。吳欣盈... , https://udn.com/news/story/6656/7107220?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:30:02 , udn , 曾經每四名新娘就有一人穿這家店緍紗 如今淪落至破產 , https://udn.com/news/story/6811/7107060?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:47:46 , udn , 澎湖縣議長貪汙案再燒 衛生局遭搜索 科長、校護列被告 , https://udn.com/news/story/7321/7107258?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:47:56 , udn , 澎湖地檢署追查澎湖縣國民黨議長劉陳昭玲貪汙案又有新進展。昨澎檢指揮廉政署搜索衛生局等12處地點，約談前衛生局長蕭靜蓉、科... , https://udn.com/news/story/7321/7107258?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:49:48 , udn , 學童睡地上等公車 基進：讓坐公車更便利、路線更完善 , https://udn.com/news/story/7326/7107168?from=udn-ch1_breaknews-1-0-news
2023-04-19 00:56:55 , udn , 澎湖地檢署追查澎湖縣國民黨議長劉陳昭玲貪汙案又有新進展。昨澎檢指揮廉政署搜索衛生局等12處地點，約談前衛生局長蕭靜蓉、科室主管、校護等7人，鎖定衛生局人事弊案，經漏夜訊問，曾姓科長、徐姓校護涉犯貪汙治罪條例的行賄罪，昨深夜訊後以5萬元交保候傳，是否有其他人涉弊，檢廉擴大釐清中。 , https://udn.com/news/story/7321/7107258?from=udn-ch1_breaknews-1-0-news
2023-04-19 01:05:44 , udn , 陸疫後缺工 餐飲服務業愈來愈多北韓面孔 , https://udn.com/news/story/7331/7107267?from=udn-ch1_breaknews-1-0-news
2023-04-19 01:05:55 , udn , 最近到過北京「無名居」餐廳的消費者都會發現，餐廳裡的服務員清一色都是來自北韓的姑娘。儘管說著流利的中文，但內行人一聽口音就知道，這些面容姣好、笑容可掬的服務員，都是北韓人。不只是無名居，北京已有不少餐廳，甚至連上海的「湯連得」溫泉館也傳出有來自北韓的員工。 , https://udn.com/news/story/7331/7107267?from=udn-ch1_breaknews-1-0-news
2023-04-19 01:35:44 , udn , 邊跑邊救人「醫護鐵人」跑遍海內外500場耐力賽 , https://udn.com/news/story/7266/7107292?from=udn-ch1_breaknews-1-0-news
