2023-04-21 00:03:06 , udn , 獨／荷包又變薄！三重排隊美食「無名刈包」5/2起全品項調漲10元 , https://udn.com/news/story/7266/7112798?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:03:16 , udn , 漲聲不斷，消費者的荷包也越來越薄！位於新北市三重的「無名刈包」近期宣佈，因原物料價格攀升，全品項調漲10元。以現行售價計... , https://udn.com/news/story/7266/7112798?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:09:04 , udn , 永續建築商機無限 新光保全攜手台達打造智慧建築新解方 , https://udn.com/news/story/7266/7112851?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:09:15 , udn , 面對全球綠色轉型浪潮，永續城市、淨零碳排已成為許多企業一致且積極實踐的目標，繼新光保全與台達聯手簽署合作備忘錄後，持續看... , https://udn.com/news/story/7266/7112851?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:32:54 , udn , 高嘉瑜唱這首歌、Line王世堅斬妖除魔真男人 網：志偉哭哭 , https://udn.com/news/story/123475/7112873?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:33:04 , udn , 民進黨立委初選士林大同區的堅偉之戰，議員王世堅贏現任立委何志偉兩個百分點，何無緣挑戰連任。王世堅今天下午聯訪，意外曝光高... , https://udn.com/news/story/123475/7112873?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:33:25 , udn , 澎湖花火節雨中開幕不減興致 1萬2千人見證 , https://udn.com/news/story/7266/7112860?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:33:35 , udn , 2023澎湖國際海上花火節今晚在觀音亭園區盛大開幕，大雨澆不熄民眾熱情，現場湧入1萬2千人，海上也擠滿欣賞花火演出的遊客... , https://udn.com/news/story/7266/7112860?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:56:44 , udn , 國王攻守應變奇兵出擊更勝一籌 勇士無路可退難以翻身 , https://udn.com/news/story/122629/7112911?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:56:54 , udn , 勇士國王系列賽，勇士慘遭二連敗，這也是柯瑞（Stephen Curry）生涯首次於季後賽0：2落後，對於衛冕軍來說，當然不是什麼好消息。來看看兩戰之間，雙方場上是如何鬥智，勇士又因何落至現在窘境。
 , https://udn.com/news/story/122629/7112911?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:57:15 , udn , 葉倫：欲建立對中健康經濟關係而非脫鉤 兩領域不妥協 , https://udn.com/news/story/6811/7112920?from=udn-ch1_breaknews-1-0-news
2023-04-21 00:57:25 , udn , 美國財政部長葉倫（Janet Yellen）20日發表演說稱，美中關係不是你死我活的零和賽局，美中經濟體脫鉤的結果將是災... , https://udn.com/news/story/6811/7112920?from=udn-ch1_breaknews-1-0-news
2023-04-21 01:05:55 , udn , 嘉市住宅大樓傳火警 及時撲滅未傳人員傷亡 , https://udn.com/news/story/7320/7112927?from=udn-ch1_breaknews-1-0-news
2023-04-21 01:06:05 , udn , 嘉義市東區興村街一處住宅大樓20日深夜傳出火警，嘉義市消防局據報後，緊急出動包括雲梯車共15車41人趕赴現場救援，火勢及... , https://udn.com/news/story/7320/7112927?from=udn-ch1_breaknews-1-0-news
2023-04-21 01:17:55 , udn , 北京斡旋以巴 大國外交挑戰「中東最難題」 , https://udn.com/news/story/7331/7112945?from=udn-ch1_breaknews-1-0-news
