2023-04-22 00:15:17 , udn , 他的烏克蘭車輪餅大賣  除了厚度還有顏色 , https://udn.com/news/story/7326/7115323?from=udn-ch1_breaknews-1-0-news
2023-04-22 00:15:27 , udn , 車輪餅是傳統小吃，由於入行門檻不高，市場上有許多車輪餅店家，要在這麼多同性質店家中殺出重圍，就要在口味、品質等地方與眾不... , https://udn.com/news/story/7326/7115323?from=udn-ch1_breaknews-1-0-news
2023-04-22 00:15:48 , udn , 影／大甲媽起駕萬頭鑽動 顏清標甫出廟門喘不過氣中途換手 , https://udn.com/news/story/123477/7115324?from=udn-ch1_breaknews-1-0-news
2023-04-22 00:15:58 , udn , 大甲媽遶境今晚11點05分起駕，鎮瀾宮內外擠得水洩不通，人潮綿延，地上竟然丟了一堆鞋子，有人跌倒受傷，驚叫聲四起。三聲起... , https://udn.com/news/story/123477/7115324?from=udn-ch1_breaknews-1-0-news
2023-04-22 00:16:19 , udn , 芯、費大戰投票前夕仍未歇 今晚互指違約、造謠抹黑 , https://udn.com/news/story/123475/7115304?from=udn-ch1_breaknews-1-0-news
2023-04-22 00:16:29 , udn , 國民黨台北市黨部明進行第七選區（信義、南松山）立委初選黨員投票，也將公布電話民調結果，「費芯大戰」仍未歇。徐巧芯辦公室今... , https://udn.com/news/story/123475/7115304?from=udn-ch1_breaknews-1-0-news
2023-04-22 00:30:17 , udn , 遭徐巧芯指包車載黨員投票 費鴻泰：我想起黃俊英含冤 , https://udn.com/news/story/123475/7115348?from=udn-ch1_breaknews-1-0-news
2023-04-22 00:30:28 , udn , 國民黨北市松信選區芯費大戰越演越烈，明天黨員投票後就要宣布鹿死誰手，沒想到，今晚出現戲劇性的發展。議員徐巧芯深夜發出新聞... , https://udn.com/news/story/123475/7115348?from=udn-ch1_breaknews-1-0-news
2023-04-22 00:33:51 , udn , 大甲鎮瀾宮湧千人恭請媽祖上轎 顏清標：媽祖我愛你 , https://udn.com/news/story/123477/7114728?from=udn-ch1_breaknews-1-0-news
2023-04-22 00:51:17 , udn , 2023全球黑琵普查創新高 台灣也攀新高、增1成 , https://udn.com/news/story/7470/7115191?from=udn-ch1_breaknews-1-0-news
2023-04-22 00:51:27 , udn , 香港觀鳥會發布2023黑面琵鷺全球同步普查已於1月6到8日完成，全球數量達6603隻，為歷年新高，比去年增加7.2%；台... , https://udn.com/news/story/7470/7115191?from=udn-ch1_breaknews-1-0-news
2023-04-22 01:11:54 , udn , 辦高虹安不力？北檢檢察長「明升暗降」 連檢察官都抱不平 , https://udn.com/news/story/6656/7115409?from=udn-ch1_breaknews-1-0-news
2023-04-22 01:12:05 , udn , 法務部今公布新任檢察長名單，「天下第一檢」台北地檢署檢察長林邦樑傳因偵辦高虹安涉貪案不力，被「明升暗降」至最高檢察署檢察官；台灣高等檢察署主任檢察官陳宏達質疑林短短任期即調離現職，法務部應說清楚調動原因，否則再度落入「秋後算帳」、「政治力介入」的歷史汙名。為何連檢察官都對法務部的調動有如此疑慮？ , https://udn.com/news/story/6656/7115409?from=udn-ch1_breaknews-1-0-news
2023-04-22 01:35:46 , udn , 兩岸共好vs.化解美中對抗 侯郭兩岸論述 會不會納入九二共識？ , https://udn.com/news/story/6656/7115431?from=udn-ch1_breaknews-1-0-news
2023-04-22 01:35:57 , udn , 相對民進黨已正式提名副總統賴清德為總統參選人，國民黨以徵召方式提名總統參選人選的作業還在進行式，距離定於一尊，似乎還需要一點時間才能明朗。 , https://udn.com/news/story/6656/7115431?from=udn-ch1_breaknews-1-0-news
2023-04-22 03:59:48 , udn , 三進AIT總部拜會美官員 柯文哲：該見的都見了 , https://udn.com/news/story/123307/7115465?from=udn-ch1_breaknews-1-0-news
2023-04-22 03:59:58 , udn , 台灣民眾黨主席柯文哲21日結束華府行，他分別在13日、19日和20日赴美國在台協會（AIT）華盛頓總部拜會美國行政部門官... , https://udn.com/news/story/123307/7115465?from=udn-ch1_breaknews-1-0-news
2023-04-22 05:50:45 , udn , 【即時短評】柯文哲赴美面試實問虛答 點到為止能交代？ , https://udn.com/news/story/123307/7115489?from=udn-ch1_breaknews-1-0-news
2023-04-22 05:50:56 , udn , 有意角逐總統的台灣民眾黨主席柯文哲結束華府拜會，這也是訪美行程的重中之重；事前期待值拉好拉滿的柯，卻是點到為止，實問虛答... , https://udn.com/news/story/123307/7115489?from=udn-ch1_breaknews-1-0-news
2023-04-22 06:17:46 , udn , 從供電吃緊與ECFA 看透能混就混的蔡政府 , https://udn.com/news/story/6656/7115428?from=udn-ch1_breaknews-1-0-news
2023-04-22 06:17:57 , udn , 本周發生幾個事件，雖然不是什麼大新聞，但見微知著，可以看出民進黨政府「能混先混、得過且過」的官場文化，非常不負責任... , https://udn.com/news/story/6656/7115428?from=udn-ch1_breaknews-1-0-news
2023-04-22 06:18:17 , udn , 移工逃逸暴增 就服法修正2關鍵數字一解雇主困境 , https://udn.com/news/story/7314/7115420?from=udn-ch1_breaknews-1-0-news
2023-04-22 06:18:28 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看就服法修正重點。
移工逃逸問題日益嚴重，現行就業服務法規定，雇主空窗期往往長達3、4個月，造成家庭與產業困擾，立法院此次修法大幅縮短等待遞補移工的時間，產業雇主縮短為3個月，家庭雇主則縮為1個月。 , https://udn.com/news/story/7314/7115420?from=udn-ch1_breaknews-1-0-news
2023-04-22 06:31:19 , udn , 道指平盤作收 中止四周連漲 , https://udn.com/news/story/6811/7115477?from=udn-ch1_breaknews-1-0-news
2023-04-22 06:31:30 , udn , 道瓊工業平均指數收盤幾乎沒有變化，本周收低，因為投資人評估了最新的財報結果和對令人失望的獲利擔憂。 , https://udn.com/news/story/6811/7115477?from=udn-ch1_breaknews-1-0-news
2023-04-22 06:35:56 , udn , 報稅眉角／去年18歲「轉大人」 今年想當首報族再等等 , https://udn.com/news/story/121591/7115425?from=udn-ch1_breaknews-1-0-news
2023-04-22 06:36:06 , udn , 個人綜合所得稅結算申報5月開跑，對去年「轉大人」的報稅新手而言，要先掌握有無所得、所得多少等兩點，此外，雖然今年起成年年齡從20歲下修為18歲，但因為所得稅是落後申報制，去年滿18、19歲的民眾，原則上還是不能單獨申報，報稅時要特別注意。 , https://udn.com/news/story/121591/7115425?from=udn-ch1_breaknews-1-0-news
2023-04-22 06:57:06 , udn , 今天水氣多中南部短暫陣雨 下周鋒面到再變天 , https://udn.com/news/story/7266/7115532?from=udn-ch1_breaknews-1-0-news
2023-04-22 06:57:16 , udn , 中央氣象局說，今天水氣仍多，中南部、東部、東南部地區及澎湖有局部短暫陣雨，其他地區及金門、馬祖亦有零星短暫陣雨；氣溫整體... , https://udn.com/news/story/7266/7115532?from=udn-ch1_breaknews-1-0-news
2023-04-22 07:18:17 , udn , 未來2周天氣變化快速 氣象局：先偶雨偏涼後漸熱 , https://udn.com/news/story/7266/7115541?from=udn-ch1_breaknews-1-0-news
2023-04-22 07:18:27 , udn , 中央氣象局臉書粉專「報氣候 - 中央氣象局」發布月長期天氣展望（4月22日至5月5日），氣象局說，未來兩周鋒面活躍於北邊... , https://udn.com/news/story/7266/7115541?from=udn-ch1_breaknews-1-0-news
2023-04-22 07:27:18 , udn , 美中台博弈／當美中缺乏交流敵意加深 台海大災難也不遠了 , https://udn.com/news/story/6809/7114799?from=udn-ch1_breaknews-1-0-news
2023-04-22 07:27:28 , udn , 幾個月來，華盛頓方面頻頻抱怨北京，對美方提出的接觸提議「缺乏興趣」，不只拒絕重新安排美國國務卿布林肯訪華，中美國防部長從12月越南會晤至今，已經近5個月沒有通話，連美國國安顧問蘇利文提出希望總統拜登與大陸國家主席習近平通話，大陸都不睬不理。

大陸方面認為美國出爾反爾，每次準備好要對話，都因為美國國內政治因素，最後不是作罷，就是被扯後腿，最近的例子是，拜習在印尼峇里島高峰會決定讓布林肯訪問北京，可是間諜氣球事件後，美方宣布延後。 , https://udn.com/news/story/6809/7114799?from=udn-ch1_breaknews-1-0-news
2023-04-22 07:30:18 , udn , 接下來還有春雨嗎？ 這兩天是關鍵 鋒面快閃各地陰陣雨 , https://udn.com/news/story/7266/7115544?from=udn-ch1_breaknews-1-0-news
2023-04-22 07:30:28 , udn , 接下來還有春雨嗎？「天氣風險 WeatherRisk」臉書粉專說，下周二晚間至下周三鋒面通過台灣，預期各地轉陰陣雨。 , https://udn.com/news/story/7266/7115544?from=udn-ch1_breaknews-1-0-news
2023-04-22 07:45:18 , udn , 接下來還有春雨嗎？這兩天是關鍵 鋒面快閃各地陰陣雨 , https://udn.com/news/story/122844/7115544?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:00:05 , udn , 【專家之眼】母雞焦慮、小雞徬徨 提名何時水落石出？ , https://udn.com/news/story/6656/7115562?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:00:15 , udn , 隨著明年年初中央公職人員選戰升溫，國內各個政治派系相關候選人都會逐漸浮現檯面。儘管諸多政治觀察家與選舉評論者，分別都在推... , https://udn.com/news/story/6656/7115562?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:07:45 , udn , 他的烏克蘭車輪餅大賣 除了厚度還有顏色 , https://udn.com/news/story/7326/7115323?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:08:15 , udn , 大甲媽今晚起駕 隨行女香客半路昏倒 太平警及時救援 , https://udn.com/news/story/123477/7115327?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:08:26 , udn , 被譽為全球三大宗教盛事之一的大甲鎮瀾宮媽祖遶境活動今天深夜11時05分起駕，展開9天8夜遶境活動，吸引大批信眾湧入，一名... , https://udn.com/news/story/123477/7115327?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:14:54 , udn , 台中女遭潑熱湯「半邊臉燒紅」畫面曝光 赤腳淋雨指認施暴者 , https://udn.com/news/story/7320/7115563?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:15:05 , udn , 台中昨驚傳為2萬元債務糾紛，女子遭圍毆、潑灑熱湯案件。臉書粉專「記者爆料網」（ https://www.facebook... , https://udn.com/news/story/7320/7115563?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:33:06 , udn , 芯費大戰終局 鹿死誰手傍晚5點分曉 , https://udn.com/news/story/6656/7115581?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:33:16 , udn , 國民黨台北市第七選區（信義、南松山）立委初選民調作業今17點公布結果，自去年12月底上演至今的芯費大戰，也將告一段落。由... , https://udn.com/news/story/6656/7115581?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:33:37 , udn , 謠傳十大鬼屋林開郡洋樓 神秘之樹剪了 背後暖心原因曝 , https://udn.com/news/story/7328/7115579?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:33:47 , udn , 林開郡洋樓位基隆市中心，有80多年的歷史，古厝為仿羅馬式洋樓，充滿神秘的色彩，靈異傳說傳了好幾十年，還被謠傳「全台十大鬼... , https://udn.com/news/story/7328/7115579?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:34:08 , udn , 張國煒首度以星宇名義和長榮合作 握手言和從吃開始？ , https://udn.com/news/story/7266/7109157?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:34:18 , udn , 星宇航空即將在4月26日開航首條長程航線-美國洛杉磯，一向主打高端優質服務的星宇航空，將在長程線機上的餐飲推出令旅客驚豔的餐點內容，包括由米其林星級主廚設計的料理，並採用來自在地的經典食材與享譽國際的餐酒品牌等。據掌握，星宇本次美國線的航餐是由長榮空廚所負責，這也是星宇航空董事長張國煒，在2016年被迫離開長榮集團事業體後，首度以星宇的名義和長榮相關企業的合作案。航餐表現會如何？不僅耐人尋味，也讓旅客相當期待。 , https://udn.com/news/story/7266/7109157?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:34:39 , udn , 2024立委戰／總統人選未定焦慮爆棚 國民黨估雙北席次轉保守 , https://udn.com/news/story/123475/7114810?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:34:49 , udn , 民進黨台北市第二選區初選結果，現任立委何志偉輸給市議員王世堅，牽動國民黨布局。國民黨台北市黨部主委黃呂錦茹表示，對手換成王世堅後，打亂了她的布局，增加選戰困難度；不過，除了第二選區，黃呂錦茹有信心可以拿回第一選區。在新北市方面，地方人士上個月原本評估最好可以在12個選區中拿下9席，不過總統參選人未定，基層焦慮，隨著登記的立委名單逐漸浮現，地方人士修正原本較樂觀的評估，減至6到7席。 , https://udn.com/news/story/123475/7114810?from=udn-ch1_breaknews-1-0-news
