2023-04-24 00:02:57 , udn , 滑冰／世青賽明年2月小巨蛋登場 未來之星蔡玉鳳拚佳績 , https://udn.com/news/story/7005/7118387?from=udn-ch1_breaknews-1-0-news
2023-04-24 00:03:08 , udn , 世界青年花式滑冰錦標賽明年2月底要在台北小巨蛋登場，暌違7年台灣迎來高等級國際賽事，振奮本土年輕小將，東道主中華民國滑冰... , https://udn.com/news/story/7005/7118387?from=udn-ch1_breaknews-1-0-news
2023-04-24 00:03:28 , udn , 超前六都 北市HPV疫苗接種將納國一男性 , https://udn.com/news/story/7266/7118381?from=udn-ch1_breaknews-1-0-news
2023-04-24 00:03:39 , udn , 國健署民國107年起提供國一女性公費接種人類乳突病毒HPV疫苗。然而，近年研究顯示，HPV除了導致女性子宮頸癌，也會造成... , https://udn.com/news/story/7266/7118381?from=udn-ch1_breaknews-1-0-news
2023-04-24 00:07:03 , udn , 芯費大戰落幕 藍營憂若整合不利恐成立委選戰隱憂 , https://udn.com/news/story/123475/7118208?from=udn-ch1_breaknews-1-0-news
2023-04-24 00:17:47 , udn , 北市重慶酸辣粉火警 消防拉水線、動員雲梯車幸無人傷 , https://udn.com/news/story/7320/7118432?from=udn-ch1_breaknews-1-0-news
2023-04-24 00:17:57 , udn , 台北市萬華區成都路國賓戲院旁的一間重慶酸辣粉店，今天晚上11點9分發生火警，消防隊動員17車、61人打火，順利於晚上11... , https://udn.com/news/story/7320/7118432?from=udn-ch1_breaknews-1-0-news
2023-04-24 00:33:07 , udn , 獨／北海岸弓三戰備偵巡首目擊 遭小綿羊搶車頭超驚險 , https://udn.com/news/story/10930/7118439?from=udn-ch1_breaknews-1-0-news
2023-04-24 00:33:17 , udn , 空軍天弓三型防空飛彈車隊，日（廿）前利用深夜實施戰備偵巡，首度前進台北市內野戰陣地布防模擬接戰。清晨車隊沿台二線返回新北... , https://udn.com/news/story/10930/7118439?from=udn-ch1_breaknews-1-0-news
2023-04-24 01:12:07 , udn , 陸「農管」比城管更狠 文革的手再度伸進農村 民怨炸鍋 , https://udn.com/news/story/7331/7118498?from=udn-ch1_breaknews-1-0-news
2023-04-24 01:12:17 , udn , 就跟「城管」一樣，中國大陸農村最近新出現了「農管」，它的手伸進農民生活的方方面面，不管有沒有「明文規定」，這個隊伍都能管。「農管」也效仿「城管」在農村強勢執法，已在不少農村興起了波瀾。部分民眾擔心，農管會使多元化樣貌的農村，變得千篇一律、千村一面，使農村失去原有的生命力... , https://udn.com/news/story/7331/7118498?from=udn-ch1_breaknews-1-0-news
