2023-04-25 00:00:54 , udn , 中職／黃保羅「開箱」1.2局失5分 味全龍曹祐齊贏了娃娃兵之戰 , https://udn.com/news/story/7001/7120506?from=udn-ch1_breaknews-1-0-news
2023-04-25 00:09:16 , udn , 電子支付業折扣戰血流成河 獲利機會到底在哪？ , https://udn.com/news/story/7239/7120693?from=udn-ch1_breaknews-1-0-news
2023-04-25 00:09:27 , udn , 國內電子支付業者林立，據金管會統計，目前共有十家專營電支業者，為了爭奪市占，除了各自拚通路、拚地推，更大打優惠回饋戰，但至今仍全數處於虧損狀態，就連市占率最高、代表實際交易的代收付額同樣最高的街口支付，都預估最快要到後年才能達成單月損益兩平。對於電支該如何尋找自己的利基市場，金融科技研究中心主任王儷玲認為，將完整的生態系建構起來，而非一味的割肉打折扣戰，才是出路。 , https://udn.com/news/story/7239/7120693?from=udn-ch1_breaknews-1-0-news
2023-04-25 00:09:47 , udn , 中職／本想忍住…黃保羅退場哭了 學長要他心態不能崩 , https://udn.com/news/story/7001/7120690?from=udn-ch1_breaknews-1-0-news
2023-04-25 00:09:58 , udn , 富邦悍將隊今天以4：7輸給味全龍隊，第一指名投手黃保羅最終先發只投1.2局失5分，58球裡有近半壞球，退場時忍不住哭了，... , https://udn.com/news/story/7001/7120690?from=udn-ch1_breaknews-1-0-news
2023-04-25 00:12:51 , udn , 中職／曹祐齊奪生涯首勝 爸媽曹竣崵、傅姿伶一同見證 , https://udn.com/news/story/7001/7120613?from=udn-ch1_breaknews-1-0-news
2023-04-25 00:13:52 , udn , 驚悚！ 老翁對鄰居及幼子噴汽油欲點火 被一拳揍倒 , https://udn.com/news/story/7320/7120579?from=udn-ch1_breaknews-1-0-news
2023-04-25 00:32:57 , udn , 基隆大武崙工業區深夜火警 消防馳援灌救40分鐘後滅火 , https://udn.com/news/story/7320/7120737?from=udn-ch1_breaknews-1-0-news
2023-04-25 00:33:07 , udn , 基隆市大武崙工業區敦南科技公司，24日深夜發生火警，消防局獲報派遣人車前往搶救，廠區自動灑水設備也有啟動，約40分鐘撲滅... , https://udn.com/news/story/7320/7120737?from=udn-ch1_breaknews-1-0-news
2023-04-25 00:33:28 , udn , 桃園區中路停電300戶 台電已於深夜11點搶修復電 , https://udn.com/news/story/7266/7120735?from=udn-ch1_breaknews-1-0-news
2023-04-25 00:33:38 , udn , 桃園市桃園區中路一帶，今晚7點突然停電，至午夜近11點才復電，因逢下班時間，社區大樓先使用發電機維持基礎電力，許多民眾向... , https://udn.com/news/story/7266/7120735?from=udn-ch1_breaknews-1-0-news
