2023-04-26 00:05:59 , udn , 新竹縣派出所下月將增至50所 3年內更將擴編警力近3成 , https://udn.com/news/story/7324/7123236?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:06:09 , udn , 新竹縣因長期警力吃緊，造成基層警務繁重，去年底更曾因整併偏遠派出所、聯合服勤，引發地方民眾反彈抗議，新竹縣警察局近期獲中... , https://udn.com/news/story/7324/7123236?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:06:30 , udn , 影／拜登釋出影片 宣布競選連任 , https://udn.com/news/story/6813/7123238?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:06:40 , udn , 美國總統拜登25日釋出3分鐘的影片，宣布競選連任；共和黨總統參選人民調目前由前總統川普領先，2024年選戰可能再上演拜登... , https://udn.com/news/story/6813/7123238?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:07:01 , udn , 中職／出賽10場拿到第2個中繼點 陳冠宇：能為球隊貢獻就好 , https://udn.com/news/story/7001/7123231?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:07:11 , udn , 樂天桃猿隊今天以3：1擊敗富邦悍將隊，陳冠宇中繼1局三上三下，拿下中繼點，而他本季10場出賽至今，僅在第1場和第10場拿... , https://udn.com/news/story/7001/7123231?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:08:57 , udn , 永久化學物質PFAS無所不在 專家籲訂規範守護國人健康 , https://udn.com/news/story/7266/7123240?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:09:07 , udn , 國際開始注意全氟及多氟烷基物質(Per- and Polyfluoroalkyl Substances, PFAS)對人... , https://udn.com/news/story/7266/7123240?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:14:59 , udn , 馬祖岸巡總隊參謀主任涉侵占國軍罐頭 3人聲押禁見 , https://udn.com/news/story/7321/7123258?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:15:09 , udn , 馬祖岸巡總隊參謀主任林佑柏，遭檢舉與部署涉嫌侵占岸巡的伙食罐頭，還從馬祖運到台灣。士林地檢署指揮廉政署搜索查扣少部分罐頭... , https://udn.com/news/story/7321/7123258?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:15:30 , udn , 高雄鳳山里長遇襲 查出幕後黑手 , https://udn.com/news/story/7320/7123251?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:15:40 , udn , 高雄市鳳山鎮北里長趙志成今天遇襲，警方陸續查獲涉案人，幕後黑手黃姓男子晚間落網。警方查出，黃姓男子稱幾年前和里長喝酒發生... , https://udn.com/news/story/7320/7123251?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:35:59 , udn , 通膨削減法將使美國通膨壓力不減反增 , https://udn.com/news/story/6811/7123280?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:36:10 , udn , 美國總統拜登承諾，「通膨削減法（IRA）」能使美國重新工業化，並創造就業機會，但美國銀行（BofA）、貝萊德等諸多機構卻... , https://udn.com/news/story/6811/7123280?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:38:56 , udn , 在陸誰都不安全？北京10年逮17「日諜」 閒聊變6年牢 , https://udn.com/news/story/7331/7123327?from=udn-ch1_breaknews-1-0-news
2023-04-26 00:39:07 , udn , 大陸25日宣布，浙江省溫州市檢察院日前以涉嫌分裂國家罪正式批准逮捕台灣民族黨副主席楊智淵，讓外界再度關注國人在大陸的人身安全問題。事實上，不只台灣民眾，近年來，日本人在中國大陸被捕的情況同樣嚴重。 , https://udn.com/news/story/7331/7123327?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:02:48 , udn , 脫掉口罩開始「還債」 阻絕病毒3年 讓孩子免疫力變差 , https://udn.com/news/story/7266/7123345?from=udn-ch1_breaknews-1-0-news
2023-04-26 01:02:58 , udn , 兒童感染科醫師顏俊宇於臉書發文，4月24日當天門診炸裂，一整天看超過200人次，對比新冠肺炎疫情趨緩，嬰幼童間未能逃脫病毒威脅。專家指出，新冠肺炎3年期間民眾遵守戴口罩、勤洗手、維持社交距離等高度防疫手段，幾乎將病毒隔絕在外，但人體長時間未接觸病毒，難以產生抗體、免疫力，一但不再強制戴口罩，少了外在防護，就得還起過去累積的「免疫負債」。 , https://udn.com/news/story/7266/7123345?from=udn-ch1_breaknews-1-0-news
