2023-04-27 00:03:01 , udn , 烏克蘭任命前戰略產業部長為新任駐中大使 , https://udn.com/news/story/122663/7125747?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:03:11 , udn , 烏克蘭總統府今天發布人事令，任命前戰略產業部長李亞比金（PavloRyabikin）為新任駐中國大使。此前總統澤倫斯基與... , https://udn.com/news/story/122663/7125747?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:03:32 , udn , 樂天女孩化身防詐大使 這4種詐騙手法不可不知 , https://udn.com/news/story/7320/7125841?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:03:42 , udn , 樂天女孩昨晚間於桃園青埔棒球場樂天桃猿主場例行賽中，穿上刑警背心化身正義刑警，提醒大家反詐觀念，希望大家一起成為錢包守門... , https://udn.com/news/story/7320/7125841?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:04:03 , udn , 中壢後站廢棄車輛雜草叢不見了 將再施作圍牆綠美化 , https://udn.com/news/story/7324/7125832?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:04:13 , udn , 桃園中壢火車站後站約250公尺圍籬過去雜草叢生及有許多廢棄機車影響市容，經地方東興里長與立委魯明哲陳情後，中壢區公所於2... , https://udn.com/news/story/7324/7125832?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:24:03 , udn , NBA／快艇出局又逢噩耗 雷納德診斷右膝半月板撕裂 , https://udn.com/news/story/7002/7125893?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:24:13 , udn , 根據《The Athletic》知名記者查拉尼亞（Shams Charania）的報導，因傷缺席首輪最後3場比賽的快艇當家球星雷納德（Kawhi Leonard），經診斷後確認為右膝半月板撕裂，恐怕將 , https://udn.com/news/story/7002/7125893?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:30:01 , udn , 會考生活英語／【校園篇】言語霸凌 , https://udn.com/news/story/6904/7111569?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:30:12 , udn , ★ 單字
1. guess [ɡes] v. 猜（國中基礎1200字）
2. share [ʃer] v. 分享（國中基礎1200字）

★ 實用字詞
1. speak ill of oth , https://udn.com/news/story/6904/7111569?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:30:32 , udn , 會考生活英語／【生活篇】尋找失蹤寵物 , https://udn.com/news/story/6904/7120979?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:30:43 , udn , ★ 單字
1. information [ˌɪn.fɚˈmeɪ.ʃən ] n. 資訊（國中挑戰800字）
2. offer [ ɑː.fɚ] v. 提供（國中挑戰800字）

★ 實用字詞 , https://udn.com/news/story/6904/7120979?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:39:01 , udn , 辜汪會談籌備者 邱進益：執政黨為何不讓人民安生？ , https://udn.com/news/story/7331/7125357?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:39:11 , udn , 「想到這30年前後的變化，我感到非常痛心…30年前，我們多麼努力，終於辦成『辜汪會談』，促使兩岸關係從對抗走向和解，但如今台灣民眾又面臨戰爭恐懼，執政黨為何就不能讓人民安生？」某個微雨的台北午後，30年前肩負「辜汪會談」籌備任務的海基會前副董事長兼秘書長邱進益，在文山區家中感慨說道。 , https://udn.com/news/story/7331/7125357?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:39:32 , udn , 戰爭讓俄烏幫派決裂 走私改道 全球黑社會大地震 , https://udn.com/news/story/6809/7125938?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:39:42 , udn , 俄羅斯黑幫和烏克蘭黑幫在江湖上都赫赫有名，雙方原本合作無間，烏克蘭南部港市敖德薩（Odessa）是一個以烏俄兩國為中心的龐大犯罪網的交會點，這裡還有一間走私博物館，展示自18世紀以來的走私物品。但在俄烏開戰後，烏克蘭黑幫不再與俄羅斯黑幫合作，這場黑社會的大地震不但改變了兩國黑道運作方式，如果雙方繼續分家，可能改變全球犯罪組織樣貌。 , https://udn.com/news/story/6809/7125938?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:51:02 , udn , 姓名有「ㄓㄣ ㄓㄨ」送料理！9間「新餐廳優惠懶人包」 , https://udn.com/news/story/7270/7125954?from=udn-ch1_breaknews-1-0-news
2023-04-27 00:51:12 , udn , 近期隨著「大直NOKE忠泰樂生活商場」、「台中三井LaLaport」登場，許多餐飲品牌也紛紛進駐開設新店，並且提供一連串... , https://udn.com/news/story/7270/7125954?from=udn-ch1_breaknews-1-0-news
2023-04-27 01:06:00 , udn , 23歲女被性侵 母陪報案隔天她墜河….三天后成冰冷遺體 , https://udn.com/news/story/7320/7125978?from=udn-ch1_breaknews-1-0-news
2023-04-27 01:06:10 , udn , 23歲Y姓女子這個月18日向母泣訴被人性侵，她表達輕生念頭，Y母安撫並陪她前往派出所報案。未料隔天晚上Y女卻人間蒸發，其... , https://udn.com/news/story/7320/7125978?from=udn-ch1_breaknews-1-0-news
2023-04-27 01:08:59 , udn , 彰化市深夜工廠惡火 消防人員仍在搶救中 , https://udn.com/news/story/7320/7125979?from=udn-ch1_breaknews-1-0-news
2023-04-27 01:09:09 , udn , 彰化市彰南路二段一家塑膠射出工廠26日深夜發生大火，彰化縣消防局動用消防車19輛前往灌救，目前仍在搶救中，初步並無人受困... , https://udn.com/news/story/7320/7125979?from=udn-ch1_breaknews-1-0-news
2023-04-27 01:19:22 , udn , 辜汪會談30年 當年籌備者邱進益：執政黨為何不讓人民安生？ , https://udn.com/news/story/7331/7125357?from=udn-ch1_breaknews-1-0-news
2023-04-27 01:26:53 , udn , 長照也有農村版 「綠照員」帶銀髮族做園藝、秀手藝 , https://udn.com/news/story/7266/7125996?from=udn-ch1_breaknews-1-0-news
