2023-04-28 00:06:02 , udn , 涉外洩民眾個資 北市松山分局偵查佐10萬元交保 , https://udn.com/news/story/7321/7128652?from=udn-ch1_breaknews-1-0-news
2023-04-28 00:06:12 , udn , 北市松山分局偵查佐謝宇清，涉嫌於2021年間，違法以警用電腦系統查詢特定民眾個資，外洩給民間友人黃秋芳。台北地檢署今指揮... , https://udn.com/news/story/7321/7128652?from=udn-ch1_breaknews-1-0-news
2023-04-28 00:21:04 , udn , 影／疑不滿削價競爭 28歲男子朝店家潑灑「漆蛋」洩恨 , https://udn.com/news/story/7320/7128691?from=udn-ch1_breaknews-1-0-news
2023-04-28 00:21:14 , udn , 台南安平區一宗教文物店，本月15日遭人潑灑油漆，地上還遺留破裂蛋殼，民眾在網路社群發出不平之鳴，台南市警四分局獲知後主動... , https://udn.com/news/story/7320/7128691?from=udn-ch1_breaknews-1-0-news
2023-04-28 00:27:05 , udn , 疑為閃動物台二線106公里貨櫃車翻車 單線通行駕駛送醫 , https://udn.com/news/story/7320/7128700?from=udn-ch1_breaknews-1-0-news
2023-04-28 00:27:16 , udn , 一輛營業貨櫃曳引車附掛子車，今晚10點多在瑞芳區台2線106.8公里處翻覆，貨物為金屬回收物散落一地，張姓駕駛送醫，地上... , https://udn.com/news/story/7320/7128700?from=udn-ch1_breaknews-1-0-news
2023-04-28 00:48:03 , udn , 3公尺大洞吞特斯拉 竹北高房價卻頻傳天坑 縣府填得平嗎？ , https://udn.com/news/story/7266/7128749?from=udn-ch1_breaknews-1-0-news
2023-04-28 00:48:13 , udn , 新竹縣竹北市27日又驚現「天坑」，周邊居民不滿，這已是建案「豐采520」周邊10個月來第6度塌陷，深達3公尺天坑吞沒要價230萬元的特斯拉，畫面驚悚。 , https://udn.com/news/story/7266/7128749?from=udn-ch1_breaknews-1-0-news
2023-04-28 01:26:49 , udn , 阻張家界跳崖憾事重演 「網路勸生者」教你拉孩子一把 , https://udn.com/news/story/7331/7128779?from=udn-ch1_breaknews-1-0-news
2023-04-28 01:26:59 , udn , 四川什邡的天鵝林場長年雲霧籠罩，幽靜異常，因此也被稱為「迷霧森林」，受到不少大陸戶外活動愛好者青睞。4月22日下午，一位到此健行的民眾在森林裡一處平台上休息時不經意發現，遠方密林的空地上似乎躺了人。在好奇心驅使下，他走近一看，赫然發現，地上躺著兩男一女，臉色蒼白，顯然早已沒了呼吸。 , https://udn.com/news/story/7331/7128779?from=udn-ch1_breaknews-1-0-news
2023-04-28 01:47:53 , udn , 未戴安全帽車禍死亡屏東全國第二 警4個月舉發1540件 , https://udn.com/news/story/7327/7128786?from=udn-ch1_breaknews-1-0-news
2023-04-28 01:48:04 , udn , 根據交通事故統計資料，機車騎士因未戴安全帽，發生車禍死亡件數，屏東縣高居全國第二。屏東警分局針對未戴安全帽違規加強取締，... , https://udn.com/news/story/7327/7128786?from=udn-ch1_breaknews-1-0-news
2023-04-28 01:50:51 , udn , 軍友社榮譽理事長李棟樑 慰勉大台北守備部隊 , https://udn.com/news/story/10930/7128787?from=udn-ch1_breaknews-1-0-news
2023-04-28 01:51:02 , udn , 中華民國軍人之友社榮譽理事長李棟樑、秘書長簡士偉，27日前往新北市八里海岸的挖子尾、龍形營區，慰勞駐守台北港、淡水河口的... , https://udn.com/news/story/10930/7128787?from=udn-ch1_breaknews-1-0-news
2023-04-28 02:32:54 , udn , 蘇東坡到底夢到幾個道士？「趙孟頫書赤壁賦」故宮解謎 , https://udn.com/news/story/7266/7128808?from=udn-ch1_breaknews-1-0-news
