2023-04-29 00:15:03 , udn , 羽球亞錦賽／麟洋配拍退大陸組合 今年首闖4強賽 , https://udn.com/news/story/7005/7131034?from=udn-ch1_breaknews-1-0-news
2023-04-29 00:15:14 , udn , 在杜拜舉行的羽球亞錦賽，我國選手在戴資穎率先搶下女單4強門票後，晚間黃金男雙「麟洋配」王齊麟／李洋也在8強賽以21：18... , https://udn.com/news/story/7005/7131034?from=udn-ch1_breaknews-1-0-news
2023-04-29 01:21:00 , udn , 竹北天坑吞特斯拉 車主問誰賠 律師獻計：都別放過 , https://udn.com/news/story/7266/7131096?from=udn-ch1_breaknews-1-0-news
2023-04-29 01:21:10 , udn , 竹北天坑造成一輛特斯拉新車摔入洞中嚴重毀損，車主怒控事發至今，建商、政府都沒有人來關心慰問，新車慘變廢車，只能暫先交由保險業者處理。不過，求償事件去年已有前例，新竹縣府要求建商負全責，律師建議車主應該向建商及政府兩邊都提出民事求償及國賠。 , https://udn.com/news/story/7266/7131096?from=udn-ch1_breaknews-1-0-news
2023-04-29 01:48:05 , udn , 新竹SOGO母親節獨寵會員回饋搶先換 , https://udn.com/news/story/7241/7130999?from=udn-ch1_breaknews-1-0-news
2023-04-29 01:48:15 , udn , 新竹SOGO母親節檔期將自4月29日至5月14日登場，看準母親節買氣及普發6,000元現金商機，業者祭出滿千送百特別回饋... , https://udn.com/news/story/7241/7130999?from=udn-ch1_breaknews-1-0-news
2023-04-29 02:02:52 , udn , 土城當舖槍擊案第三波查獲14人 檢方漏夜訊問聲押四人 , https://udn.com/news/story/7315/7131103?from=udn-ch1_breaknews-1-0-news
2023-04-29 02:38:52 , udn , 不見「格鬥賽」！今年大甲媽遶境創近年來最平和 , https://udn.com/news/story/123477/7131111?from=udn-ch1_breaknews-1-0-news
2023-04-29 02:39:02 , udn , 大甲鎮瀾宮媽祖鑾駕昨天深夜10時50分，從停駕的彰化市天后宮起駕回鑾，沿途萬頭鑽動為媽祖送行，在警方強力戒護下，快速而平... , https://udn.com/news/story/123477/7131111?from=udn-ch1_breaknews-1-0-news
2023-04-29 03:26:29 , udn , 遠東巨城慶12歲生日 結合母親節推多項優惠 , https://udn.com/news/story/7241/7130987?from=udn-ch1_breaknews-1-0-news
2023-04-29 03:26:40 , udn , 遠東巨城購物中心董事長李靜芳今（28）日表示，歡迎巨城生日宣時，感謝鄉親朋友的支持與鼓勵，更感謝每位巨城人堅守岡位用心付... , https://udn.com/news/story/7241/7130987?from=udn-ch1_breaknews-1-0-news
2023-04-29 04:17:55 , udn , NBA／綠衫軍雙槍合體飆分創紀錄 超越公牛傳奇二人組 , https://udn.com/news/story/7002/7130847?from=udn-ch1_breaknews-1-0-news
2023-04-29 04:18:05 , udn , 塞爾蒂克隊昨天在與老鷹隊的系列賽第6戰，靠著「雙J連線」泰托姆（Jayson Tatum）與布朗（Jaylen Brown）分別攻下30分、14籃板以及32分，以128：120淘汰老鷹隊，過去7年6度挺進到第二輪。而泰托姆與布朗生涯至今合計24場同場飆30分以上的賽事，「綠衫軍」拿下了其中23勝，超越了昔日公牛隊喬丹（Michael Jordan）與皮朋（Scottie Pippen），創雙人組合最高勝率。 , https://udn.com/news/story/7002/7130847?from=udn-ch1_breaknews-1-0-news
2023-04-29 04:33:51 , udn , 土城當舖槍擊案第三波查獲14人 檢方漏夜訊問聲押4人 , https://udn.com/news/story/7315/7131103?from=udn-ch1_breaknews-1-0-news
2023-04-29 05:44:56 , udn , 道指收漲272點 1月來最佳單月 , https://udn.com/news/story/6811/7131146?from=udn-ch1_breaknews-1-0-news
2023-04-29 05:45:06 , udn , 道瓊工業平均指數收漲，創1月以來的最佳單月表現。 , https://udn.com/news/story/6811/7131146?from=udn-ch1_breaknews-1-0-news
2023-04-29 06:17:48 , udn , 請問賴醫師 外交部的瓜國澄清稿也是精神分裂嗎？ , https://udn.com/news/story/6656/7131052?from=udn-ch1_breaknews-1-0-news
2023-04-29 06:17:58 , udn , 瓜地馬拉共和國總統賈麥岱日前表示，台灣跟瓜地馬拉情誼堅若磐石，「中華民國是獨立國家，也是唯一且真正的中國，支持台灣參與國際組織。」他慷慨陳詞，強調相較其他國家利益置於友誼之上，瓜地馬拉作為中美洲唯一友邦，立場堅定。 , https://udn.com/news/story/6656/7131052?from=udn-ch1_breaknews-1-0-news
