2023-04-30 00:04:12 , udn , 埋伏逮人卻遭警包圍「弄臭」 警：最大敵人是自己人 , https://udn.com/news/story/7315/7132448?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:12:10 , udn , 新興毒品快速增長 美日德學者來台分享毒品法庭經驗 , https://udn.com/news/story/7315/7132505?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:12:20 , udn , 面對目前我國新興毒品快速增長、施用種類及人數的變化，法務部、台灣高檢署及台灣毒品政策學會29日舉辦國際研討會，邀請美國、... , https://udn.com/news/story/7315/7132505?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:21:09 , udn , 高空噴灑18噸水 高雄鳳梨山這把火救了13小時才滅 , https://udn.com/news/story/7327/7132511?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:21:20 , udn , 高雄市大寮區保福路、後厝路交叉路口鳳梨山附近，前天才發生火警動員大批人力深夜搶救，今上午10時許，消防局再次接獲通報，鳳... , https://udn.com/news/story/7327/7132511?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:27:09 , udn , 殺破狼週運勢／天秤職場囂張小人多 雙魚和另一半關係緊繃 , https://udn.com/news/story/7268/7128993?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:27:19 , udn , 天秤工作運方面，在志業宮位的火星受到夥伴宮位的木星影響，職場小人多，而且非常囂張，執行工作時面臨困境。某些天秤座的同事都是組織中的共犯結構，讓你也不能獨善其身。 , https://udn.com/news/story/7268/7128993?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:27:40 , udn , 警察勤休新制淪「紙上健康權」 刑警上黑班自嘲：為國做功德 , https://udn.com/news/story/7266/7132226?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:27:50 , udn , 警察勤休新制今年元月上路，限制上班時數保障健康權，但工作量不減，警力也沒變多，不少警察下班仍上「黑班」，超勤加班費還縮水，淪為勤務表的「紙上健康權」。警察任務性質特殊，官警抱怨長期過勞，新制規定「僅供參考」，究竟為何有做不完的事？又有哪些警察常上黑班？ , https://udn.com/news/story/7266/7132226?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:36:10 , udn , 檢察長調動惹議 陳宏達曝這一點「實在看不過去」 , https://udn.com/news/story/6656/7132534?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:36:21 , udn , 法務部最近公布的全國檢察長人事調動案，不僅外界批評政治考量明顯，檢察體系內部更是議論紛紛，還爆出有候選人不當請託等醜聞，法務部長蔡清祥雖堅稱沒有政治考量，但高檢署主任檢察官陳宏達連番質疑，掀開檢察體系內的潘朵拉盒子，由於陳宏達曾擔任法務部主秘、檢察長，也是蔡政府司法改革國是會議委員成員，如今公開質疑法務部的作法，本報記者專訪陳宏達，談他近來直白發言的心情，陳宏達說：「雖然我也可以安靜一點，但實在看不過去」。 , https://udn.com/news/story/6656/7132534?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:45:10 , udn , 台北自來水可直飲 水質還比國外好 為何很多人不敢喝？ , https://udn.com/news/story/6656/7132167?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:45:21 , udn , 到國外旅遊，常羨慕自來水可以直飲，但大台北地區自來水質比國外還好，且河濱公園、捷運站等地，民眾口渴就直接在直飲台喝水，歷任台北市長也喝過自來水，翡翠水庫原水專管通水後，水質更穩定，顛覆過去以為自來水要煮沸或過濾才能喝的刻板印象，但如今北水處還得克服疫情後，民眾不敢直飲的心理障礙。 , https://udn.com/news/story/6656/7132167?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:51:00 , udn , 籃球／世界盃男籃抽籤分組出爐 32支勁旅捉對廝殺 , https://udn.com/news/story/7003/7132540?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:51:10 , udn , 2023年世界盃男籃抽籤分組儀式在今天於菲律賓的馬尼拉進行，這是擴軍32支球隊後的第2屆男籃世界盃，同時首度於菲律賓馬尼拉、日本沖繩和印尼雅加達3地聯合舉辦，抽籤規則上也和疫情前的2019年世界盃有所 , https://udn.com/news/story/7003/7132540?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:54:32 , udn , 車廠備戰全失靈？電動車戰國時代註定「大洗牌」 , https://udn.com/news/story/7240/7132537?from=udn-ch1_breaknews-1-0-news
2023-04-30 00:54:43 , udn , 全球新能源經濟迅速崛起，電動車作為成長主力之一，替全球汽車製造產業帶來重大變革，不過台達電（2308）董事長海英俊近日受... , https://udn.com/news/story/7240/7132537?from=udn-ch1_breaknews-1-0-news
2023-04-30 01:14:50 , udn , 金融股存股  殖利率之外要看三大面向 , https://udn.com/news/story/7251/7132557?from=udn-ch1_breaknews-1-0-news
2023-04-30 01:15:01 , udn , 今年的各大金控、銀行等各業別金融股的現金股利配發幾乎已全數公布，除了成為金融股存股族最重要的參考資料之外，專家也提醒，除... , https://udn.com/news/story/7251/7132557?from=udn-ch1_breaknews-1-0-news
2023-04-30 02:29:50 , udn , 蘆洲素食小吃店火警 找到1男子送醫途中已無生命徵象 , https://udn.com/news/story/7320/7132570?from=udn-ch1_breaknews-1-0-news
2023-04-30 02:30:00 , udn , 新北市蘆洲區中正路221號，今天凌晨0時許發生住宅火警，現場是國立空中大學斜對面連棟式4層樓老舊公寓，1樓素食小吃店後側... , https://udn.com/news/story/7320/7132570?from=udn-ch1_breaknews-1-0-news
2023-04-30 02:36:22 , udn , 金融股存股 殖利率之外要看三大面向 , https://udn.com/news/story/7251/7132557?from=udn-ch1_breaknews-1-0-news
2023-04-30 03:00:01 , udn , 新北市蘆洲區中正路221號，今天凌晨0時許發生住宅火警，現場是國立空中大學斜對面連棟式4層樓老舊公寓，1樓素食小吃店後側房間外面的走道雜物起火.. , https://udn.com/news/story/7320/7132570?from=udn-ch1_breaknews-1-0-news
2023-04-30 04:29:50 , udn , 遊客從540萬下跌到41萬 故宮院長蕭宗煌估今年可破百萬 , https://udn.com/news/story/6904/7130952?from=udn-ch1_breaknews-1-0-news
2023-04-30 04:30:00 , udn , 2014年，故宮北院創下1年參觀人次達540萬的高峰紀錄，卻在2021年疫情期間下滑至41萬的低谷。故宮院長蕭宗煌指出，... , https://udn.com/news/story/6904/7130952?from=udn-ch1_breaknews-1-0-news
2023-04-30 04:30:21 , udn , 從540萬跌至41萬 故宮院長蕭宗煌估故宮今年破百萬人次 , https://udn.com/news/story/6904/7131390?from=udn-ch1_breaknews-1-0-news
2023-04-30 04:30:52 , udn , 疫後谷底翻轉！ 故宮：今年參觀人數已破2021全年紀錄 , https://udn.com/news/story/6904/7131884?from=udn-ch1_breaknews-1-0-news
2023-04-30 04:31:02 , udn , 過去3年受新冠肺炎疫情衝擊國際旅遊影響，國立故宮博物院北部院區的年度總參觀人數在2021年度跌落谷底，創下41萬6836... , https://udn.com/news/story/6904/7131884?from=udn-ch1_breaknews-1-0-news
2023-04-30 04:31:23 , udn , 看好疫後遠東市場 海灣航空時隔20年再招台灣空服 , https://udn.com/news/story/7269/7132589?from=udn-ch1_breaknews-1-0-news
2023-04-30 04:31:33 , udn , 新冠肺炎疫情逐漸過去，旅遊市場再度開始暢旺，先前大舉縮減人力的航空公司，紛紛積極投入招生。繼3月間科威特航空來台招募空服... , https://udn.com/news/story/7269/7132589?from=udn-ch1_breaknews-1-0-news
2023-04-30 05:41:50 , udn , AI成飆股搖籃？分析師最新看法出爐 , https://udn.com/news/story/7251/7132594?from=udn-ch1_breaknews-1-0-news
2023-04-30 05:42:01 , udn , ChatGPT熱度竄升，帶動「生成式AI」熱潮激增，連台積電（2330）法說會都對AI題材釋出樂觀態度，推升該族群成長步... , https://udn.com/news/story/7251/7132594?from=udn-ch1_breaknews-1-0-news
2023-04-30 06:17:50 , udn , 克服工程難關 翡翠原水管 關鍵時刻導入清流 , https://udn.com/news/story/7314/7132536?from=udn-ch1_breaknews-1-0-news
2023-04-30 06:18:01 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看將在5月中旬貫通、明年6月底前通水的翡翠水庫「原水專管」。 , https://udn.com/news/story/7314/7132536?from=udn-ch1_breaknews-1-0-news
2023-04-30 06:18:21 , udn , 警察是民進黨政府心中最殘酷的一塊 , https://udn.com/news/story/6656/7132565?from=udn-ch1_breaknews-1-0-news
2023-04-30 06:18:32 , udn , 明天就是五一勞動節，不僅勞工不是蔡政府心中最軟的一塊，就連警察都成為民進黨政府心中最殘酷的一塊。 , https://udn.com/news/story/6656/7132565?from=udn-ch1_breaknews-1-0-news
2023-04-30 06:38:50 , udn , 星期人物／總理也能世襲？洪瑪內接班洪森 柬埔寨成家天下 , https://udn.com/news/story/6812/7132500?from=udn-ch1_breaknews-1-0-news
2023-04-30 06:39:00 , udn , 四分之三的柬埔寨人不曉得沒有總理洪森的生活。洪森是目前世界上執政時間最長的領袖之一，在1985年越南占領柬埔寨時上台，約7成5的柬國人在這之後出生。他目前70歲且似乎還算健康，沒有理由認為他會很快消失。然而，各種跡象顯示他計畫將政權交棒長子洪瑪內。 , https://udn.com/news/story/6812/7132500?from=udn-ch1_breaknews-1-0-news
