2023-05-02 00:12:03 , udn , 龍岡米干節火舞吸睛走向國際 2周假日爆17萬人湧高潮 , https://udn.com/news/story/7324/7135588?from=udn-ch1_breaknews-1-0-news
2023-05-02 00:12:13 , udn , 桃園市2023龍岡米干節今天晚上進行壓軸的火把節，市長張善政邀請外國駐台使節與新北市長侯友宜參與火把節活動，欣賞火舞特技... , https://udn.com/news/story/7324/7135588?from=udn-ch1_breaknews-1-0-news
2023-05-02 00:12:34 , udn , Lordstown：鴻海若退出投資 將威脅公司生存 , https://udn.com/news/story/6811/7135585?from=udn-ch1_breaknews-1-0-news
2023-05-02 00:12:44 , udn , 彭博資訊報導，鴻海集團告訴美國電動車新創Lordstown Motors，準備撤出生產夥伴關係，Lordstown警告，... , https://udn.com/news/story/6811/7135585?from=udn-ch1_breaknews-1-0-news
2023-05-02 00:13:05 , udn , 郭台銘談高雄半屏山設核電廠言論生波  深夜為倉促發言急道歉 , https://udn.com/news/story/6656/7135586?from=udn-ch1_breaknews-1-0-news
2023-05-02 00:13:15 , udn , 鴻海創辦人郭台銘爭取2024總統大選門票，１日下午在高雄與企業界人士座談，被問到能源問題時，郭台銘直言台積電對高雄設廠遲... , https://udn.com/news/story/6656/7135586?from=udn-ch1_breaknews-1-0-news
2023-05-02 00:21:54 , udn , 郭台銘談高雄半屏山設核電廠言論生波 深夜為倉促發言急道歉 , https://udn.com/news/story/123307/7135586?from=udn-ch1_breaknews-1-0-news
2023-05-02 01:02:52 , udn , 高雄7旬單車伯疑闖紅燈 機車騎士撞上 兩人都送醫 , https://udn.com/news/story/7320/7135643?from=udn-ch1_breaknews-1-0-news
2023-05-02 01:03:02 , udn , 高雄70歲楊姓男子昨天晚間9時45分許，騎腳踏車經鼓山區文信路、博愛二路口時，疑似闖紅燈，19歲林姓騎士閃避不及撞上，林... , https://udn.com/news/story/7320/7135643?from=udn-ch1_breaknews-1-0-news
2023-05-02 01:03:23 , udn , 新北八里槍擊案張姓主嫌 檢方訊後深夜聲押 , https://udn.com/news/story/7315/7135641?from=udn-ch1_breaknews-1-0-news
2023-05-02 01:03:33 , udn , 新北市蘆洲警分局偵辦前天發生在八里區的槍擊案，鎖定2名嫌犯展開追捕，昨天凌晨到淡水區某汽車旅館逮捕涉嫌教唆槍手開槍的張姓... , https://udn.com/news/story/7315/7135641?from=udn-ch1_breaknews-1-0-news
2023-05-02 01:11:51 , udn , 陸經濟先行指標？文玩市場失速崩跌 北京hold不住了 , https://udn.com/news/story/7331/7135650?from=udn-ch1_breaknews-1-0-news
2023-05-02 01:12:02 , udn , 2014年4月，在香港蘇富比春拍上，上海收藏家劉益謙以港幣2.81億元，相當於新台幣11億元，拍下一只明成化鬥彩雞缸杯。3個多月後。劉益謙現身香港蘇富比進行交接手續，他選擇刷卡付款，現場連續刷卡24次，每筆約港幣1200萬元。而在辦交接手續的過程中，劉益謙直接用這只價值連城雞缸杯喝了口茶，他說，「我無非是想吸一口仙氣」。
如果說當年各類文物價格瘋漲，反映的是那個年代狂飆的中國經濟。今天，大陸文物市場的慘澹，或許也顯示出各方人馬對當前、甚至未來一段時間中國經濟的預期。被稱為普洱茶「茶王」2003六星孔雀班章，就已經從人民幣600萬元平均跌到450萬元左右，而且還在持續走低中... , https://udn.com/news/story/7331/7135650?from=udn-ch1_breaknews-1-0-news
2023-05-02 01:29:51 , udn , 44名柔道高手護駕 大甲媽平和遶境 關鍵密碼曝光 , https://udn.com/news/story/7266/7135653?from=udn-ch1_breaknews-1-0-news
