2023-05-03 00:00:22 , udn , 高雄萬豪延攬新主廚 優雅演繹米其林一星饗宴 , https://udn.com/news/story/7270/7138073?from=udn-ch1_breaknews-1-0-news
2023-05-03 00:00:33 , udn , 高雄的Fine Dining迅速崛起，精緻餐飲市場愈來愈豐富。看好米其林料理市場潛力強，高雄萬豪酒店「美享地餐廳」近日宣... , https://udn.com/news/story/7270/7138073?from=udn-ch1_breaknews-1-0-news
2023-05-03 00:00:54 , udn , 好萊塢編劇大罷工！抗議串流產業賺翻 編劇卻分不到羹 , https://udn.com/news/story/6811/7138058?from=udn-ch1_breaknews-1-0-news
2023-05-03 00:01:04 , udn , 美國編劇協會（WGA）1日晚間宣布，與代表迪士尼（Disney）和Netflix等公司的「電影電視製作人聯盟」（AMPT... , https://udn.com/news/story/6811/7138058?from=udn-ch1_breaknews-1-0-news
2023-05-03 00:09:21 , udn , 汽車買一送一 大陸車市為何砍價砍到「一地雞毛」 , https://udn.com/news/story/7331/7138103?from=udn-ch1_breaknews-1-0-news
2023-05-03 00:09:31 , udn , 汽車產業也淪落到要靠「買一送一」來促銷？近期就有大陸網友分享，深圳某家一汽豐田4S店的銷售廣告，內文顯示：「既然都掀桌子了，WHO怕WHO，那就幹吧」、「買bZ4X（純電車）送威馳（燃油車）」。儘管這則廣告搞噱頭的成分高，卻也反映當前大陸車市現況。然而，大陸車市當前這場「瘋狂大甩賣」，開第一槍的卻是全球電動車大廠—特斯拉。 , https://udn.com/news/story/7331/7138103?from=udn-ch1_breaknews-1-0-news
2023-05-03 00:30:11 , udn , 美股早盤重挫 道瓊指數大跌逾580點 , https://udn.com/news/story/6811/7138088?from=udn-ch1_breaknews-1-0-news
2023-05-03 00:30:21 , udn , 華爾街股市今天早盤重挫，道瓊指數大跌超過580點，主因對於陷入困境銀行的憂慮再起，導致銀行股再度下挫，以及市場對可能出現... , https://udn.com/news/story/6811/7138088?from=udn-ch1_breaknews-1-0-news
2023-05-03 00:30:42 , udn , 美國駐陸大使伯恩斯籲北京擴大溝通 重申一中政策 , https://udn.com/news/story/6809/7138120?from=udn-ch1_breaknews-1-0-news
2023-05-03 00:30:52 , udn , 美國駐北京大使伯恩斯（Nicholas Burns）2日在華府智庫史汀生研究中心（Stimson Center）的線上活... , https://udn.com/news/story/6809/7138120?from=udn-ch1_breaknews-1-0-news
2023-05-03 01:06:02 , udn , 八里槍擊案槍手涉非法持槍彈3罪 法官裁定羈押禁見 , https://udn.com/news/story/7315/7138157?from=udn-ch1_breaknews-1-0-news
2023-05-03 01:06:13 , udn , 八里槍擊案槍手胡姓男子，疑遭男子張嘉祥教唆，朝積欠賭債2萬元的王姓油漆工開槍，子彈擦過王的大腿未釀憾事，胡男犯案後逃亡2... , https://udn.com/news/story/7315/7138157?from=udn-ch1_breaknews-1-0-news
2023-05-03 03:27:03 , udn , 推特前執行長 多西開發社交媒體 掀關注熱潮 , https://udn.com/news/story/6811/7136614?from=udn-ch1_breaknews-1-0-news
