2023-05-04 00:27:43 , udn , 洩密給詐團首腦 派出所長涉貪汙收賄 檢方聲押禁見 , https://udn.com/news/story/7321/7140803?from=udn-ch1_breaknews-1-0-news
2023-05-04 00:27:53 , udn , 驚動全台的台版柬埔寨求職詐騙囚虐三死案，首腦「藍道」杜承哲上月落網，檢警從手機查出案外案。大同警分局寧夏路派出所長葉育忻... , https://udn.com/news/story/7321/7140803?from=udn-ch1_breaknews-1-0-news
2023-05-04 00:36:14 , udn , 桃園楊梅狂抓未禮讓行人 擺脫行人地獄站路口宣導 , https://udn.com/news/story/7324/7140827?from=udn-ch1_breaknews-1-0-news
2023-05-04 00:36:24 , udn , 為擺脫行人地獄，桃園楊梅警分局於上班尖峰時段前往人、車流較為頻繁的路口宣導提醒駕駛人「行車要停讓、行人有保障」，以降低行... , https://udn.com/news/story/7324/7140827?from=udn-ch1_breaknews-1-0-news
2023-05-04 00:54:11 , udn , 曾爭取世遺潛力點 龍騰斷橋之美因「修臉」醜爆 , https://udn.com/news/story/7266/7140837?from=udn-ch1_breaknews-1-0-news
2023-05-04 00:54:22 , udn , 苗栗縣三義鄉鐵路舊山線俗稱「龍騰斷橋」的「魚藤坪斷橋」是縣定古蹟，更有「台灣鐵道建築藝術極品」美譽，苗栗縣政府曾想爭取列... , https://udn.com/news/story/7266/7140837?from=udn-ch1_breaknews-1-0-news
2023-05-04 01:18:02 , udn , 憋了3年1次爆發 陸五一國旅貴到離譜 遊客嚇到「掉下巴」 , https://udn.com/news/story/7331/7140858?from=udn-ch1_breaknews-1-0-news
2023-05-04 01:18:12 , udn , 覺得國旅貴得不合理嗎？中國大陸剛結束的「五一」五天連假，則是讓不少大陸民眾覺得，國旅「貴到讓人懷疑人生」。有網友整理今年五一漲價幅度最大的30家酒店，排名第一的是「秦皇島麗楓酒店」。該飯店平日一晚價格人民幣159元，五一假期價格飆升至1,099元，漲幅達到591%。 , https://udn.com/news/story/7331/7140858?from=udn-ch1_breaknews-1-0-news
2023-05-04 01:59:38 , udn , 巴菲特成功祕訣之一：抱股息成長股 今年等著57億美元入袋 , https://udn.com/news/story/6811/7140778?from=udn-ch1_breaknews-1-0-news
2023-05-04 01:59:49 , udn , 有「股神」美譽的巴菲特能從股市賺大錢，選股精準固然是成功關鍵，根據他本人的說法，另一個訣竅是緊抱股息成長股。 , https://udn.com/news/story/6811/7140778?from=udn-ch1_breaknews-1-0-news
2023-05-04 02:30:02 , udn , 高雄工廠暗夜祝融敲門 消防出動22車緊急灌救 , https://udn.com/news/story/7320/7140874?from=udn-ch1_breaknews-1-0-news
