2023-05-06 00:42:02 , udn , 超商店員離奇墜樓亡 高大成痛批：女店長也太離譜了！ , https://udn.com/news/story/7315/7146186?from=udn-ch1_breaknews-1-0-news
2023-05-06 00:42:12 , udn , 台南永康超商30歲丁姓店員前天墜樓身亡，警方還查出死者生前曾遭私禁凌虐。中山附醫法醫科主任高大成直呼，「涉案的女店長也太... , https://udn.com/news/story/7315/7146186?from=udn-ch1_breaknews-1-0-news
2023-05-06 00:54:01 , udn , 高市衛生局命令全面回收「科克蘭冷凍莓果」！好市多回應了 , https://udn.com/news/story/7266/7146197?from=udn-ch1_breaknews-1-0-news
2023-05-06 00:54:11 , udn , 好市多「科克蘭冷凍三種綜合莓」及「科克蘭冷凍藍莓」接連被驗出A型肝炎病毒陽性，昨晚（5月5日）高市衛生局已命令好市多基於... , https://udn.com/news/story/7266/7146197?from=udn-ch1_breaknews-1-0-news
2023-05-06 01:00:02 , udn , 高市衛生局命令全面回收「科克蘭冷凍莓果」！ 好市多回應了 , https://udn.com/news/story/123496/7146197?from=udn-ch1_breaknews-1-0-news
2023-05-06 01:21:01 , udn , 一車一況一價！中古車水很深 「6大關鍵」避買地雷車 , https://udn.com/news/story/7266/7146213?from=udn-ch1_breaknews-1-0-news
2023-05-06 01:21:12 , udn , 中古車界流傳「一車一況、一況一價」這句話，即便是同年分、同車款，車況也會因為使用者駕駛方式和衛生習慣不同有落差，車況優劣自然反映在售價，價格波動起伏也比新車大。不過由於中古車比新車便宜許多，甚至一輛10萬元有找，與摩托車的新車價相去無幾，市場蓬勃發展，但風險不少，最好做足功課，避免事後爭議耗損心力。 , https://udn.com/news/story/7266/7146213?from=udn-ch1_breaknews-1-0-news
2023-05-06 01:21:33 , udn , 盤點立委精彩內戰  有人當不了朱8屆 有人敗選反變高官 , https://udn.com/news/story/6656/7146212?from=udn-ch1_breaknews-1-0-news
2023-05-06 01:21:43 , udn , 今年藍綠立委黨內初選廝殺激烈，例如國民黨台北市的「芯費大戰」、民進黨北市「堅偉之戰」、台南市「兩個女人的戰爭」等，初選結果，國、民兩黨都有老將或現任立委落馬。回顧近年藍綠黨內初選現任大咖被挑戰成功案例層出不窮，藍營曾有7連霸女將初選敗北，當不了「朱8屆」，綠營也有6連霸立委被同志擊敗，但後來反而「高升」擔任監察委員。 , https://udn.com/news/story/6656/7146212?from=udn-ch1_breaknews-1-0-news
2023-05-06 01:22:04 , udn , 澳洲交換生女密友坦承買老鼠藥  疑不願讓他離台 , https://udn.com/news/story/7315/7146211?from=udn-ch1_breaknews-1-0-news
2023-05-06 01:22:14 , udn , 淡江大學澳洲交換學生肖雷（Alex Shorey），因老鼠藥中毒送醫救治，由於肖雷對解毒藥有嚴重過敏反應，導致性命一度垂... , https://udn.com/news/story/7315/7146211?from=udn-ch1_breaknews-1-0-news
